
    Ep   TrainLoss   ClsLoss   RegLoss   TrainAcc   ValAcc   ValLoss   Pat    Time
  ────  ──────────  ────────  ────────  ─────────  ───────  ────────  ────  ──────
     1      1.6296    1.5966    0.3299      20.8%    30.0%    1.6405     0     64s
  ↑ New best val_acc: 30.0%
     2      1.5960    1.5635    0.3250      21.3%    20.0%    1.6323     0     52s
     3      1.5779    1.5449    0.3303      19.9%    20.0%    1.6269     0     54s
     4      1.5552    1.5221    0.3312      22.1%    20.0%    1.6161     0     60s
     5      1.5501    1.5174    0.3268      24.9%    20.0%    1.6042     0     75s
     6      1.5383    1.5050    0.3321      22.8%    20.0%    1.5895     0     52s
     7      1.5229    1.4900    0.3291      25.8%    25.0%    1.5767     0     53s
     8      1.5193    1.4864    0.3298      24.3%    35.0%    1.5612     0     58s
  ↑ New best val_acc: 35.0%
     9      1.5107    1.4780    0.3273      26.7%    35.0%    1.5584     0     60s
    10      1.4976    1.4653    0.3223      27.6%    55.0%    1.5315     0     53s
  ↑ New best val_acc: 55.0%
    11      1.4866    1.4535    0.3308      28.9%    35.0%    1.5257     0    104s
    12      1.4766    1.4435    0.3313      30.4%    35.0%    1.5165     0     60s
    13      1.4608    1.4281    0.3275      32.8%    55.0%    1.4984     0     56s
    14      1.4468    1.4140    0.3279      34.1%    55.0%    1.4842     0     65s
    15      1.4371    1.4045    0.3262      35.6%    55.0%    1.4657     0     68s
    16      1.4279    1.3948    0.3309      40.1%    55.0%    1.4581     0     59s
    17      1.4154    1.3821    0.3331      43.0%    55.0%    1.4413     0    104s
    18      1.4048    1.3720    0.3278      42.7%    55.0%    1.4352     0     87s
    19      1.3977    1.3645    0.3320      41.6%    55.0%    1.4240     0     50s
    20      1.3832    1.3503    0.3298      43.8%    60.0%    1.4048     0     60s
  ↑ New best val_acc: 60.0%
    [Unfreeze] Registration → optimizer at LR=1.00e-05
  [Epoch 21] Registration unfrozen at LR=1.00e-05
    21      1.3728    1.3403    0.3253      45.6%    55.0%    1.3963     0     70s
    22      1.3528    1.3205    0.3227      44.3%    55.0%    1.3888     0     66s
    23      1.3399    1.3076    0.3230      49.5%    60.0%    1.3712     0     62s
    24      1.3407    1.3086    0.3203      46.6%    65.0%    1.3585     0     74s
  ↑ New best val_acc: 65.0%
    25      1.3249    1.2933    0.3158      51.6%    60.0%    1.3520     0    114s
    26      1.3130    1.2813    0.3172      46.0%    60.0%    1.3418     0     60s
    27      1.2990    1.2680    0.3098      49.9%    65.0%    1.3304     0     70s
    28      1.2989    1.2673    0.3161      52.7%    55.0%    1.3427     0     95s
