  [Fold 1 | Ep   1/120] loss=1.630 train_acc=18.6% val_acc=20.0% val_loss=1.655 (17s)
  [Fold 1 | Ep   2/120] loss=1.606 train_acc=21.2% val_acc=20.0% val_loss=1.652 (20s)
  [Fold 1 | Ep   3/120] loss=1.593 train_acc=21.0% val_acc=20.0% val_loss=1.643 (19s)
  [Fold 1 | Ep   4/120] loss=1.581 train_acc=21.7% val_acc=20.0% val_loss=1.633 (18s)
  [Fold 1 | Ep   5/120] loss=1.581 train_acc=23.6% val_acc=35.0% val_loss=1.621 (16s)
  [Fold 1 | Ep   6/120] loss=1.560 train_acc=23.4% val_acc=35.0% val_loss=1.616 (17s)
  [Fold 1 | Ep   7/120] loss=1.559 train_acc=22.8% val_acc=35.0% val_loss=1.605 (16s)
  [Fold 1 | Ep   8/120] loss=1.555 train_acc=23.6% val_acc=35.0% val_loss=1.597 (17s)
  [Fold 1 | Ep   9/120] loss=1.547 train_acc=23.2% val_acc=35.0% val_loss=1.589 (19s)
  [Fold 1 | Ep  10/120] loss=1.539 train_acc=22.6% val_acc=35.0% val_loss=1.571 (17s)
  [Fold 1 | Ep  11/120] loss=1.533 train_acc=24.5% val_acc=35.0% val_loss=1.562 (18s)
  [Fold 1 | Ep  12/120] loss=1.520 train_acc=24.9% val_acc=35.0% val_loss=1.557 (17s)
  [Fold 1 | Ep  13/120] loss=1.515 train_acc=27.5% val_acc=35.0% val_loss=1.544 (16s)
  [Fold 1 | Ep  14/120] loss=1.506 train_acc=24.9% val_acc=35.0% val_loss=1.529 (17s)
  [Fold 1 | Ep  15/120] loss=1.489 train_acc=29.7% val_acc=35.0% val_loss=1.518 (19s)
  [Fold 1 | Ep  16/120] loss=1.466 train_acc=30.1% val_acc=35.0% val_loss=1.509 (17s)
  [Fold 1 | Ep  17/120] loss=1.476 train_acc=32.7% val_acc=55.0% val_loss=1.490 (19s)
  [Fold 1 | Ep  18/120] loss=1.470 train_acc=34.3% val_acc=55.0% val_loss=1.486 (20s)
  [Fold 1 | Ep  19/120] loss=1.457 train_acc=33.4% val_acc=55.0% val_loss=1.476 (19s)
  [Fold 1 | Ep  20/120] loss=1.442 train_acc=34.0% val_acc=55.0% val_loss=1.467 (19s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.428 train_acc=33.4% val_acc=55.0% val_loss=1.452 (20s)
  [Fold 1 | Ep  22/120] loss=1.431 train_acc=35.4% val_acc=55.0% val_loss=1.439 (18s)
  [Fold 1 | Ep  23/120] loss=1.419 train_acc=41.0% val_acc=55.0% val_loss=1.432 (20s)
  [Fold 1 | Ep  24/120] loss=1.402 train_acc=38.4% val_acc=55.0% val_loss=1.420 (18s)
  [Fold 1 | Ep  25/120] loss=1.353 train_acc=42.7% val_acc=55.0% val_loss=1.394 (19s)
  [Fold 1 | Ep  26/120] loss=1.294 train_acc=51.8% val_acc=50.0% val_loss=1.392 (20s)
  [Fold 1 | Ep  27/120] loss=1.268 train_acc=53.4% val_acc=50.0% val_loss=1.421 (20s)
  [Fold 1 | Ep  28/120] loss=1.241 train_acc=55.7% val_acc=50.0% val_loss=1.430 (26s)
  [Fold 1 | Ep  29/120] loss=1.240 train_acc=52.5% val_acc=55.0% val_loss=1.400 (20s)
  [Fold 1 | Ep  30/120] loss=1.203 train_acc=56.4% val_acc=55.0% val_loss=1.397 (19s)
  [Fold 1 | Ep  31/120] loss=1.197 train_acc=53.1% val_acc=55.0% val_loss=1.405 (20s)
  [Fold 1 | Ep  32/120] loss=1.206 train_acc=53.2% val_acc=50.0% val_loss=1.459 (19s)
  [Fold 1 | Ep  33/120] loss=1.177 train_acc=55.7% val_acc=50.0% val_loss=1.485 (19s)
  [Fold 1 | Ep  34/120] loss=1.197 train_acc=53.8% val_acc=55.0% val_loss=1.477 (22s)
  [Fold 1 | Ep  35/120] loss=1.156 train_acc=56.2% val_acc=60.0% val_loss=1.471 (20s)
  [Fold 1 | Ep  36/120] loss=1.158 train_acc=56.4% val_acc=60.0% val_loss=1.459 (21s)
  [Fold 1 | Ep  37/120] loss=1.151 train_acc=56.0% val_acc=45.0% val_loss=1.497 (20s)
  [Fold 1 | Ep  38/120] loss=1.144 train_acc=58.8% val_acc=50.0% val_loss=1.481 (20s)
  [Fold 1 | Ep  39/120] loss=1.128 train_acc=58.8% val_acc=55.0% val_loss=1.453 (20s)
  [Fold 1 | Ep  40/120] loss=1.113 train_acc=58.4% val_acc=60.0% val_loss=1.410 (18s)
  [Fold 1 | Ep  41/120] loss=1.107 train_acc=57.9% val_acc=50.0% val_loss=1.494 (20s)
  Early stopping at epoch 41 (val_loss hasn't improved for 15 epochs)
