  [Fold 2 | Ep   1/120] loss=1.633 train_acc=20.7% val_acc=25.0% val_loss=1.656 (17s)
  [Fold 2 | Ep   2/120] loss=1.598 train_acc=23.3% val_acc=25.0% val_loss=1.652 (18s)
  [Fold 2 | Ep   3/120] loss=1.583 train_acc=24.3% val_acc=20.0% val_loss=1.643 (17s)
  [Fold 2 | Ep   4/120] loss=1.576 train_acc=24.8% val_acc=20.0% val_loss=1.640 (17s)
  [Fold 2 | Ep   5/120] loss=1.567 train_acc=26.1% val_acc=20.0% val_loss=1.629 (18s)
  [Fold 2 | Ep   6/120] loss=1.562 train_acc=26.5% val_acc=20.0% val_loss=1.623 (18s)
  [Fold 2 | Ep   7/120] loss=1.540 train_acc=28.0% val_acc=20.0% val_loss=1.611 (17s)
  [Fold 2 | Ep   8/120] loss=1.537 train_acc=27.2% val_acc=20.0% val_loss=1.604 (18s)
  [Fold 2 | Ep   9/120] loss=1.514 train_acc=28.3% val_acc=20.0% val_loss=1.601 (16s)
  [Fold 2 | Ep  10/120] loss=1.507 train_acc=28.1% val_acc=15.0% val_loss=1.586 (17s)
  [Fold 2 | Ep  11/120] loss=1.511 train_acc=28.9% val_acc=15.0% val_loss=1.576 (16s)
  [Fold 2 | Ep  12/120] loss=1.488 train_acc=27.6% val_acc=20.0% val_loss=1.564 (15s)
  [Fold 2 | Ep  13/120] loss=1.474 train_acc=30.6% val_acc=20.0% val_loss=1.548 (15s)
  [Fold 2 | Ep  14/120] loss=1.473 train_acc=31.1% val_acc=25.0% val_loss=1.541 (18s)
  [Fold 2 | Ep  15/120] loss=1.452 train_acc=32.8% val_acc=20.0% val_loss=1.540 (18s)
  [Fold 2 | Ep  16/120] loss=1.449 train_acc=32.0% val_acc=20.0% val_loss=1.523 (18s)
  [Fold 2 | Ep  17/120] loss=1.434 train_acc=35.0% val_acc=20.0% val_loss=1.514 (17s)
  [Fold 2 | Ep  18/120] loss=1.424 train_acc=35.0% val_acc=25.0% val_loss=1.503 (15s)
  [Fold 2 | Ep  19/120] loss=1.409 train_acc=34.8% val_acc=25.0% val_loss=1.496 (17s)
  [Fold 2 | Ep  20/120] loss=1.403 train_acc=38.5% val_acc=20.0% val_loss=1.490 (18s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.401 train_acc=36.5% val_acc=25.0% val_loss=1.478 (21s)
  [Fold 2 | Ep  22/120] loss=1.384 train_acc=39.3% val_acc=40.0% val_loss=1.459 (19s)
  [Fold 2 | Ep  23/120] loss=1.365 train_acc=44.8% val_acc=30.0% val_loss=1.453 (17s)
  [Fold 2 | Ep  24/120] loss=1.358 train_acc=42.6% val_acc=45.0% val_loss=1.427 (19s)
  [Fold 2 | Ep  25/120] loss=1.320 train_acc=46.3% val_acc=50.0% val_loss=1.401 (21s)
  [Fold 2 | Ep  26/120] loss=1.282 train_acc=48.9% val_acc=50.0% val_loss=1.383 (20s)
  [Fold 2 | Ep  27/120] loss=1.242 train_acc=53.0% val_acc=50.0% val_loss=1.407 (20s)
  [Fold 2 | Ep  28/120] loss=1.228 train_acc=52.6% val_acc=50.0% val_loss=1.378 (18s)
  [Fold 2 | Ep  29/120] loss=1.199 train_acc=55.4% val_acc=55.0% val_loss=1.330 (19s)
  [Fold 2 | Ep  30/120] loss=1.165 train_acc=56.5% val_acc=55.0% val_loss=1.382 (19s)
  [Fold 2 | Ep  31/120] loss=1.170 train_acc=59.1% val_acc=55.0% val_loss=1.317 (21s)
  [Fold 2 | Ep  32/120] loss=1.155 train_acc=59.8% val_acc=55.0% val_loss=1.342 (19s)
  [Fold 2 | Ep  33/120] loss=1.150 train_acc=58.0% val_acc=55.0% val_loss=1.310 (18s)
  [Fold 2 | Ep  34/120] loss=1.121 train_acc=59.1% val_acc=50.0% val_loss=1.388 (19s)
  [Fold 2 | Ep  35/120] loss=1.126 train_acc=59.4% val_acc=50.0% val_loss=1.454 (19s)
  [Fold 2 | Ep  36/120] loss=1.145 train_acc=60.9% val_acc=50.0% val_loss=1.347 (17s)
  [Fold 2 | Ep  37/120] loss=1.118 train_acc=60.9% val_acc=55.0% val_loss=1.435 (17s)
  [Fold 2 | Ep  38/120] loss=1.078 train_acc=61.7% val_acc=50.0% val_loss=1.342 (17s)
  [Fold 2 | Ep  39/120] loss=1.083 train_acc=64.6% val_acc=60.0% val_loss=1.317 (19s)
  [Fold 2 | Ep  40/120] loss=1.053 train_acc=65.6% val_acc=55.0% val_loss=1.396 (20s)
  [Fold 2 | Ep  41/120] loss=1.073 train_acc=64.1% val_acc=55.0% val_loss=1.367 (21s)
  [Fold 2 | Ep  42/120] loss=1.062 train_acc=65.0% val_acc=65.0% val_loss=1.447 (20s)
  [Fold 2 | Ep  43/120] loss=1.026 train_acc=65.7% val_acc=50.0% val_loss=1.324 (18s)
  [Fold 2 | Ep  44/120] loss=0.998 train_acc=66.5% val_acc=60.0% val_loss=1.294 (17s)
  [Fold 2 | Ep  45/120] loss=1.030 train_acc=64.4% val_acc=50.0% val_loss=1.448 (18s)
  [Fold 2 | Ep  46/120] loss=1.049 train_acc=63.9% val_acc=55.0% val_loss=1.391 (19s)
  [Fold 2 | Ep  47/120] loss=0.995 train_acc=68.7% val_acc=50.0% val_loss=1.435 (19s)
  [Fold 2 | Ep  48/120] loss=0.992 train_acc=66.3% val_acc=60.0% val_loss=1.294 (19s)
  [Fold 2 | Ep  49/120] loss=1.001 train_acc=64.1% val_acc=65.0% val_loss=1.295 (19s)
  [Fold 2 | Ep  50/120] loss=0.985 train_acc=65.0% val_acc=60.0% val_loss=1.425 (17s)
  [Fold 2 | Ep  51/120] loss=0.952 train_acc=68.1% val_acc=55.0% val_loss=1.380 (19s)
  [Fold 2 | Ep  52/120] loss=0.950 train_acc=67.6% val_acc=60.0% val_loss=1.315 (20s)
  [Fold 2 | Ep  53/120] loss=0.937 train_acc=68.7% val_acc=70.0% val_loss=1.200 (18s)
  [Fold 2 | Ep  54/120] loss=0.897 train_acc=69.6% val_acc=50.0% val_loss=1.310 (19s)
  [Fold 2 | Ep  55/120] loss=0.973 train_acc=69.6% val_acc=55.0% val_loss=1.225 (18s)
  [Fold 2 | Ep  56/120] loss=0.917 train_acc=70.2% val_acc=65.0% val_loss=1.296 (21s)
  [Fold 2 | Ep  57/120] loss=0.890 train_acc=69.8% val_acc=70.0% val_loss=1.251 (19s)
  [Fold 2 | Ep  58/120] loss=0.916 train_acc=70.2% val_acc=55.0% val_loss=1.272 (20s)
  [Fold 2 | Ep  59/120] loss=0.901 train_acc=68.3% val_acc=65.0% val_loss=1.250 (17s)
  [Fold 2 | Ep  60/120] loss=0.864 train_acc=72.2% val_acc=55.0% val_loss=1.386 (21s)
  [Fold 2 | Ep  61/120] loss=0.869 train_acc=72.8% val_acc=65.0% val_loss=1.288 (19s)
  [Fold 2 | Ep  62/120] loss=0.885 train_acc=73.1% val_acc=55.0% val_loss=1.353 (20s)
  [Fold 2 | Ep  63/120] loss=0.889 train_acc=68.3% val_acc=65.0% val_loss=1.245 (17s)
  [Fold 2 | Ep  64/120] loss=0.865 train_acc=72.0% val_acc=55.0% val_loss=1.344 (19s)
  [Fold 2 | Ep  65/120] loss=0.824 train_acc=73.7% val_acc=50.0% val_loss=1.455 (21s)
  [Fold 2 | Ep  66/120] loss=0.836 train_acc=74.8% val_acc=60.0% val_loss=1.353 (19s)
  [Fold 2 | Ep  67/120] loss=0.821 train_acc=73.1% val_acc=70.0% val_loss=1.300 (17s)
  [Fold 2 | Ep  68/120] loss=0.822 train_acc=75.9% val_acc=55.0% val_loss=1.364 (21s)
  Early stopping at epoch 68 (val_loss hasn't improved for 15 epochs)
