  [Fold 3 | Ep   1/120] loss=1.624 train_acc=24.2% val_acc=20.0% val_loss=1.659 (18s)
  [Fold 3 | Ep   2/120] loss=1.604 train_acc=21.6% val_acc=20.0% val_loss=1.650 (18s)
  [Fold 3 | Ep   3/120] loss=1.596 train_acc=21.0% val_acc=20.0% val_loss=1.649 (17s)
  [Fold 3 | Ep   4/120] loss=1.576 train_acc=21.0% val_acc=20.0% val_loss=1.639 (17s)
  [Fold 3 | Ep   5/120] loss=1.571 train_acc=23.8% val_acc=20.0% val_loss=1.632 (19s)
  [Fold 3 | Ep   6/120] loss=1.559 train_acc=21.6% val_acc=30.0% val_loss=1.617 (17s)
  [Fold 3 | Ep   7/120] loss=1.555 train_acc=22.3% val_acc=30.0% val_loss=1.606 (19s)
  [Fold 3 | Ep   8/120] loss=1.545 train_acc=24.0% val_acc=30.0% val_loss=1.597 (17s)
  [Fold 3 | Ep   9/120] loss=1.526 train_acc=22.3% val_acc=30.0% val_loss=1.585 (16s)
  [Fold 3 | Ep  10/120] loss=1.524 train_acc=26.2% val_acc=30.0% val_loss=1.580 (18s)
  [Fold 3 | Ep  11/120] loss=1.514 train_acc=24.5% val_acc=30.0% val_loss=1.563 (19s)
  [Fold 3 | Ep  12/120] loss=1.489 train_acc=28.8% val_acc=35.0% val_loss=1.545 (17s)
  [Fold 3 | Ep  13/120] loss=1.493 train_acc=27.3% val_acc=40.0% val_loss=1.536 (18s)
  [Fold 3 | Ep  14/120] loss=1.472 train_acc=27.3% val_acc=45.0% val_loss=1.521 (18s)
  [Fold 3 | Ep  15/120] loss=1.464 train_acc=34.7% val_acc=40.0% val_loss=1.517 (18s)
  [Fold 3 | Ep  16/120] loss=1.450 train_acc=30.3% val_acc=45.0% val_loss=1.499 (16s)
  [Fold 3 | Ep  17/120] loss=1.439 train_acc=34.3% val_acc=45.0% val_loss=1.490 (18s)
  [Fold 3 | Ep  18/120] loss=1.429 train_acc=35.1% val_acc=45.0% val_loss=1.486 (19s)
  [Fold 3 | Ep  19/120] loss=1.425 train_acc=35.6% val_acc=45.0% val_loss=1.468 (17s)
  [Fold 3 | Ep  20/120] loss=1.413 train_acc=39.7% val_acc=45.0% val_loss=1.449 (17s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.390 train_acc=41.5% val_acc=45.0% val_loss=1.448 (20s)
  [Fold 3 | Ep  22/120] loss=1.395 train_acc=38.4% val_acc=50.0% val_loss=1.434 (18s)
  [Fold 3 | Ep  23/120] loss=1.375 train_acc=45.2% val_acc=50.0% val_loss=1.414 (20s)
  [Fold 3 | Ep  24/120] loss=1.355 train_acc=48.3% val_acc=50.0% val_loss=1.401 (21s)
  [Fold 3 | Ep  25/120] loss=1.320 train_acc=45.8% val_acc=45.0% val_loss=1.412 (19s)
  [Fold 3 | Ep  26/120] loss=1.281 train_acc=53.9% val_acc=50.0% val_loss=1.328 (18s)
  [Fold 3 | Ep  27/120] loss=1.241 train_acc=57.7% val_acc=45.0% val_loss=1.321 (19s)
  [Fold 3 | Ep  28/120] loss=1.227 train_acc=54.2% val_acc=45.0% val_loss=1.319 (18s)
  [Fold 3 | Ep  29/120] loss=1.200 train_acc=57.2% val_acc=45.0% val_loss=1.322 (21s)
  [Fold 3 | Ep  30/120] loss=1.204 train_acc=57.4% val_acc=45.0% val_loss=1.297 (20s)
  [Fold 3 | Ep  31/120] loss=1.201 train_acc=58.3% val_acc=45.0% val_loss=1.304 (17s)
  [Fold 3 | Ep  32/120] loss=1.185 train_acc=57.4% val_acc=50.0% val_loss=1.302 (17s)
  [Fold 3 | Ep  33/120] loss=1.157 train_acc=58.1% val_acc=50.0% val_loss=1.327 (19s)
  [Fold 3 | Ep  34/120] loss=1.153 train_acc=61.1% val_acc=45.0% val_loss=1.305 (19s)
  [Fold 3 | Ep  35/120] loss=1.131 train_acc=61.6% val_acc=45.0% val_loss=1.330 (20s)
  [Fold 3 | Ep  36/120] loss=1.128 train_acc=61.1% val_acc=45.0% val_loss=1.312 (19s)
  [Fold 3 | Ep  37/120] loss=1.122 train_acc=61.3% val_acc=50.0% val_loss=1.328 (42s)
  [Fold 3 | Ep  38/120] loss=1.090 train_acc=60.5% val_acc=40.0% val_loss=1.401 (22s)
  [Fold 3 | Ep  39/120] loss=1.102 train_acc=64.0% val_acc=50.0% val_loss=1.354 (19s)
  [Fold 3 | Ep  40/120] loss=1.084 train_acc=61.3% val_acc=45.0% val_loss=1.320 (16s)
  [Fold 3 | Ep  41/120] loss=1.072 train_acc=63.7% val_acc=45.0% val_loss=1.404 (18s)
  [Fold 3 | Ep  42/120] loss=1.081 train_acc=63.1% val_acc=50.0% val_loss=1.324 (16s)
  [Fold 3 | Ep  43/120] loss=1.060 train_acc=63.8% val_acc=45.0% val_loss=1.383 (18s)
  [Fold 3 | Ep  44/120] loss=1.055 train_acc=62.2% val_acc=45.0% val_loss=1.456 (20s)
  [Fold 3 | Ep  45/120] loss=1.027 train_acc=67.9% val_acc=45.0% val_loss=1.427 (18s)
  Early stopping at epoch 45 (val_loss hasn't improved for 15 epochs)
