  [Fold 4 | Ep   1/120] loss=1.619 train_acc=20.8% val_acc=20.0% val_loss=1.643 (18s)
  [Fold 4 | Ep   2/120] loss=1.600 train_acc=23.4% val_acc=20.0% val_loss=1.638 (19s)
  [Fold 4 | Ep   3/120] loss=1.586 train_acc=22.1% val_acc=25.0% val_loss=1.628 (17s)
  [Fold 4 | Ep   4/120] loss=1.575 train_acc=25.1% val_acc=20.0% val_loss=1.619 (18s)
  [Fold 4 | Ep   5/120] loss=1.554 train_acc=26.8% val_acc=20.0% val_loss=1.608 (18s)
  [Fold 4 | Ep   6/120] loss=1.549 train_acc=26.8% val_acc=20.0% val_loss=1.593 (18s)
  [Fold 4 | Ep   7/120] loss=1.539 train_acc=25.3% val_acc=20.0% val_loss=1.586 (17s)
  [Fold 4 | Ep   8/120] loss=1.525 train_acc=26.9% val_acc=20.0% val_loss=1.576 (17s)
  [Fold 4 | Ep   9/120] loss=1.513 train_acc=29.3% val_acc=20.0% val_loss=1.565 (15s)
  [Fold 4 | Ep  10/120] loss=1.502 train_acc=27.1% val_acc=20.0% val_loss=1.552 (17s)
  [Fold 4 | Ep  11/120] loss=1.486 train_acc=27.5% val_acc=25.0% val_loss=1.537 (16s)
  [Fold 4 | Ep  12/120] loss=1.475 train_acc=31.5% val_acc=20.0% val_loss=1.532 (16s)
  [Fold 4 | Ep  13/120] loss=1.460 train_acc=28.2% val_acc=25.0% val_loss=1.521 (17s)
  [Fold 4 | Ep  14/120] loss=1.455 train_acc=30.1% val_acc=25.0% val_loss=1.506 (17s)
  [Fold 4 | Ep  15/120] loss=1.449 train_acc=34.5% val_acc=30.0% val_loss=1.490 (17s)
  [Fold 4 | Ep  16/120] loss=1.428 train_acc=32.8% val_acc=25.0% val_loss=1.485 (18s)
  [Fold 4 | Ep  17/120] loss=1.427 train_acc=36.3% val_acc=30.0% val_loss=1.474 (18s)
  [Fold 4 | Ep  18/120] loss=1.416 train_acc=35.2% val_acc=30.0% val_loss=1.461 (18s)
  [Fold 4 | Ep  19/120] loss=1.396 train_acc=40.8% val_acc=30.0% val_loss=1.457 (18s)
  [Fold 4 | Ep  20/120] loss=1.398 train_acc=38.0% val_acc=35.0% val_loss=1.437 (18s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.390 train_acc=41.9% val_acc=45.0% val_loss=1.422 (23s)
  [Fold 4 | Ep  22/120] loss=1.372 train_acc=42.6% val_acc=35.0% val_loss=1.420 (27s)
  [Fold 4 | Ep  23/120] loss=1.343 train_acc=44.5% val_acc=40.0% val_loss=1.401 (19s)
  [Fold 4 | Ep  24/120] loss=1.351 train_acc=43.7% val_acc=50.0% val_loss=1.380 (18s)
  [Fold 4 | Ep  25/120] loss=1.308 train_acc=50.9% val_acc=45.0% val_loss=1.351 (19s)
  [Fold 4 | Ep  26/120] loss=1.255 train_acc=53.7% val_acc=60.0% val_loss=1.262 (17s)
  [Fold 4 | Ep  27/120] loss=1.210 train_acc=55.7% val_acc=65.0% val_loss=1.252 (18s)
  [Fold 4 | Ep  28/120] loss=1.205 train_acc=57.4% val_acc=55.0% val_loss=1.331 (19s)
  [Fold 4 | Ep  29/120] loss=1.188 train_acc=58.7% val_acc=70.0% val_loss=1.209 (19s)
  [Fold 4 | Ep  30/120] loss=1.198 train_acc=58.7% val_acc=60.0% val_loss=1.291 (20s)
  [Fold 4 | Ep  31/120] loss=1.150 train_acc=60.3% val_acc=50.0% val_loss=1.280 (20s)
  [Fold 4 | Ep  32/120] loss=1.146 train_acc=60.9% val_acc=65.0% val_loss=1.229 (18s)
  [Fold 4 | Ep  33/120] loss=1.155 train_acc=57.9% val_acc=60.0% val_loss=1.217 (21s)
  [Fold 4 | Ep  34/120] loss=1.105 train_acc=62.7% val_acc=65.0% val_loss=1.236 (17s)
  [Fold 4 | Ep  35/120] loss=1.123 train_acc=59.8% val_acc=65.0% val_loss=1.227 (19s)
  [Fold 4 | Ep  36/120] loss=1.131 train_acc=62.7% val_acc=65.0% val_loss=1.240 (20s)
  [Fold 4 | Ep  37/120] loss=1.090 train_acc=61.6% val_acc=65.0% val_loss=1.214 (18s)
  [Fold 4 | Ep  38/120] loss=1.074 train_acc=64.9% val_acc=50.0% val_loss=1.482 (19s)
  [Fold 4 | Ep  39/120] loss=1.081 train_acc=64.6% val_acc=70.0% val_loss=1.229 (20s)
  [Fold 4 | Ep  40/120] loss=1.097 train_acc=63.7% val_acc=65.0% val_loss=1.212 (19s)
  [Fold 4 | Ep  41/120] loss=1.058 train_acc=63.8% val_acc=70.0% val_loss=1.225 (20s)
  [Fold 4 | Ep  42/120] loss=1.079 train_acc=62.5% val_acc=70.0% val_loss=1.227 (19s)
  [Fold 4 | Ep  43/120] loss=1.043 train_acc=65.7% val_acc=60.0% val_loss=1.230 (19s)
  [Fold 4 | Ep  44/120] loss=1.028 train_acc=66.1% val_acc=50.0% val_loss=1.276 (20s)
  Early stopping at epoch 44 (val_loss hasn't improved for 15 epochs)
