  [Fold 5 | Ep   1/120] loss=1.626 train_acc=19.7% val_acc=25.0% val_loss=1.654 (17s)
  [Fold 5 | Ep   2/120] loss=1.588 train_acc=24.6% val_acc=25.0% val_loss=1.657 (19s)
  [Fold 5 | Ep   3/120] loss=1.588 train_acc=24.4% val_acc=25.0% val_loss=1.645 (17s)
  [Fold 5 | Ep   4/120] loss=1.579 train_acc=23.3% val_acc=25.0% val_loss=1.632 (20s)
  [Fold 5 | Ep   5/120] loss=1.559 train_acc=27.6% val_acc=25.0% val_loss=1.625 (17s)
  [Fold 5 | Ep   6/120] loss=1.555 train_acc=27.0% val_acc=25.0% val_loss=1.611 (17s)
  [Fold 5 | Ep   7/120] loss=1.544 train_acc=26.4% val_acc=25.0% val_loss=1.603 (17s)
  [Fold 5 | Ep   8/120] loss=1.527 train_acc=27.6% val_acc=25.0% val_loss=1.602 (17s)
  [Fold 5 | Ep   9/120] loss=1.518 train_acc=26.3% val_acc=25.0% val_loss=1.588 (17s)
  [Fold 5 | Ep  10/120] loss=1.503 train_acc=27.4% val_acc=25.0% val_loss=1.581 (17s)
  [Fold 5 | Ep  11/120] loss=1.505 train_acc=26.6% val_acc=25.0% val_loss=1.567 (16s)
  [Fold 5 | Ep  12/120] loss=1.489 train_acc=30.9% val_acc=25.0% val_loss=1.559 (17s)
  [Fold 5 | Ep  13/120] loss=1.470 train_acc=31.5% val_acc=30.0% val_loss=1.546 (16s)
  [Fold 5 | Ep  14/120] loss=1.467 train_acc=33.5% val_acc=25.0% val_loss=1.543 (18s)
  [Fold 5 | Ep  15/120] loss=1.449 train_acc=33.3% val_acc=30.0% val_loss=1.534 (19s)
  [Fold 5 | Ep  16/120] loss=1.444 train_acc=35.8% val_acc=30.0% val_loss=1.523 (17s)
  [Fold 5 | Ep  17/120] loss=1.419 train_acc=37.2% val_acc=30.0% val_loss=1.514 (16s)
  [Fold 5 | Ep  18/120] loss=1.420 train_acc=34.6% val_acc=30.0% val_loss=1.497 (16s)
  [Fold 5 | Ep  19/120] loss=1.410 train_acc=40.2% val_acc=35.0% val_loss=1.489 (19s)
  [Fold 5 | Ep  20/120] loss=1.396 train_acc=37.4% val_acc=35.0% val_loss=1.478 (19s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=1.382 train_acc=43.9% val_acc=35.0% val_loss=1.465 (20s)
  [Fold 5 | Ep  22/120] loss=1.382 train_acc=44.9% val_acc=40.0% val_loss=1.452 (21s)
  [Fold 5 | Ep  23/120] loss=1.369 train_acc=44.5% val_acc=40.0% val_loss=1.443 (22s)
  [Fold 5 | Ep  24/120] loss=1.360 train_acc=46.4% val_acc=45.0% val_loss=1.422 (21s)
  [Fold 5 | Ep  25/120] loss=1.340 train_acc=50.5% val_acc=45.0% val_loss=1.376 (20s)
  [Fold 5 | Ep  26/120] loss=1.298 train_acc=54.0% val_acc=50.0% val_loss=1.322 (21s)
  [Fold 5 | Ep  27/120] loss=1.244 train_acc=53.6% val_acc=45.0% val_loss=1.358 (33s)
  [Fold 5 | Ep  28/120] loss=1.246 train_acc=53.4% val_acc=55.0% val_loss=1.276 (20s)
  [Fold 5 | Ep  29/120] loss=1.218 train_acc=55.1% val_acc=55.0% val_loss=1.246 (18s)
  [Fold 5 | Ep  30/120] loss=1.211 train_acc=55.1% val_acc=55.0% val_loss=1.241 (18s)
  [Fold 5 | Ep  31/120] loss=1.201 train_acc=54.9% val_acc=55.0% val_loss=1.272 (17s)
  [Fold 5 | Ep  32/120] loss=1.199 train_acc=53.6% val_acc=55.0% val_loss=1.236 (18s)
  [Fold 5 | Ep  33/120] loss=1.177 train_acc=54.0% val_acc=55.0% val_loss=1.220 (17s)
  [Fold 5 | Ep  34/120] loss=1.157 train_acc=56.6% val_acc=55.0% val_loss=1.272 (16s)
  [Fold 5 | Ep  35/120] loss=1.145 train_acc=56.4% val_acc=55.0% val_loss=1.292 (18s)
  [Fold 5 | Ep  36/120] loss=1.168 train_acc=55.7% val_acc=50.0% val_loss=1.281 (18s)
  [Fold 5 | Ep  37/120] loss=1.156 train_acc=56.8% val_acc=45.0% val_loss=1.393 (18s)
  [Fold 5 | Ep  38/120] loss=1.143 train_acc=56.4% val_acc=55.0% val_loss=1.310 (16s)
  [Fold 5 | Ep  39/120] loss=1.101 train_acc=59.4% val_acc=50.0% val_loss=1.315 (22s)
  [Fold 5 | Ep  40/120] loss=1.109 train_acc=59.6% val_acc=50.0% val_loss=1.382 (20s)
  [Fold 5 | Ep  41/120] loss=1.115 train_acc=59.6% val_acc=55.0% val_loss=1.329 (18s)
  [Fold 5 | Ep  42/120] loss=1.080 train_acc=58.8% val_acc=50.0% val_loss=1.386 (21s)
  [Fold 5 | Ep  43/120] loss=1.089 train_acc=59.6% val_acc=55.0% val_loss=1.289 (19s)
  [Fold 5 | Ep  44/120] loss=1.063 train_acc=59.4% val_acc=50.0% val_loss=1.328 (20s)
  [Fold 5 | Ep  45/120] loss=1.058 train_acc=60.0% val_acc=55.0% val_loss=1.329 (20s)
  [Fold 5 | Ep  46/120] loss=1.052 train_acc=61.6% val_acc=55.0% val_loss=1.350 (18s)
  [Fold 5 | Ep  47/120] loss=1.038 train_acc=61.5% val_acc=45.0% val_loss=1.424 (19s)
  [Fold 5 | Ep  48/120] loss=1.047 train_acc=60.5% val_acc=50.0% val_loss=1.279 (19s)
  Early stopping at epoch 48 (val_loss hasn't improved for 15 epochs)
