  [Fold 1 | Ep   1/120] loss=1.573 train_acc=20.2% val_acc=20.0% val_loss=1.702 (21s)
  [Fold 1 | Ep   2/120] loss=1.543 train_acc=19.5% val_acc=20.0% val_loss=1.715 (19s)
  [Fold 1 | Ep   3/120] loss=1.541 train_acc=19.3% val_acc=20.0% val_loss=1.705 (20s)
  [Fold 1 | Ep   4/120] loss=1.547 train_acc=19.5% val_acc=20.0% val_loss=1.691 (18s)
  [Fold 1 | Ep   5/120] loss=1.540 train_acc=19.5% val_acc=20.0% val_loss=1.688 (19s)
  [Fold 1 | Ep   6/120] loss=1.530 train_acc=19.5% val_acc=20.0% val_loss=1.671 (20s)
  [Fold 1 | Ep   7/120] loss=1.521 train_acc=20.6% val_acc=20.0% val_loss=1.674 (20s)
  [Fold 1 | Ep   8/120] loss=1.502 train_acc=19.5% val_acc=20.0% val_loss=1.663 (21s)
  [Fold 1 | Ep   9/120] loss=1.507 train_acc=19.7% val_acc=20.0% val_loss=1.650 (18s)
  [Fold 1 | Ep  10/120] loss=1.485 train_acc=20.4% val_acc=20.0% val_loss=1.639 (19s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 1 | Ep  11/120] loss=1.487 train_acc=20.2% val_acc=20.0% val_loss=1.635 (20s)
  [Fold 1 | Ep  12/120] loss=1.476 train_acc=21.9% val_acc=20.0% val_loss=1.640 (19s)
  [Fold 1 | Ep  13/120] loss=1.463 train_acc=20.2% val_acc=20.0% val_loss=1.605 (21s)
  [Fold 1 | Ep  14/120] loss=1.447 train_acc=22.4% val_acc=20.0% val_loss=1.594 (19s)
  [Fold 1 | Ep  15/120] loss=1.423 train_acc=23.2% val_acc=30.0% val_loss=1.560 (22s)
  [Fold 1 | Ep  16/120] loss=1.367 train_acc=32.7% val_acc=35.0% val_loss=1.501 (21s)
  [Fold 1 | Ep  17/120] loss=1.280 train_acc=37.7% val_acc=40.0% val_loss=1.483 (24s)
  [Fold 1 | Ep  18/120] loss=1.255 train_acc=35.8% val_acc=40.0% val_loss=1.528 (21s)
  [Fold 1 | Ep  19/120] loss=1.271 train_acc=36.0% val_acc=35.0% val_loss=1.491 (23s)
  [Fold 1 | Ep  20/120] loss=1.222 train_acc=38.2% val_acc=40.0% val_loss=1.501 (30s)
  [Fold 1 | Ep  21/120] loss=1.236 train_acc=37.8% val_acc=35.0% val_loss=1.557 (19s)
  [Fold 1 | Ep  22/120] loss=1.223 train_acc=37.7% val_acc=35.0% val_loss=1.547 (20s)
  [Fold 1 | Ep  23/120] loss=1.199 train_acc=39.0% val_acc=30.0% val_loss=1.582 (20s)
  [Fold 1 | Ep  24/120] loss=1.222 train_acc=38.4% val_acc=35.0% val_loss=1.551 (22s)
  [Fold 1 | Ep  25/120] loss=1.169 train_acc=39.5% val_acc=35.0% val_loss=1.519 (21s)
  [Fold 1 | Ep  26/120] loss=1.163 train_acc=41.4% val_acc=40.0% val_loss=1.495 (20s)
  [Fold 1 | Ep  27/120] loss=1.197 train_acc=39.3% val_acc=30.0% val_loss=1.559 (21s)
  [Fold 1 | Ep  28/120] loss=1.149 train_acc=40.4% val_acc=35.0% val_loss=1.543 (19s)
  [Fold 1 | Ep  29/120] loss=1.115 train_acc=41.9% val_acc=35.0% val_loss=1.538 (23s)
  [Fold 1 | Ep  30/120] loss=1.135 train_acc=43.2% val_acc=35.0% val_loss=1.549 (21s)
  [Fold 1 | Ep  31/120] loss=1.089 train_acc=44.9% val_acc=35.0% val_loss=1.463 (20s)
  [Fold 1 | Ep  32/120] loss=1.128 train_acc=45.1% val_acc=45.0% val_loss=1.475 (18s)
  [Fold 1 | Ep  33/120] loss=1.066 train_acc=48.1% val_acc=40.0% val_loss=1.484 (22s)
  [Fold 1 | Ep  34/120] loss=1.115 train_acc=45.6% val_acc=40.0% val_loss=1.509 (22s)
  [Fold 1 | Ep  35/120] loss=1.055 train_acc=51.4% val_acc=50.0% val_loss=1.440 (21s)
  [Fold 1 | Ep  36/120] loss=1.045 train_acc=53.2% val_acc=45.0% val_loss=1.579 (22s)
  [Fold 1 | Ep  37/120] loss=1.014 train_acc=56.4% val_acc=50.0% val_loss=1.493 (21s)
  [Fold 1 | Ep  38/120] loss=1.023 train_acc=55.5% val_acc=40.0% val_loss=1.584 (22s)
  [Fold 1 | Ep  39/120] loss=1.021 train_acc=60.7% val_acc=50.0% val_loss=1.445 (19s)
  [Fold 1 | Ep  40/120] loss=0.976 train_acc=58.6% val_acc=35.0% val_loss=1.652 (20s)
  [Fold 1 | Ep  41/120] loss=0.966 train_acc=63.6% val_acc=35.0% val_loss=1.517 (19s)
  [Fold 1 | Ep  42/120] loss=0.955 train_acc=63.3% val_acc=60.0% val_loss=1.444 (22s)
  [Fold 1 | Ep  43/120] loss=0.966 train_acc=65.7% val_acc=50.0% val_loss=1.417 (18s)
  [Fold 1 | Ep  44/120] loss=0.932 train_acc=66.2% val_acc=45.0% val_loss=1.487 (19s)
  [Fold 1 | Ep  45/120] loss=0.926 train_acc=67.0% val_acc=40.0% val_loss=1.489 (20s)
  [Fold 1 | Ep  46/120] loss=0.934 train_acc=67.5% val_acc=45.0% val_loss=1.501 (22s)
  [Fold 1 | Ep  47/120] loss=0.886 train_acc=71.2% val_acc=50.0% val_loss=1.528 (21s)
  [Fold 1 | Ep  48/120] loss=0.865 train_acc=72.0% val_acc=65.0% val_loss=1.423 (21s)
  [Fold 1 | Ep  49/120] loss=0.870 train_acc=75.5% val_acc=45.0% val_loss=1.586 (19s)
  [Fold 1 | Ep  50/120] loss=0.806 train_acc=78.1% val_acc=40.0% val_loss=1.634 (27s)
  [Fold 1 | Ep  51/120] loss=0.832 train_acc=73.3% val_acc=55.0% val_loss=1.556 (21s)
  [Fold 1 | Ep  52/120] loss=0.832 train_acc=75.9% val_acc=55.0% val_loss=1.542 (36s)
  [Fold 1 | Ep  53/120] loss=0.789 train_acc=77.7% val_acc=60.0% val_loss=1.558 (52s)
  [Fold 1 | Ep  54/120] loss=0.784 train_acc=78.3% val_acc=45.0% val_loss=1.663 (20s)
  [Fold 1 | Ep  55/120] loss=0.800 train_acc=76.3% val_acc=55.0% val_loss=1.479 (23s)
  [Fold 1 | Ep  56/120] loss=0.756 train_acc=79.4% val_acc=55.0% val_loss=1.604 (22s)
