  [Fold 2 | Ep   1/120] loss=1.597 train_acc=23.3% val_acc=20.0% val_loss=1.678 (19s)
  [Fold 2 | Ep   2/120] loss=1.553 train_acc=19.4% val_acc=20.0% val_loss=1.683 (17s)
  [Fold 2 | Ep   3/120] loss=1.526 train_acc=20.9% val_acc=20.0% val_loss=1.689 (20s)
  [Fold 2 | Ep   4/120] loss=1.541 train_acc=20.0% val_acc=20.0% val_loss=1.684 (18s)
  [Fold 2 | Ep   5/120] loss=1.526 train_acc=20.6% val_acc=20.0% val_loss=1.682 (19s)
  [Fold 2 | Ep   6/120] loss=1.544 train_acc=20.7% val_acc=20.0% val_loss=1.676 (18s)
  [Fold 2 | Ep   7/120] loss=1.515 train_acc=22.8% val_acc=25.0% val_loss=1.664 (18s)
  [Fold 2 | Ep   8/120] loss=1.503 train_acc=23.5% val_acc=25.0% val_loss=1.666 (17s)
  [Fold 2 | Ep   9/120] loss=1.513 train_acc=23.9% val_acc=25.0% val_loss=1.653 (17s)
  [Fold 2 | Ep  10/120] loss=1.504 train_acc=24.6% val_acc=25.0% val_loss=1.664 (17s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  11/120] loss=1.476 train_acc=25.6% val_acc=25.0% val_loss=1.650 (22s)
  [Fold 2 | Ep  12/120] loss=1.485 train_acc=25.2% val_acc=25.0% val_loss=1.643 (21s)
  [Fold 2 | Ep  13/120] loss=1.472 train_acc=25.0% val_acc=25.0% val_loss=1.637 (21s)
  [Fold 2 | Ep  14/120] loss=1.472 train_acc=26.5% val_acc=25.0% val_loss=1.637 (49s)
  [Fold 2 | Ep  15/120] loss=1.457 train_acc=27.4% val_acc=25.0% val_loss=1.616 (29s)
  [Fold 2 | Ep  16/120] loss=1.459 train_acc=28.5% val_acc=25.0% val_loss=1.610 (20s)
  [Fold 2 | Ep  17/120] loss=1.417 train_acc=28.0% val_acc=25.0% val_loss=1.606 (20s)
  [Fold 2 | Ep  18/120] loss=1.389 train_acc=32.4% val_acc=20.0% val_loss=1.585 (20s)
  [Fold 2 | Ep  19/120] loss=1.326 train_acc=36.1% val_acc=35.0% val_loss=1.541 (17s)
  [Fold 2 | Ep  20/120] loss=1.284 train_acc=37.6% val_acc=25.0% val_loss=1.614 (19s)
  [Fold 2 | Ep  21/120] loss=1.236 train_acc=39.4% val_acc=25.0% val_loss=1.635 (18s)
  [Fold 2 | Ep  22/120] loss=1.231 train_acc=39.4% val_acc=30.0% val_loss=1.598 (19s)
  [Fold 2 | Ep  23/120] loss=1.221 train_acc=42.0% val_acc=20.0% val_loss=1.539 (22s)
  [Fold 2 | Ep  24/120] loss=1.210 train_acc=42.0% val_acc=30.0% val_loss=1.556 (20s)
  [Fold 2 | Ep  25/120] loss=1.177 train_acc=43.0% val_acc=30.0% val_loss=1.562 (20s)
  [Fold 2 | Ep  26/120] loss=1.180 train_acc=43.5% val_acc=30.0% val_loss=1.582 (20s)
  [Fold 2 | Ep  27/120] loss=1.181 train_acc=42.8% val_acc=30.0% val_loss=1.469 (18s)
  [Fold 2 | Ep  28/120] loss=1.165 train_acc=45.7% val_acc=35.0% val_loss=1.510 (18s)
  [Fold 2 | Ep  29/120] loss=1.140 train_acc=45.0% val_acc=30.0% val_loss=1.562 (20s)
  [Fold 2 | Ep  30/120] loss=1.158 train_acc=46.9% val_acc=25.0% val_loss=1.587 (18s)
  [Fold 2 | Ep  31/120] loss=1.121 train_acc=47.8% val_acc=35.0% val_loss=1.509 (20s)
  [Fold 2 | Ep  32/120] loss=1.087 train_acc=51.1% val_acc=35.0% val_loss=1.552 (19s)
  [Fold 2 | Ep  33/120] loss=1.067 train_acc=50.6% val_acc=35.0% val_loss=1.553 (21s)
  [Fold 2 | Ep  34/120] loss=1.061 train_acc=52.4% val_acc=35.0% val_loss=1.541 (20s)
  [Fold 2 | Ep  35/120] loss=1.073 train_acc=52.6% val_acc=40.0% val_loss=1.476 (19s)
  [Fold 2 | Ep  36/120] loss=1.041 train_acc=53.5% val_acc=30.0% val_loss=1.545 (57s)
  [Fold 2 | Ep  37/120] loss=1.029 train_acc=57.0% val_acc=35.0% val_loss=1.538 (22s)
  [Fold 2 | Ep  38/120] loss=0.979 train_acc=60.0% val_acc=30.0% val_loss=1.539 (19s)
  [Fold 2 | Ep  39/120] loss=0.969 train_acc=60.7% val_acc=45.0% val_loss=1.553 (18s)
  [Fold 2 | Ep  40/120] loss=0.951 train_acc=62.4% val_acc=35.0% val_loss=1.514 (21s)
  [Fold 2 | Ep  41/120] loss=0.938 train_acc=65.6% val_acc=40.0% val_loss=1.578 (19s)
  [Fold 2 | Ep  42/120] loss=0.919 train_acc=63.0% val_acc=50.0% val_loss=1.406 (17s)
  [Fold 2 | Ep  43/120] loss=0.955 train_acc=64.1% val_acc=45.0% val_loss=1.467 (20s)
  [Fold 2 | Ep  44/120] loss=0.917 train_acc=68.5% val_acc=45.0% val_loss=1.501 (17s)
  [Fold 2 | Ep  45/120] loss=0.890 train_acc=71.1% val_acc=40.0% val_loss=1.472 (33s)
  [Fold 2 | Ep  46/120] loss=0.867 train_acc=71.5% val_acc=35.0% val_loss=1.632 (22s)
  [Fold 2 | Ep  47/120] loss=0.889 train_acc=69.6% val_acc=35.0% val_loss=1.615 (19s)
  [Fold 2 | Ep  48/120] loss=0.899 train_acc=69.8% val_acc=45.0% val_loss=1.575 (19s)
  [Fold 2 | Ep  49/120] loss=0.878 train_acc=69.6% val_acc=40.0% val_loss=1.537 (19s)
  [Fold 2 | Ep  50/120] loss=0.821 train_acc=74.4% val_acc=45.0% val_loss=1.628 (36s)
  [Fold 2 | Ep  51/120] loss=0.867 train_acc=70.6% val_acc=45.0% val_loss=1.575 (23s)
  [Fold 2 | Ep  52/120] loss=0.832 train_acc=72.2% val_acc=40.0% val_loss=1.534 (19s)
  [Fold 2 | Ep  53/120] loss=0.787 train_acc=74.4% val_acc=45.0% val_loss=1.640 (22s)
  [Fold 2 | Ep  54/120] loss=0.819 train_acc=73.9% val_acc=60.0% val_loss=1.624 (20s)
  [Fold 2 | Ep  55/120] loss=0.784 train_acc=77.0% val_acc=55.0% val_loss=1.553 (20s)
  [Fold 2 | Ep  56/120] loss=0.803 train_acc=77.2% val_acc=45.0% val_loss=1.593 (18s)
  [Fold 2 | Ep  57/120] loss=0.831 train_acc=74.1% val_acc=45.0% val_loss=1.764 (20s)
  [Fold 2 | Ep  58/120] loss=0.778 train_acc=75.2% val_acc=45.0% val_loss=1.685 (22s)
  [Fold 2 | Ep  59/120] loss=0.770 train_acc=77.8% val_acc=50.0% val_loss=1.472 (21s)
  [Fold 2 | Ep  60/120] loss=0.759 train_acc=77.6% val_acc=60.0% val_loss=1.593 (30s)
  [Fold 2 | Ep  61/120] loss=0.767 train_acc=77.4% val_acc=50.0% val_loss=1.693 (20s)
  [Fold 2 | Ep  62/120] loss=0.741 train_acc=79.3% val_acc=45.0% val_loss=1.666 (19s)
  [Fold 2 | Ep  63/120] loss=0.743 train_acc=78.1% val_acc=45.0% val_loss=1.759 (30s)
  [Fold 2 | Ep  64/120] loss=0.727 train_acc=80.7% val_acc=50.0% val_loss=1.636 (19s)
  [Fold 2 | Ep  65/120] loss=0.710 train_acc=81.7% val_acc=55.0% val_loss=1.620 (28s)
  [Fold 2 | Ep  66/120] loss=0.694 train_acc=83.9% val_acc=45.0% val_loss=1.790 (21s)
  [Fold 2 | Ep  67/120] loss=0.686 train_acc=81.9% val_acc=45.0% val_loss=1.700 (20s)
