  [Fold 3 | Ep   1/120] loss=1.602 train_acc=19.2% val_acc=20.0% val_loss=1.690 (19s)
  [Fold 3 | Ep   2/120] loss=1.550 train_acc=20.3% val_acc=20.0% val_loss=1.703 (17s)
  [Fold 3 | Ep   3/120] loss=1.526 train_acc=21.6% val_acc=20.0% val_loss=1.702 (17s)
  [Fold 3 | Ep   4/120] loss=1.527 train_acc=21.8% val_acc=20.0% val_loss=1.703 (18s)
  [Fold 3 | Ep   5/120] loss=1.527 train_acc=21.0% val_acc=20.0% val_loss=1.689 (18s)
  [Fold 3 | Ep   6/120] loss=1.507 train_acc=20.5% val_acc=20.0% val_loss=1.682 (20s)
  [Fold 3 | Ep   7/120] loss=1.492 train_acc=22.3% val_acc=20.0% val_loss=1.690 (19s)
  [Fold 3 | Ep   8/120] loss=1.504 train_acc=22.0% val_acc=20.0% val_loss=1.666 (17s)
  [Fold 3 | Ep   9/120] loss=1.481 train_acc=24.2% val_acc=20.0% val_loss=1.658 (19s)
  [Fold 3 | Ep  10/120] loss=1.480 train_acc=23.4% val_acc=20.0% val_loss=1.652 (17s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 3 | Ep  11/120] loss=1.473 train_acc=23.2% val_acc=25.0% val_loss=1.637 (20s)
  [Fold 3 | Ep  12/120] loss=1.454 train_acc=26.0% val_acc=30.0% val_loss=1.621 (19s)
  [Fold 3 | Ep  13/120] loss=1.454 train_acc=26.2% val_acc=25.0% val_loss=1.618 (19s)
  [Fold 3 | Ep  14/120] loss=1.421 train_acc=27.1% val_acc=30.0% val_loss=1.584 (21s)
  [Fold 3 | Ep  15/120] loss=1.382 train_acc=33.6% val_acc=35.0% val_loss=1.544 (34s)
  [Fold 3 | Ep  16/120] loss=1.339 train_acc=35.8% val_acc=40.0% val_loss=1.527 (29s)
  [Fold 3 | Ep  17/120] loss=1.303 train_acc=36.3% val_acc=30.0% val_loss=1.553 (28s)
  [Fold 3 | Ep  18/120] loss=1.290 train_acc=36.5% val_acc=25.0% val_loss=1.626 (41s)
  [Fold 3 | Ep  19/120] loss=1.248 train_acc=38.6% val_acc=40.0% val_loss=1.496 (71s)
  [Fold 3 | Ep  20/120] loss=1.237 train_acc=38.0% val_acc=40.0% val_loss=1.492 (127s)
  [Fold 3 | Ep  21/120] loss=1.229 train_acc=38.4% val_acc=40.0% val_loss=1.494 (127s)
  [Fold 3 | Ep  22/120] loss=1.201 train_acc=38.9% val_acc=45.0% val_loss=1.530 (138s)
  [Fold 3 | Ep  23/120] loss=1.189 train_acc=40.4% val_acc=35.0% val_loss=1.571 (105s)
  [Fold 3 | Ep  24/120] loss=1.158 train_acc=40.6% val_acc=45.0% val_loss=1.529 (71s)
  [Fold 3 | Ep  25/120] loss=1.172 train_acc=41.5% val_acc=40.0% val_loss=1.608 (193s)
  [Fold 3 | Ep  26/120] loss=1.106 train_acc=43.9% val_acc=40.0% val_loss=1.697 (187s)
  [Fold 3 | Ep  27/120] loss=1.113 train_acc=43.2% val_acc=35.0% val_loss=1.600 (173s)
