  [Fold 4 | Ep   1/120] loss=1.597 train_acc=21.4% val_acc=20.0% val_loss=1.712 (18s)
  [Fold 4 | Ep   2/120] loss=1.536 train_acc=20.3% val_acc=20.0% val_loss=1.732 (20s)
  [Fold 4 | Ep   3/120] loss=1.541 train_acc=19.9% val_acc=20.0% val_loss=1.724 (19s)
  [Fold 4 | Ep   4/120] loss=1.531 train_acc=20.1% val_acc=20.0% val_loss=1.707 (18s)
  [Fold 4 | Ep   5/120] loss=1.523 train_acc=20.1% val_acc=20.0% val_loss=1.693 (15s)
  [Fold 4 | Ep   6/120] loss=1.512 train_acc=20.7% val_acc=20.0% val_loss=1.704 (17s)
  [Fold 4 | Ep   7/120] loss=1.514 train_acc=20.7% val_acc=20.0% val_loss=1.684 (19s)
  [Fold 4 | Ep   8/120] loss=1.492 train_acc=21.2% val_acc=20.0% val_loss=1.708 (19s)
  [Fold 4 | Ep   9/120] loss=1.491 train_acc=20.8% val_acc=20.0% val_loss=1.681 (18s)
  [Fold 4 | Ep  10/120] loss=1.478 train_acc=22.3% val_acc=20.0% val_loss=1.676 (18s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 4 | Ep  11/120] loss=1.479 train_acc=22.7% val_acc=25.0% val_loss=1.659 (22s)
  [Fold 4 | Ep  12/120] loss=1.478 train_acc=24.9% val_acc=20.0% val_loss=1.664 (20s)
  [Fold 4 | Ep  13/120] loss=1.455 train_acc=24.5% val_acc=25.0% val_loss=1.637 (20s)
  [Fold 4 | Ep  14/120] loss=1.435 train_acc=24.5% val_acc=25.0% val_loss=1.637 (27s)
  [Fold 4 | Ep  15/120] loss=1.412 train_acc=26.8% val_acc=25.0% val_loss=1.565 (46s)
  [Fold 4 | Ep  16/120] loss=1.370 train_acc=31.4% val_acc=30.0% val_loss=1.524 (19s)
  [Fold 4 | Ep  17/120] loss=1.313 train_acc=35.8% val_acc=40.0% val_loss=1.471 (23s)
  [Fold 4 | Ep  18/120] loss=1.259 train_acc=36.3% val_acc=35.0% val_loss=1.486 (62s)
  [Fold 4 | Ep  19/120] loss=1.233 train_acc=39.1% val_acc=40.0% val_loss=1.416 (92s)
  [Fold 4 | Ep  20/120] loss=1.276 train_acc=36.2% val_acc=35.0% val_loss=1.475 (90s)
  [Fold 4 | Ep  21/120] loss=1.224 train_acc=39.1% val_acc=40.0% val_loss=1.402 (265s)
  [Fold 4 | Ep  22/120] loss=1.212 train_acc=39.1% val_acc=40.0% val_loss=1.437 (155s)
  [Fold 4 | Ep  23/120] loss=1.195 train_acc=40.4% val_acc=40.0% val_loss=1.454 (152s)
  [Fold 4 | Ep  24/120] loss=1.194 train_acc=40.4% val_acc=40.0% val_loss=1.388 (182s)
  [Fold 4 | Ep  25/120] loss=1.182 train_acc=42.1% val_acc=45.0% val_loss=1.429 (147s)
  [Fold 4 | Ep  26/120] loss=1.147 train_acc=43.7% val_acc=40.0% val_loss=1.430 (159s)
  [Fold 4 | Ep  27/120] loss=1.133 train_acc=43.5% val_acc=45.0% val_loss=1.525 (167s)
  [Fold 4 | Ep  28/120] loss=1.187 train_acc=42.6% val_acc=50.0% val_loss=1.432 (222s)
  [Fold 4 | Ep  29/120] loss=1.102 train_acc=45.6% val_acc=45.0% val_loss=1.449 (120s)
  [Fold 4 | Ep  30/120] loss=1.121 train_acc=47.2% val_acc=45.0% val_loss=1.539 (198s)
  [Fold 4 | Ep  31/120] loss=1.141 train_acc=45.9% val_acc=50.0% val_loss=1.447 (193s)
  [Fold 4 | Ep  32/120] loss=1.111 train_acc=46.7% val_acc=35.0% val_loss=1.581 (149s)
  [Fold 4 | Ep  33/120] loss=1.106 train_acc=45.0% val_acc=40.0% val_loss=1.639 (111s)
  [Fold 4 | Ep  34/120] loss=1.095 train_acc=48.7% val_acc=35.0% val_loss=1.517 (60s)
  [Fold 4 | Ep  35/120] loss=1.058 train_acc=49.6% val_acc=45.0% val_loss=1.567 (82s)
  [Fold 4 | Ep  36/120] loss=1.080 train_acc=49.4% val_acc=40.0% val_loss=1.456 (202s)
  [Fold 4 | Ep  37/120] loss=1.028 train_acc=50.9% val_acc=50.0% val_loss=1.510 (193s)
  [Fold 4 | Ep  38/120] loss=1.035 train_acc=51.5% val_acc=45.0% val_loss=1.463 (114s)
  [Fold 4 | Ep  39/120] loss=1.058 train_acc=53.5% val_acc=50.0% val_loss=1.554 (59s)
  [Fold 4 | Ep  40/120] loss=1.001 train_acc=58.3% val_acc=40.0% val_loss=1.532 (209s)
  [Fold 4 | Ep  41/120] loss=0.967 train_acc=62.2% val_acc=45.0% val_loss=1.650 (131s)
  [Fold 4 | Ep  42/120] loss=0.986 train_acc=62.4% val_acc=40.0% val_loss=1.602 (68s)
  [Fold 4 | Ep  43/120] loss=0.961 train_acc=62.7% val_acc=45.0% val_loss=1.657 (50s)
  [Fold 4 | Ep  44/120] loss=0.987 train_acc=62.4% val_acc=40.0% val_loss=1.633 (63s)
  [Fold 4 | Ep  45/120] loss=0.935 train_acc=66.2% val_acc=45.0% val_loss=1.683 (48s)
  [Fold 4 | Ep  46/120] loss=0.943 train_acc=66.4% val_acc=55.0% val_loss=1.537 (55s)
  [Fold 4 | Ep  47/120] loss=0.929 train_acc=70.3% val_acc=45.0% val_loss=1.604 (36s)
  [Fold 4 | Ep  48/120] loss=0.907 train_acc=72.9% val_acc=45.0% val_loss=1.739 (24s)
  [Fold 4 | Ep  49/120] loss=0.912 train_acc=70.3% val_acc=45.0% val_loss=1.762 (24s)
  [Fold 4 | Ep  50/120] loss=0.907 train_acc=70.1% val_acc=60.0% val_loss=1.592 (24s)
  [Fold 4 | Ep  51/120] loss=0.888 train_acc=74.2% val_acc=45.0% val_loss=1.708 (22s)
  [Fold 4 | Ep  52/120] loss=0.857 train_acc=73.8% val_acc=50.0% val_loss=1.763 (22s)
  [Fold 4 | Ep  53/120] loss=0.836 train_acc=75.3% val_acc=60.0% val_loss=1.774 (24s)
  [Fold 4 | Ep  54/120] loss=0.802 train_acc=77.3% val_acc=40.0% val_loss=1.780 (24s)
  Early stopping at epoch 54 (val_loss hasn't improved for 30 epochs)
