  [Fold 5 | Ep   1/120] loss=1.586 train_acc=20.3% val_acc=20.0% val_loss=1.707 (22s)
  [Fold 5 | Ep   2/120] loss=1.543 train_acc=19.6% val_acc=20.0% val_loss=1.725 (20s)
  [Fold 5 | Ep   3/120] loss=1.545 train_acc=20.3% val_acc=20.0% val_loss=1.713 (19s)
  [Fold 5 | Ep   4/120] loss=1.519 train_acc=21.8% val_acc=20.0% val_loss=1.735 (18s)
  [Fold 5 | Ep   5/120] loss=1.535 train_acc=20.7% val_acc=20.0% val_loss=1.720 (19s)
  [Fold 5 | Ep   6/120] loss=1.513 train_acc=20.5% val_acc=20.0% val_loss=1.714 (33s)
  [Fold 5 | Ep   7/120] loss=1.534 train_acc=22.5% val_acc=20.0% val_loss=1.683 (40s)
  [Fold 5 | Ep   8/120] loss=1.506 train_acc=23.5% val_acc=20.0% val_loss=1.694 (20s)
  [Fold 5 | Ep   9/120] loss=1.501 train_acc=22.3% val_acc=20.0% val_loss=1.695 (19s)
  [Fold 5 | Ep  10/120] loss=1.483 train_acc=22.9% val_acc=25.0% val_loss=1.683 (41s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 5 | Ep  11/120] loss=1.482 train_acc=26.1% val_acc=25.0% val_loss=1.670 (60s)
  [Fold 5 | Ep  12/120] loss=1.454 train_acc=26.3% val_acc=25.0% val_loss=1.674 (247s)
  [Fold 5 | Ep  13/120] loss=1.458 train_acc=27.4% val_acc=25.0% val_loss=1.672 (190s)
  [Fold 5 | Ep  14/120] loss=1.439 train_acc=27.2% val_acc=25.0% val_loss=1.657 (256s)
  [Fold 5 | Ep  15/120] loss=1.441 train_acc=26.6% val_acc=25.0% val_loss=1.631 (91s)
  [Fold 5 | Ep  16/120] loss=1.441 train_acc=27.4% val_acc=25.0% val_loss=1.626 (19s)
  [Fold 5 | Ep  17/120] loss=1.413 train_acc=28.7% val_acc=25.0% val_loss=1.572 (177s)
  [Fold 5 | Ep  18/120] loss=1.349 train_acc=30.5% val_acc=40.0% val_loss=1.524 (317s)
  [Fold 5 | Ep  19/120] loss=1.344 train_acc=34.1% val_acc=40.0% val_loss=1.471 (313s)
  [Fold 5 | Ep  20/120] loss=1.291 train_acc=35.4% val_acc=40.0% val_loss=1.463 (309s)
  [Fold 5 | Ep  21/120] loss=1.275 train_acc=37.2% val_acc=35.0% val_loss=1.477 (422s)
  [Fold 5 | Ep  22/120] loss=1.261 train_acc=35.8% val_acc=40.0% val_loss=1.402 (332s)
  [Fold 5 | Ep  23/120] loss=1.256 train_acc=36.3% val_acc=35.0% val_loss=1.448 (286s)
  [Fold 5 | Ep  24/120] loss=1.221 train_acc=38.0% val_acc=50.0% val_loss=1.366 (258s)
  [Fold 5 | Ep  25/120] loss=1.212 train_acc=37.8% val_acc=40.0% val_loss=1.394 (280s)
  [Fold 5 | Ep  26/120] loss=1.213 train_acc=39.3% val_acc=40.0% val_loss=1.390 (395s)
  [Fold 5 | Ep  27/120] loss=1.205 train_acc=39.9% val_acc=45.0% val_loss=1.354 (437s)
  [Fold 5 | Ep  28/120] loss=1.188 train_acc=39.1% val_acc=50.0% val_loss=1.394 (263s)
  [Fold 5 | Ep  29/120] loss=1.136 train_acc=41.0% val_acc=50.0% val_loss=1.350 (298s)
  [Fold 5 | Ep  30/120] loss=1.123 train_acc=42.5% val_acc=55.0% val_loss=1.415 (328s)
  [Fold 5 | Ep  31/120] loss=1.126 train_acc=41.0% val_acc=55.0% val_loss=1.379 (267s)
  [Fold 5 | Ep  32/120] loss=1.090 train_acc=44.3% val_acc=50.0% val_loss=1.379 (217s)
  [Fold 5 | Ep  33/120] loss=1.081 train_acc=44.5% val_acc=50.0% val_loss=1.406 (243s)
  [Fold 5 | Ep  34/120] loss=1.082 train_acc=47.7% val_acc=55.0% val_loss=1.416 (328s)
  [Fold 5 | Ep  35/120] loss=1.054 train_acc=46.4% val_acc=55.0% val_loss=1.408 (343s)
  [Fold 5 | Ep  36/120] loss=1.054 train_acc=51.4% val_acc=55.0% val_loss=1.515 (319s)
  [Fold 5 | Ep  37/120] loss=1.024 train_acc=53.4% val_acc=60.0% val_loss=1.457 (319s)
  [Fold 5 | Ep  38/120] loss=0.998 train_acc=57.4% val_acc=45.0% val_loss=1.591 (190s)
  [Fold 5 | Ep  39/120] loss=1.030 train_acc=59.6% val_acc=55.0% val_loss=1.407 (20s)
  [Fold 5 | Ep  40/120] loss=0.954 train_acc=61.1% val_acc=60.0% val_loss=1.466 (20s)
  [Fold 5 | Ep  41/120] loss=0.969 train_acc=63.7% val_acc=50.0% val_loss=1.395 (20s)
  [Fold 5 | Ep  42/120] loss=0.937 train_acc=62.8% val_acc=55.0% val_loss=1.389 (19s)
  [Fold 5 | Ep  43/120] loss=0.915 train_acc=66.5% val_acc=55.0% val_loss=1.369 (21s)
  [Fold 5 | Ep  44/120] loss=0.910 train_acc=66.9% val_acc=70.0% val_loss=1.362 (64s)
  [Fold 5 | Ep  45/120] loss=0.889 train_acc=70.4% val_acc=50.0% val_loss=1.405 (74s)
  [Fold 5 | Ep  46/120] loss=0.934 train_acc=66.5% val_acc=60.0% val_loss=1.466 (83s)
  [Fold 5 | Ep  47/120] loss=0.905 train_acc=66.3% val_acc=60.0% val_loss=1.467 (75s)
  [Fold 5 | Ep  48/120] loss=0.851 train_acc=68.5% val_acc=60.0% val_loss=1.383 (26s)
  [Fold 5 | Ep  49/120] loss=0.835 train_acc=74.1% val_acc=70.0% val_loss=1.456 (80s)
  [Fold 5 | Ep  50/120] loss=0.837 train_acc=72.3% val_acc=60.0% val_loss=1.391 (19s)
  [Fold 5 | Ep  51/120] loss=0.828 train_acc=73.9% val_acc=60.0% val_loss=1.425 (22s)
  [Fold 5 | Ep  52/120] loss=0.836 train_acc=75.6% val_acc=60.0% val_loss=1.590 (22s)
  [Fold 5 | Ep  53/120] loss=0.807 train_acc=76.4% val_acc=60.0% val_loss=1.430 (21s)
  [Fold 5 | Ep  54/120] loss=0.780 train_acc=75.4% val_acc=60.0% val_loss=1.414 (22s)
  [Fold 5 | Ep  55/120] loss=0.773 train_acc=75.0% val_acc=55.0% val_loss=1.414 (22s)
  [Fold 5 | Ep  56/120] loss=0.785 train_acc=75.8% val_acc=55.0% val_loss=1.459 (19s)
  [Fold 5 | Ep  57/120] loss=0.777 train_acc=77.5% val_acc=55.0% val_loss=1.519 (34s)
  [Fold 5 | Ep  58/120] loss=0.754 train_acc=78.4% val_acc=55.0% val_loss=1.468 (23s)
  [Fold 5 | Ep  59/120] loss=0.759 train_acc=80.8% val_acc=45.0% val_loss=1.505 (19s)
  Early stopping at epoch 59 (val_loss hasn't improved for 30 epochs)
