    [Fold 1 | Ep   1/120] train_acc=19.1%  val_acc=10.0%  val_loss=1.646  (26s)
    [Fold 1 | Ep   2/120] train_acc=19.3%  val_acc=20.0%  val_loss=1.635  (25s)
    [Fold 1 | Ep   3/120] train_acc=23.0%  val_acc=20.0%  val_loss=1.627  (25s)
    [Fold 1 | Ep   4/120] train_acc=21.7%  val_acc=20.0%  val_loss=1.618  (25s)
    [Fold 1 | Ep   5/120] train_acc=21.7%  val_acc=35.0%  val_loss=1.609  (24s)
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
    [Fold 1 | Ep   6/120] train_acc=22.3%  val_acc=35.0%  val_loss=1.599  (24s)
    [Fold 1 | Ep   7/120] train_acc=23.6%  val_acc=35.0%  val_loss=1.585  (83s)
    [Fold 1 | Ep   8/120] train_acc=25.8%  val_acc=35.0%  val_loss=1.572  (27s)
    [Fold 1 | Ep   9/120] train_acc=24.3%  val_acc=35.0%  val_loss=1.562  (27s)
    [Fold 1 | Ep  10/120] train_acc=26.7%  val_acc=35.0%  val_loss=1.554  (28s)
    [Fold 1 | Ep  11/120] train_acc=27.1%  val_acc=35.0%  val_loss=1.539  (29s)
    [Fold 1 | Ep  12/120] train_acc=26.3%  val_acc=35.0%  val_loss=1.522  (29s)
    [Fold 1 | Ep  13/120] train_acc=29.5%  val_acc=35.0%  val_loss=1.513  (29s)
    [Fold 1 | Ep  14/120] train_acc=33.0%  val_acc=35.0%  val_loss=1.504  (43s)
    [Fold 1 | Ep  15/120] train_acc=31.2%  val_acc=50.0%  val_loss=1.489  (187s)
