    [Fold 1 | Ep   1/120] train_acc=18.2%  val_acc=20.0%  val_loss=1.661  (416s)
    [Fold 1 | Ep   2/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.665  (137s)
    [Fold 1 | Ep   3/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.669  (237s)
    [Fold 1 | Ep   4/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.672  (208s)
    [Fold 1 | Ep   5/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.678  (84s)
    [Fold 1 | Ep   6/120] train_acc=21.3%  val_acc=20.0%  val_loss=1.677  (252s)
    [Fold 1 | Ep   7/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.678  (54s)
    [Fold 1 | Ep   8/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.669  (123s)
    [Fold 1 | Ep   9/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.672  (154s)
    [Fold 1 | Ep  10/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.675  (100s)
    [Fold 1 | Ep  11/120] train_acc=21.2%  val_acc=20.0%  val_loss=1.671  (243s)
    [Fold 1 | Ep  12/120] train_acc=21.3%  val_acc=20.0%  val_loss=1.674  (45s)
    [Fold 1 | Ep  13/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.669  (161s)
    [Fold 1 | Ep  14/120] train_acc=21.7%  val_acc=20.0%  val_loss=1.672  (241s)
    [Fold 1 | Ep  15/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.670  (70s)
    [Fold 1 | Ep  16/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.677  (342s)
    Early stopping at epoch 16
