    [Fold 2 | Ep   1/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.662  (39s)
    [Fold 2 | Ep   2/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.667  (177s)
    [Fold 2 | Ep   3/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.670  (97s)
    [Fold 2 | Ep   4/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.672  (35s)
    [Fold 2 | Ep   5/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.675  (210s)
    [Fold 2 | Ep   6/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.675  (218s)
    [Fold 2 | Ep   7/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.670  (172s)
    [Fold 2 | Ep   8/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.671  (98s)
    [Fold 2 | Ep   9/120] train_acc=20.9%  val_acc=20.0%  val_loss=1.674  (362s)
    [Fold 2 | Ep  10/120] train_acc=19.8%  val_acc=20.0%  val_loss=1.668  (408s)
    [Fold 2 | Ep  11/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.666  (315s)
    [Fold 2 | Ep  12/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.672  (118s)
    [Fold 2 | Ep  13/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.670  (198s)
    [Fold 2 | Ep  14/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.671  (54s)
    [Fold 2 | Ep  15/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.676  (47s)
    [Fold 2 | Ep  16/120] train_acc=19.1%  val_acc=20.0%  val_loss=1.670  (130s)
    Early stopping at epoch 16
