    [Fold 3 | Ep   1/120] train_acc=22.0%  val_acc=20.0%  val_loss=1.679  (67s)
    [Fold 3 | Ep   2/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.676  (36s)
    [Fold 3 | Ep   3/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.672  (116s)
    [Fold 3 | Ep   4/120] train_acc=21.2%  val_acc=20.0%  val_loss=1.683  (58s)
    [Fold 3 | Ep   5/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.676  (443s)
    [Fold 3 | Ep   6/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.677  (101s)
    [Fold 3 | Ep   7/120] train_acc=18.8%  val_acc=20.0%  val_loss=1.684  (41s)
    [Fold 3 | Ep   8/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.683  (330s)
    [Fold 3 | Ep   9/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.676  (39s)
    [Fold 3 | Ep  10/120] train_acc=21.2%  val_acc=20.0%  val_loss=1.677  (53s)
    [Fold 3 | Ep  11/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.680  (56s)
    [Fold 3 | Ep  12/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.668  (175s)
    [Fold 3 | Ep  13/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.670  (360s)
    [Fold 3 | Ep  14/120] train_acc=19.0%  val_acc=20.0%  val_loss=1.682  (242s)
    [Fold 3 | Ep  15/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.671  (43s)
    [Fold 3 | Ep  16/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.664  (118s)
    [Fold 3 | Ep  17/120] train_acc=21.8%  val_acc=20.0%  val_loss=1.665  (91s)
    [Fold 3 | Ep  18/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.648  (61s)
    [Fold 3 | Ep  19/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.647  (60s)
    [Fold 3 | Ep  20/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.670  (394s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 3 | Ep  21/120] train_acc=20.8%  val_acc=30.0%  val_loss=1.627  (122s)
    [Fold 3 | Ep  22/120] train_acc=22.9%  val_acc=15.0%  val_loss=1.651  (55s)
    [Fold 3 | Ep  23/120] train_acc=21.2%  val_acc=30.0%  val_loss=1.633  (65s)
    [Fold 3 | Ep  24/120] train_acc=20.1%  val_acc=25.0%  val_loss=1.635  (209s)
    [Fold 3 | Ep  25/120] train_acc=19.9%  val_acc=15.0%  val_loss=1.653  (146s)
    [Fold 3 | Ep  26/120] train_acc=22.0%  val_acc=25.0%  val_loss=1.634  (319s)
    [Fold 3 | Ep  27/120] train_acc=22.5%  val_acc=25.0%  val_loss=1.631  (117s)
    [Fold 3 | Ep  28/120] train_acc=21.8%  val_acc=30.0%  val_loss=1.625  (82s)
    [Fold 3 | Ep  29/120] train_acc=22.7%  val_acc=15.0%  val_loss=1.642  (141s)
    [Fold 3 | Ep  30/120] train_acc=21.4%  val_acc=15.0%  val_loss=1.664  (62s)
    [Fold 3 | Ep  31/120] train_acc=21.4%  val_acc=25.0%  val_loss=1.622  (111s)
    [Fold 3 | Ep  32/120] train_acc=23.1%  val_acc=30.0%  val_loss=1.640  (61s)
    [Fold 3 | Ep  33/120] train_acc=25.3%  val_acc=30.0%  val_loss=1.625  (264s)
    [Fold 3 | Ep  34/120] train_acc=25.8%  val_acc=25.0%  val_loss=1.630  (527s)
    [Fold 3 | Ep  35/120] train_acc=27.1%  val_acc=30.0%  val_loss=1.631  (101s)
    [Fold 3 | Ep  36/120] train_acc=28.6%  val_acc=35.0%  val_loss=1.645  (52s)
    [Fold 3 | Ep  37/120] train_acc=29.3%  val_acc=30.0%  val_loss=1.660  (39s)
    [Fold 3 | Ep  38/120] train_acc=30.4%  val_acc=25.0%  val_loss=1.676  (88s)
    [Fold 3 | Ep  39/120] train_acc=33.6%  val_acc=30.0%  val_loss=1.643  (240s)
    [Fold 3 | Ep  40/120] train_acc=35.4%  val_acc=20.0%  val_loss=1.760  (132s)
    [Fold 3 | Ep  41/120] train_acc=33.2%  val_acc=45.0%  val_loss=1.536  (241s)
    [Fold 3 | Ep  42/120] train_acc=37.8%  val_acc=25.0%  val_loss=1.627  (35s)
    [Fold 3 | Ep  43/120] train_acc=39.7%  val_acc=30.0%  val_loss=1.605  (78s)
    [Fold 3 | Ep  44/120] train_acc=39.3%  val_acc=30.0%  val_loss=1.592  (61s)
    [Fold 3 | Ep  45/120] train_acc=45.0%  val_acc=20.0%  val_loss=1.738  (54s)
