    [Fold 4 | Ep   1/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.660  (49s)
    [Fold 4 | Ep   2/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.667  (60s)
    [Fold 4 | Ep   3/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.668  (67s)
    [Fold 4 | Ep   4/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.669  (144s)
    [Fold 4 | Ep   5/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.669  (422s)
    [Fold 4 | Ep   6/120] train_acc=19.0%  val_acc=20.0%  val_loss=1.670  (36s)
    [Fold 4 | Ep   7/120] train_acc=17.7%  val_acc=20.0%  val_loss=1.667  (53s)
    [Fold 4 | Ep   8/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.668  (226s)
    [Fold 4 | Ep   9/120] train_acc=18.5%  val_acc=20.0%  val_loss=1.670  (72s)
    [Fold 4 | Ep  10/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.667  (35s)
    [Fold 4 | Ep  11/120] train_acc=19.0%  val_acc=20.0%  val_loss=1.660  (65s)
    [Fold 4 | Ep  12/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.665  (133s)
    [Fold 4 | Ep  13/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.664  (810s)
    [Fold 4 | Ep  14/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.667  (367s)
    [Fold 4 | Ep  15/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.663  (201s)
    [Fold 4 | Ep  16/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.668  (381s)
    [Fold 4 | Ep  17/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.663  (275s)
    [Fold 4 | Ep  18/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.664  (237s)
    [Fold 4 | Ep  19/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.664  (834s)
    [Fold 4 | Ep  20/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.663  (614s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
