    [Fold 1 | Ep   1/120] train_acc=18.9%  val_acc=20.0%  val_loss=1.662  (286s)
    [Fold 1 | Ep   2/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.669  (108s)
    [Fold 1 | Ep   3/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.671  (456s)
    [Fold 1 | Ep   4/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.670  (362s)
    [Fold 1 | Ep   5/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.664  (163s)
    [Fold 1 | Ep   6/120] train_acc=23.2%  val_acc=20.0%  val_loss=1.674  (590s)
    [Fold 1 | Ep   7/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.671  (482s)
    [Fold 1 | Ep   8/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.674  (156s)
    [Fold 1 | Ep   9/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.673  (361s)
    [Fold 1 | Ep  10/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.669  (276s)
    [Fold 1 | Ep  11/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.670  (375s)
    [Fold 1 | Ep  12/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.673  (122s)
    [Fold 1 | Ep  13/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.678  (337s)
    [Fold 1 | Ep  14/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.673  (264s)
    [Fold 1 | Ep  15/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.673  (33s)
    [Fold 1 | Ep  16/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.673  (33s)
    [Fold 1 | Ep  17/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.674  (445s)
    [Fold 1 | Ep  18/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.699  (547s)
    [Fold 1 | Ep  19/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.693  (202s)
    [Fold 1 | Ep  20/120] train_acc=21.0%  val_acc=25.0%  val_loss=1.702  (124s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 1 | Ep  21/120] train_acc=21.0%  val_acc=25.0%  val_loss=1.684  (71s)
    [Fold 1 | Ep  22/120] train_acc=22.6%  val_acc=20.0%  val_loss=1.674  (49s)
    [Fold 1 | Ep  23/120] train_acc=21.9%  val_acc=25.0%  val_loss=1.694  (36s)
    [Fold 1 | Ep  24/120] train_acc=22.6%  val_acc=20.0%  val_loss=1.679  (86s)
    [Fold 1 | Ep  25/120] train_acc=21.2%  val_acc=25.0%  val_loss=1.671  (69s)
    [Fold 1 | Ep  26/120] train_acc=23.4%  val_acc=25.0%  val_loss=1.671  (52s)
    [Fold 1 | Ep  27/120] train_acc=24.9%  val_acc=25.0%  val_loss=1.686  (40s)
    [Fold 1 | Ep  28/120] train_acc=22.3%  val_acc=20.0%  val_loss=1.677  (41s)
    [Fold 1 | Ep  29/120] train_acc=24.9%  val_acc=15.0%  val_loss=1.679  (165s)
    [Fold 1 | Ep  30/120] train_acc=26.7%  val_acc=20.0%  val_loss=1.699  (616s)
    [Fold 1 | Ep  31/120] train_acc=25.6%  val_acc=25.0%  val_loss=1.687  (69s)
    Early stopping at epoch 31
