    [Fold 1 | Ep   1/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.645  (99s)
    [Fold 1 | Ep   2/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.639  (224s)
    [Fold 1 | Ep   3/120] train_acc=21.7%  val_acc=20.0%  val_loss=1.634  (386s)
    [Fold 1 | Ep   4/120] train_acc=23.2%  val_acc=35.0%  val_loss=1.620  (264s)
    [Fold 1 | Ep   5/120] train_acc=21.9%  val_acc=35.0%  val_loss=1.610  (164s)
    [Fold 1 | Ep   6/120] train_acc=23.0%  val_acc=35.0%  val_loss=1.601  (491s)
    [Fold 1 | Ep   7/120] train_acc=23.0%  val_acc=35.0%  val_loss=1.586  (585s)
    [Fold 1 | Ep   8/120] train_acc=24.9%  val_acc=35.0%  val_loss=1.577  (138s)
    [Fold 1 | Ep   9/120] train_acc=25.8%  val_acc=35.0%  val_loss=1.568  (363s)
    [Fold 1 | Ep  10/120] train_acc=24.5%  val_acc=35.0%  val_loss=1.560  (98s)
    [Fold 1 | Ep  11/120] train_acc=28.0%  val_acc=35.0%  val_loss=1.546  (328s)
    [Fold 1 | Ep  12/120] train_acc=26.5%  val_acc=35.0%  val_loss=1.537  (240s)
    [Fold 1 | Ep  13/120] train_acc=25.2%  val_acc=35.0%  val_loss=1.525  (123s)
    [Fold 1 | Ep  14/120] train_acc=31.2%  val_acc=35.0%  val_loss=1.510  (426s)
    [Fold 1 | Ep  15/120] train_acc=26.9%  val_acc=40.0%  val_loss=1.499  (175s)
    [Fold 1 | Ep  16/120] train_acc=32.3%  val_acc=40.0%  val_loss=1.488  (32s)
    [Fold 1 | Ep  17/120] train_acc=29.7%  val_acc=45.0%  val_loss=1.472  (30s)
    [Fold 1 | Ep  18/120] train_acc=35.8%  val_acc=45.0%  val_loss=1.459  (362s)
    [Fold 1 | Ep  19/120] train_acc=35.4%  val_acc=45.0%  val_loss=1.453  (624s)
    [Fold 1 | Ep  20/120] train_acc=33.8%  val_acc=55.0%  val_loss=1.438  (74s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 1 | Ep  21/120] train_acc=35.1%  val_acc=55.0%  val_loss=1.436  (233s)
    [Fold 1 | Ep  22/120] train_acc=39.9%  val_acc=55.0%  val_loss=1.418  (71s)
    [Fold 1 | Ep  23/120] train_acc=38.4%  val_acc=55.0%  val_loss=1.402  (54s)
    [Fold 1 | Ep  24/120] train_acc=40.8%  val_acc=55.0%  val_loss=1.401  (39s)
    [Fold 1 | Ep  25/120] train_acc=42.9%  val_acc=55.0%  val_loss=1.382  (62s)
    [Fold 1 | Ep  26/120] train_acc=44.7%  val_acc=55.0%  val_loss=1.372  (55s)
    [Fold 1 | Ep  27/120] train_acc=44.7%  val_acc=55.0%  val_loss=1.362  (60s)
