    [Fold 2 | Ep   1/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.667  (46s)
    [Fold 2 | Ep   2/120] train_acc=19.1%  val_acc=20.0%  val_loss=1.675  (491s)
    [Fold 2 | Ep   3/120] train_acc=19.8%  val_acc=20.0%  val_loss=1.677  (267s)
    [Fold 2 | Ep   4/120] train_acc=21.3%  val_acc=20.0%  val_loss=1.678  (472s)
    [Fold 2 | Ep   5/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.679  (278s)
    [Fold 2 | Ep   6/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.682  (186s)
    [Fold 2 | Ep   7/120] train_acc=19.8%  val_acc=20.0%  val_loss=1.681  (54s)
    [Fold 2 | Ep   8/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.676  (464s)
    [Fold 2 | Ep   9/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.675  (223s)
    [Fold 2 | Ep  10/120] train_acc=20.4%  val_acc=20.0%  val_loss=1.677  (292s)
    [Fold 2 | Ep  11/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.674  (245s)
    [Fold 2 | Ep  12/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.676  (635s)
    [Fold 2 | Ep  13/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.679  (672s)
    [Fold 2 | Ep  14/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.677  (126s)
    [Fold 2 | Ep  15/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.676  (362s)
    [Fold 2 | Ep  16/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.670  (494s)
    [Fold 2 | Ep  17/120] train_acc=20.6%  val_acc=20.0%  val_loss=1.665  (518s)
    [Fold 2 | Ep  18/120] train_acc=20.0%  val_acc=20.0%  val_loss=1.652  (169s)
    [Fold 2 | Ep  19/120] train_acc=19.3%  val_acc=20.0%  val_loss=1.651  (387s)
    [Fold 2 | Ep  20/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.652  (52s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 2 | Ep  21/120] train_acc=20.9%  val_acc=20.0%  val_loss=1.654  (53s)
    [Fold 2 | Ep  22/120] train_acc=20.2%  val_acc=20.0%  val_loss=1.659  (52s)
    [Fold 2 | Ep  23/120] train_acc=23.7%  val_acc=20.0%  val_loss=1.675  (212s)
    [Fold 2 | Ep  24/120] train_acc=20.9%  val_acc=15.0%  val_loss=1.698  (513s)
    [Fold 2 | Ep  25/120] train_acc=22.4%  val_acc=20.0%  val_loss=1.677  (387s)
    [Fold 2 | Ep  26/120] train_acc=24.3%  val_acc=25.0%  val_loss=1.639  (198s)
    [Fold 2 | Ep  27/120] train_acc=25.7%  val_acc=25.0%  val_loss=1.635  (62s)
    [Fold 2 | Ep  28/120] train_acc=30.0%  val_acc=20.0%  val_loss=1.647  (57s)
    [Fold 2 | Ep  29/120] train_acc=31.1%  val_acc=20.0%  val_loss=1.626  (50s)
    [Fold 2 | Ep  30/120] train_acc=33.9%  val_acc=35.0%  val_loss=1.642  (526s)
    [Fold 2 | Ep  31/120] train_acc=35.4%  val_acc=25.0%  val_loss=1.658  (539s)
    [Fold 2 | Ep  32/120] train_acc=37.0%  val_acc=35.0%  val_loss=1.714  (574s)
    [Fold 2 | Ep  33/120] train_acc=36.9%  val_acc=45.0%  val_loss=1.615  (366s)
