    [Fold 2 | Ep   1/120] train_acc=21.5%  val_acc=25.0%  val_loss=1.656  (975s)
    [Fold 2 | Ep   2/120] train_acc=23.1%  val_acc=25.0%  val_loss=1.658  (574s)
    [Fold 2 | Ep   3/120] train_acc=23.9%  val_acc=25.0%  val_loss=1.652  (78s)
    [Fold 2 | Ep   4/120] train_acc=25.2%  val_acc=25.0%  val_loss=1.643  (340s)
    [Fold 2 | Ep   5/120] train_acc=26.1%  val_acc=25.0%  val_loss=1.637  (183s)
    [Fold 2 | Ep   6/120] train_acc=26.1%  val_acc=20.0%  val_loss=1.628  (476s)
    [Fold 2 | Ep   7/120] train_acc=27.0%  val_acc=20.0%  val_loss=1.625  (364s)
    [Fold 2 | Ep   8/120] train_acc=28.1%  val_acc=20.0%  val_loss=1.611  (249s)
    [Fold 2 | Ep   9/120] train_acc=27.6%  val_acc=20.0%  val_loss=1.603  (52s)
    [Fold 2 | Ep  10/120] train_acc=28.7%  val_acc=20.0%  val_loss=1.589  (633s)
    [Fold 2 | Ep  11/120] train_acc=27.6%  val_acc=15.0%  val_loss=1.579  (799s)
    [Fold 2 | Ep  12/120] train_acc=28.7%  val_acc=15.0%  val_loss=1.569  (456s)
    [Fold 2 | Ep  13/120] train_acc=30.4%  val_acc=15.0%  val_loss=1.561  (568s)
    [Fold 2 | Ep  14/120] train_acc=29.6%  val_acc=15.0%  val_loss=1.551  (171s)
    [Fold 2 | Ep  15/120] train_acc=28.9%  val_acc=15.0%  val_loss=1.540  (287s)
    [Fold 2 | Ep  16/120] train_acc=31.7%  val_acc=20.0%  val_loss=1.529  (341s)
    [Fold 2 | Ep  17/120] train_acc=31.5%  val_acc=20.0%  val_loss=1.516  (386s)
    [Fold 2 | Ep  18/120] train_acc=33.7%  val_acc=20.0%  val_loss=1.507  (277s)
    [Fold 2 | Ep  19/120] train_acc=35.7%  val_acc=20.0%  val_loss=1.502  (560s)
    [Fold 2 | Ep  20/120] train_acc=34.3%  val_acc=25.0%  val_loss=1.490  (1109s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 2 | Ep  21/120] train_acc=36.1%  val_acc=25.0%  val_loss=1.475  (449s)
