    [Fold 3 | Ep   1/120] train_acc=18.6%  val_acc=20.0%  val_loss=1.678  (96s)
    [Fold 3 | Ep   2/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.675  (373s)
    [Fold 3 | Ep   3/120] train_acc=18.1%  val_acc=20.0%  val_loss=1.683  (454s)
    [Fold 3 | Ep   4/120] train_acc=19.0%  val_acc=20.0%  val_loss=1.678  (268s)
    [Fold 3 | Ep   5/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.678  (223s)
    [Fold 3 | Ep   6/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.676  (428s)
    [Fold 3 | Ep   7/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.676  (95s)
    [Fold 3 | Ep   8/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.677  (381s)
    [Fold 3 | Ep   9/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.671  (334s)
    [Fold 3 | Ep  10/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.668  (105s)
    [Fold 3 | Ep  11/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.679  (58s)
    [Fold 3 | Ep  12/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.680  (401s)
    [Fold 3 | Ep  13/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.671  (337s)
    [Fold 3 | Ep  14/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.675  (82s)
    [Fold 3 | Ep  15/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.673  (146s)
    [Fold 3 | Ep  16/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.674  (423s)
    [Fold 3 | Ep  17/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.671  (130s)
    [Fold 3 | Ep  18/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.670  (474s)
    [Fold 3 | Ep  19/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.663  (134s)
    [Fold 3 | Ep  20/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.661  (504s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 3 | Ep  21/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.649  (317s)
    [Fold 3 | Ep  22/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.641  (41s)
    [Fold 3 | Ep  23/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.634  (262s)
    [Fold 3 | Ep  24/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.639  (241s)
    [Fold 3 | Ep  25/120] train_acc=19.0%  val_acc=35.0%  val_loss=1.637  (73s)
    [Fold 3 | Ep  26/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.653  (63s)
    [Fold 3 | Ep  27/120] train_acc=21.2%  val_acc=30.0%  val_loss=1.627  (210s)
    [Fold 3 | Ep  28/120] train_acc=26.9%  val_acc=30.0%  val_loss=1.597  (268s)
    [Fold 3 | Ep  29/120] train_acc=29.9%  val_acc=35.0%  val_loss=1.601  (387s)
