    [Fold 3 | Ep   1/120] train_acc=22.3%  val_acc=20.0%  val_loss=1.653  (472s)
    [Fold 3 | Ep   2/120] train_acc=20.7%  val_acc=20.0%  val_loss=1.646  (202s)
    [Fold 3 | Ep   3/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.641  (451s)
    [Fold 3 | Ep   4/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.635  (28s)
    [Fold 3 | Ep   5/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.622  (611s)
    [Fold 3 | Ep   6/120] train_acc=21.8%  val_acc=25.0%  val_loss=1.611  (213s)
    [Fold 3 | Ep   7/120] train_acc=23.2%  val_acc=25.0%  val_loss=1.612  (34s)
    [Fold 3 | Ep   8/120] train_acc=23.6%  val_acc=30.0%  val_loss=1.595  (138s)
    [Fold 3 | Ep   9/120] train_acc=24.0%  val_acc=30.0%  val_loss=1.592  (363s)
    [Fold 3 | Ep  10/120] train_acc=24.5%  val_acc=30.0%  val_loss=1.581  (70s)
    [Fold 3 | Ep  11/120] train_acc=27.5%  val_acc=35.0%  val_loss=1.565  (44s)
    [Fold 3 | Ep  12/120] train_acc=27.3%  val_acc=35.0%  val_loss=1.552  (176s)
    [Fold 3 | Ep  13/120] train_acc=30.8%  val_acc=35.0%  val_loss=1.542  (202s)
    [Fold 3 | Ep  14/120] train_acc=29.3%  val_acc=45.0%  val_loss=1.525  (503s)
    [Fold 3 | Ep  15/120] train_acc=29.2%  val_acc=35.0%  val_loss=1.528  (267s)
    [Fold 3 | Ep  16/120] train_acc=30.4%  val_acc=45.0%  val_loss=1.511  (390s)
    [Fold 3 | Ep  17/120] train_acc=30.6%  val_acc=45.0%  val_loss=1.500  (370s)
    [Fold 3 | Ep  18/120] train_acc=35.2%  val_acc=45.0%  val_loss=1.489  (405s)
    [Fold 3 | Ep  19/120] train_acc=35.8%  val_acc=45.0%  val_loss=1.480  (322s)
    [Fold 3 | Ep  20/120] train_acc=41.0%  val_acc=45.0%  val_loss=1.473  (246s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 3 | Ep  21/120] train_acc=37.8%  val_acc=50.0%  val_loss=1.458  (167s)
    [Fold 3 | Ep  22/120] train_acc=39.3%  val_acc=45.0%  val_loss=1.453  (195s)
    [Fold 3 | Ep  23/120] train_acc=41.9%  val_acc=50.0%  val_loss=1.442  (342s)
    [Fold 3 | Ep  24/120] train_acc=43.9%  val_acc=50.0%  val_loss=1.431  (172s)
    [Fold 3 | Ep  25/120] train_acc=44.5%  val_acc=50.0%  val_loss=1.419  (263s)
    [Fold 3 | Ep  26/120] train_acc=44.8%  val_acc=50.0%  val_loss=1.413  (280s)
    [Fold 3 | Ep  27/120] train_acc=46.5%  val_acc=50.0%  val_loss=1.405  (224s)
    [Fold 3 | Ep  28/120] train_acc=48.3%  val_acc=50.0%  val_loss=1.394  (193s)
    [Fold 3 | Ep  29/120] train_acc=46.1%  val_acc=50.0%  val_loss=1.389  (278s)
    [Fold 3 | Ep  30/120] train_acc=49.1%  val_acc=50.0%  val_loss=1.376  (185s)
    [Fold 3 | Ep  31/120] train_acc=51.7%  val_acc=55.0%  val_loss=1.365  (151s)
    [Fold 3 | Ep  32/120] train_acc=54.4%  val_acc=55.0%  val_loss=1.344  (214s)
    [Fold 3 | Ep  33/120] train_acc=57.7%  val_acc=45.0%  val_loss=1.336  (55s)
    [Fold 3 | Ep  34/120] train_acc=57.7%  val_acc=45.0%  val_loss=1.306  (169s)
    [Fold 3 | Ep  35/120] train_acc=59.2%  val_acc=40.0%  val_loss=1.318  (179s)
    [Fold 3 | Ep  36/120] train_acc=57.9%  val_acc=50.0%  val_loss=1.357  (198s)
    [Fold 3 | Ep  37/120] train_acc=61.6%  val_acc=45.0%  val_loss=1.338  (91s)
    [Fold 3 | Ep  38/120] train_acc=66.1%  val_acc=50.0%  val_loss=1.322  (152s)
    [Fold 3 | Ep  39/120] train_acc=59.8%  val_acc=40.0%  val_loss=1.307  (194s)
    [Fold 3 | Ep  40/120] train_acc=62.0%  val_acc=45.0%  val_loss=1.336  (269s)
