    [Fold 4 | Ep   1/120] train_acc=21.8%  val_acc=20.0%  val_loss=1.660  (359s)
    [Fold 4 | Ep   2/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.664  (281s)
    [Fold 4 | Ep   3/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.667  (30s)
    [Fold 4 | Ep   4/120] train_acc=22.1%  val_acc=20.0%  val_loss=1.668  (291s)
    [Fold 4 | Ep   5/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.669  (216s)
    [Fold 4 | Ep   6/120] train_acc=19.4%  val_acc=20.0%  val_loss=1.669  (91s)
    [Fold 4 | Ep   7/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.669  (318s)
    [Fold 4 | Ep   8/120] train_acc=19.6%  val_acc=20.0%  val_loss=1.669  (174s)
    [Fold 4 | Ep   9/120] train_acc=20.3%  val_acc=20.0%  val_loss=1.667  (241s)
    [Fold 4 | Ep  10/120] train_acc=19.7%  val_acc=20.0%  val_loss=1.669  (131s)
    [Fold 4 | Ep  11/120] train_acc=19.2%  val_acc=20.0%  val_loss=1.666  (351s)
    [Fold 4 | Ep  12/120] train_acc=21.4%  val_acc=20.0%  val_loss=1.666  (195s)
    [Fold 4 | Ep  13/120] train_acc=19.9%  val_acc=20.0%  val_loss=1.664  (177s)
    [Fold 4 | Ep  14/120] train_acc=21.6%  val_acc=20.0%  val_loss=1.670  (365s)
    [Fold 4 | Ep  15/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.653  (170s)
    [Fold 4 | Ep  16/120] train_acc=20.1%  val_acc=20.0%  val_loss=1.653  (222s)
    [Fold 4 | Ep  17/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.654  (138s)
    [Fold 4 | Ep  18/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.655  (30s)
    [Fold 4 | Ep  19/120] train_acc=21.6%  val_acc=20.0%  val_loss=1.671  (30s)
    [Fold 4 | Ep  20/120] train_acc=20.8%  val_acc=20.0%  val_loss=1.654  (32s)
    [Unfreeze] Registration added to optimizer at LR=1.00e-05
    [Fold 4 | Ep  21/120] train_acc=20.8%  val_acc=15.0%  val_loss=1.667  (37s)
    [Fold 4 | Ep  22/120] train_acc=21.8%  val_acc=25.0%  val_loss=1.650  (39s)
    [Fold 4 | Ep  23/120] train_acc=22.1%  val_acc=20.0%  val_loss=1.644  (36s)
    [Fold 4 | Ep  24/120] train_acc=21.0%  val_acc=20.0%  val_loss=1.643  (37s)
    [Fold 4 | Ep  25/120] train_acc=21.2%  val_acc=20.0%  val_loss=1.649  (41s)
    [Fold 4 | Ep  26/120] train_acc=20.5%  val_acc=20.0%  val_loss=1.648  (40s)
    [Fold 4 | Ep  27/120] train_acc=21.6%  val_acc=20.0%  val_loss=1.640  (38s)
