  [Fold 1 | Ep   1/120] loss=1.616 train_acc=23.0% val_acc=20.0% val_loss=1.635 (206s)
  [Fold 1 | Ep   2/120] loss=1.607 train_acc=20.8% val_acc=35.0% val_loss=1.629 (388s)
  [Fold 1 | Ep   3/120] loss=1.590 train_acc=21.3% val_acc=20.0% val_loss=1.627 (595s)
  [Fold 1 | Ep   4/120] loss=1.581 train_acc=22.8% val_acc=30.0% val_loss=1.619 (218s)
  [Fold 1 | Ep   5/120] loss=1.582 train_acc=22.3% val_acc=30.0% val_loss=1.608 (358s)
  [Fold 1 | Ep   6/120] loss=1.561 train_acc=23.2% val_acc=35.0% val_loss=1.597 (449s)
  [Fold 1 | Ep   7/120] loss=1.555 train_acc=23.4% val_acc=35.0% val_loss=1.584 (156s)
  [Fold 1 | Ep   8/120] loss=1.546 train_acc=24.3% val_acc=35.0% val_loss=1.580 (383s)
  [Fold 1 | Ep   9/120] loss=1.537 train_acc=25.0% val_acc=35.0% val_loss=1.566 (418s)
  [Fold 1 | Ep  10/120] loss=1.526 train_acc=25.6% val_acc=35.0% val_loss=1.559 (211s)
  [Fold 1 | Ep  11/120] loss=1.515 train_acc=26.3% val_acc=35.0% val_loss=1.543 (223s)
  [Fold 1 | Ep  12/120] loss=1.499 train_acc=29.9% val_acc=35.0% val_loss=1.537 (85s)
  [Fold 1 | Ep  13/120] loss=1.507 train_acc=25.6% val_acc=35.0% val_loss=1.533 (247s)
  [Fold 1 | Ep  14/120] loss=1.484 train_acc=29.3% val_acc=35.0% val_loss=1.518 (216s)
  [Fold 1 | Ep  15/120] loss=1.475 train_acc=29.7% val_acc=50.0% val_loss=1.503 (205s)
  [Fold 1 | Ep  16/120] loss=1.470 train_acc=31.4% val_acc=45.0% val_loss=1.497 (273s)
  [Fold 1 | Ep  17/120] loss=1.457 train_acc=32.7% val_acc=50.0% val_loss=1.485 (208s)
  [Fold 1 | Ep  18/120] loss=1.441 train_acc=35.1% val_acc=55.0% val_loss=1.472 (219s)
  [Fold 1 | Ep  19/120] loss=1.440 train_acc=36.9% val_acc=55.0% val_loss=1.462 (180s)
  [Fold 1 | Ep  20/120] loss=1.425 train_acc=34.5% val_acc=55.0% val_loss=1.448 (215s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.416 train_acc=42.7% val_acc=55.0% val_loss=1.441 (210s)
  [Fold 1 | Ep  22/120] loss=1.404 train_acc=39.7% val_acc=55.0% val_loss=1.428 (171s)
  [Fold 1 | Ep  23/120] loss=1.387 train_acc=43.0% val_acc=55.0% val_loss=1.411 (215s)
  [Fold 1 | Ep  24/120] loss=1.364 train_acc=44.7% val_acc=55.0% val_loss=1.388 (138s)
  [Fold 1 | Ep  25/120] loss=1.312 train_acc=48.1% val_acc=55.0% val_loss=1.356 (122s)
  [Fold 1 | Ep  26/120] loss=1.293 train_acc=49.9% val_acc=60.0% val_loss=1.372 (145s)
  [Fold 1 | Ep  27/120] loss=1.242 train_acc=53.8% val_acc=60.0% val_loss=1.357 (137s)
  [Fold 1 | Ep  28/120] loss=1.207 train_acc=54.2% val_acc=55.0% val_loss=1.373 (144s)
  [Fold 1 | Ep  29/120] loss=1.227 train_acc=51.8% val_acc=60.0% val_loss=1.323 (123s)
  [Fold 1 | Ep  30/120] loss=1.209 train_acc=55.8% val_acc=55.0% val_loss=1.319 (180s)
  [Fold 1 | Ep  31/120] loss=1.178 train_acc=53.4% val_acc=55.0% val_loss=1.343 (232s)
  [Fold 1 | Ep  32/120] loss=1.187 train_acc=57.0% val_acc=65.0% val_loss=1.289 (165s)
  [Fold 1 | Ep  33/120] loss=1.181 train_acc=55.5% val_acc=65.0% val_loss=1.349 (122s)
  [Fold 1 | Ep  34/120] loss=1.168 train_acc=55.7% val_acc=50.0% val_loss=1.319 (308s)
  [Fold 1 | Ep  35/120] loss=1.160 train_acc=58.3% val_acc=50.0% val_loss=1.375 (194s)
  [Fold 1 | Ep  36/120] loss=1.141 train_acc=59.6% val_acc=60.0% val_loss=1.354 (199s)
  [Fold 1 | Ep  37/120] loss=1.120 train_acc=59.7% val_acc=60.0% val_loss=1.370 (139s)
  [Fold 1 | Ep  38/120] loss=1.104 train_acc=63.1% val_acc=65.0% val_loss=1.381 (192s)
  [Fold 1 | Ep  39/120] loss=1.112 train_acc=62.5% val_acc=65.0% val_loss=1.349 (167s)
  [Fold 1 | Ep  40/120] loss=1.089 train_acc=61.6% val_acc=55.0% val_loss=1.362 (114s)
  [Fold 1 | Ep  41/120] loss=1.081 train_acc=64.2% val_acc=65.0% val_loss=1.327 (176s)
  [Fold 1 | Ep  42/120] loss=1.075 train_acc=63.1% val_acc=65.0% val_loss=1.386 (180s)
  [Fold 1 | Ep  43/120] loss=1.054 train_acc=64.9% val_acc=65.0% val_loss=1.396 (45s)
  [Fold 1 | Ep  44/120] loss=1.051 train_acc=64.2% val_acc=45.0% val_loss=1.417 (55s)
  [Fold 1 | Ep  45/120] loss=1.009 train_acc=66.6% val_acc=50.0% val_loss=1.436 (67s)
  [Fold 1 | Ep  46/120] loss=1.024 train_acc=65.3% val_acc=60.0% val_loss=1.361 (67s)
  [Fold 1 | Ep  47/120] loss=0.998 train_acc=64.6% val_acc=60.0% val_loss=1.375 (45s)
  [Fold 1 | Ep  48/120] loss=0.976 train_acc=68.6% val_acc=55.0% val_loss=1.422 (55s)
  [Fold 1 | Ep  49/120] loss=0.991 train_acc=64.7% val_acc=70.0% val_loss=1.406 (66s)
  [Fold 1 | Ep  50/120] loss=0.958 train_acc=69.9% val_acc=65.0% val_loss=1.430 (65s)
  [Fold 1 | Ep  51/120] loss=0.943 train_acc=67.7% val_acc=60.0% val_loss=1.441 (49s)
  [Fold 1 | Ep  52/120] loss=0.950 train_acc=70.1% val_acc=60.0% val_loss=1.425 (59s)
  [Fold 1 | Ep  53/120] loss=0.975 train_acc=67.0% val_acc=75.0% val_loss=1.371 (64s)
  [Fold 1 | Ep  54/120] loss=0.933 train_acc=68.3% val_acc=70.0% val_loss=1.445 (63s)
  [Fold 1 | Ep  55/120] loss=0.913 train_acc=72.0% val_acc=70.0% val_loss=1.491 (47s)
  [Fold 1 | Ep  56/120] loss=0.872 train_acc=71.4% val_acc=75.0% val_loss=1.507 (63s)
  [Fold 1 | Ep  57/120] loss=0.848 train_acc=75.7% val_acc=60.0% val_loss=1.503 (66s)
