  [Fold 2 | Ep   1/120] loss=1.618 train_acc=22.4% val_acc=20.0% val_loss=1.649 (51s)
  [Fold 2 | Ep   2/120] loss=1.608 train_acc=20.0% val_acc=20.0% val_loss=1.646 (54s)
  [Fold 2 | Ep   3/120] loss=1.589 train_acc=21.7% val_acc=25.0% val_loss=1.639 (56s)
  [Fold 2 | Ep   4/120] loss=1.574 train_acc=23.3% val_acc=25.0% val_loss=1.629 (39s)
  [Fold 2 | Ep   5/120] loss=1.573 train_acc=22.6% val_acc=25.0% val_loss=1.617 (47s)
  [Fold 2 | Ep   6/120] loss=1.552 train_acc=23.7% val_acc=20.0% val_loss=1.602 (55s)
  [Fold 2 | Ep   7/120] loss=1.542 train_acc=26.9% val_acc=25.0% val_loss=1.595 (59s)
  [Fold 2 | Ep   8/120] loss=1.519 train_acc=26.9% val_acc=25.0% val_loss=1.582 (88s)
  [Fold 2 | Ep   9/120] loss=1.507 train_acc=29.8% val_acc=20.0% val_loss=1.567 (57s)
  [Fold 2 | Ep  10/120] loss=1.504 train_acc=29.6% val_acc=20.0% val_loss=1.560 (51s)
  [Fold 2 | Ep  11/120] loss=1.495 train_acc=31.3% val_acc=15.0% val_loss=1.552 (94s)
  [Fold 2 | Ep  12/120] loss=1.480 train_acc=29.8% val_acc=20.0% val_loss=1.540 (50s)
  [Fold 2 | Ep  13/120] loss=1.470 train_acc=31.9% val_acc=20.0% val_loss=1.526 (56s)
  [Fold 2 | Ep  14/120] loss=1.448 train_acc=36.1% val_acc=20.0% val_loss=1.517 (63s)
  [Fold 2 | Ep  15/120] loss=1.433 train_acc=34.3% val_acc=25.0% val_loss=1.503 (48s)
  [Fold 2 | Ep  16/120] loss=1.442 train_acc=36.5% val_acc=25.0% val_loss=1.493 (51s)
  [Fold 2 | Ep  17/120] loss=1.422 train_acc=37.2% val_acc=25.0% val_loss=1.486 (55s)
  [Fold 2 | Ep  18/120] loss=1.417 train_acc=37.6% val_acc=30.0% val_loss=1.472 (56s)
  [Fold 2 | Ep  19/120] loss=1.403 train_acc=39.3% val_acc=35.0% val_loss=1.465 (44s)
  [Fold 2 | Ep  20/120] loss=1.396 train_acc=38.5% val_acc=40.0% val_loss=1.452 (56s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.390 train_acc=40.0% val_acc=35.0% val_loss=1.444 (64s)
  [Fold 2 | Ep  22/120] loss=1.371 train_acc=43.5% val_acc=35.0% val_loss=1.432 (59s)
  [Fold 2 | Ep  23/120] loss=1.373 train_acc=42.2% val_acc=50.0% val_loss=1.419 (52s)
  [Fold 2 | Ep  24/120] loss=1.358 train_acc=44.4% val_acc=50.0% val_loss=1.407 (66s)
  [Fold 2 | Ep  25/120] loss=1.333 train_acc=49.6% val_acc=50.0% val_loss=1.399 (61s)
  [Fold 2 | Ep  26/120] loss=1.302 train_acc=47.6% val_acc=50.0% val_loss=1.356 (45s)
