  [Fold 3 | Ep   1/120] loss=1.623 train_acc=17.5% val_acc=20.0% val_loss=1.654 (75s)
  [Fold 3 | Ep   2/120] loss=1.601 train_acc=20.3% val_acc=20.0% val_loss=1.656 (28s)
  [Fold 3 | Ep   3/120] loss=1.586 train_acc=22.7% val_acc=20.0% val_loss=1.639 (43s)
  [Fold 3 | Ep   4/120] loss=1.578 train_acc=21.4% val_acc=20.0% val_loss=1.636 (47s)
  [Fold 3 | Ep   5/120] loss=1.574 train_acc=21.2% val_acc=25.0% val_loss=1.630 (59s)
  [Fold 3 | Ep   6/120] loss=1.550 train_acc=22.5% val_acc=20.0% val_loss=1.622 (40s)
  [Fold 3 | Ep   7/120] loss=1.554 train_acc=22.7% val_acc=30.0% val_loss=1.604 (59s)
  [Fold 3 | Ep   8/120] loss=1.555 train_acc=22.9% val_acc=30.0% val_loss=1.593 (98s)
  [Fold 3 | Ep   9/120] loss=1.526 train_acc=25.1% val_acc=30.0% val_loss=1.593 (43s)
  [Fold 3 | Ep  10/120] loss=1.521 train_acc=24.4% val_acc=30.0% val_loss=1.579 (50s)
  [Fold 3 | Ep  11/120] loss=1.524 train_acc=25.8% val_acc=35.0% val_loss=1.565 (54s)
  [Fold 3 | Ep  12/120] loss=1.512 train_acc=26.9% val_acc=35.0% val_loss=1.567 (85s)
  [Fold 3 | Ep  13/120] loss=1.499 train_acc=28.0% val_acc=40.0% val_loss=1.543 (28s)
  [Fold 3 | Ep  14/120] loss=1.477 train_acc=32.7% val_acc=40.0% val_loss=1.537 (51s)
  [Fold 3 | Ep  15/120] loss=1.472 train_acc=30.4% val_acc=40.0% val_loss=1.528 (74s)
  [Fold 3 | Ep  16/120] loss=1.467 train_acc=35.4% val_acc=45.0% val_loss=1.517 (55s)
  [Fold 3 | Ep  17/120] loss=1.468 train_acc=32.5% val_acc=45.0% val_loss=1.505 (34s)
  [Fold 3 | Ep  18/120] loss=1.455 train_acc=35.6% val_acc=45.0% val_loss=1.497 (57s)
  [Fold 3 | Ep  19/120] loss=1.450 train_acc=36.2% val_acc=45.0% val_loss=1.480 (87s)
  [Fold 3 | Ep  20/120] loss=1.428 train_acc=39.3% val_acc=45.0% val_loss=1.471 (49s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.407 train_acc=40.0% val_acc=45.0% val_loss=1.461 (61s)
  [Fold 3 | Ep  22/120] loss=1.409 train_acc=40.4% val_acc=50.0% val_loss=1.452 (50s)
  [Fold 3 | Ep  23/120] loss=1.390 train_acc=44.6% val_acc=45.0% val_loss=1.444 (48s)
  [Fold 3 | Ep  24/120] loss=1.380 train_acc=41.3% val_acc=45.0% val_loss=1.435 (46s)
  [Fold 3 | Ep  25/120] loss=1.370 train_acc=45.4% val_acc=45.0% val_loss=1.417 (63s)
  [Fold 3 | Ep  26/120] loss=1.350 train_acc=46.1% val_acc=50.0% val_loss=1.392 (44s)
  [Fold 3 | Ep  27/120] loss=1.310 train_acc=47.6% val_acc=50.0% val_loss=1.344 (43s)
  [Fold 3 | Ep  28/120] loss=1.244 train_acc=55.7% val_acc=50.0% val_loss=1.371 (53s)
  [Fold 3 | Ep  29/120] loss=1.233 train_acc=58.7% val_acc=45.0% val_loss=1.344 (54s)
  [Fold 3 | Ep  30/120] loss=1.202 train_acc=59.6% val_acc=40.0% val_loss=1.388 (47s)
  [Fold 3 | Ep  31/120] loss=1.163 train_acc=60.7% val_acc=55.0% val_loss=1.351 (51s)
  [Fold 3 | Ep  32/120] loss=1.176 train_acc=59.2% val_acc=45.0% val_loss=1.377 (81s)
  [Fold 3 | Ep  33/120] loss=1.142 train_acc=62.4% val_acc=45.0% val_loss=1.335 (52s)
  [Fold 3 | Ep  34/120] loss=1.120 train_acc=63.1% val_acc=50.0% val_loss=1.388 (53s)
  [Fold 3 | Ep  35/120] loss=1.120 train_acc=62.2% val_acc=45.0% val_loss=1.390 (54s)
  [Fold 3 | Ep  36/120] loss=1.132 train_acc=61.1% val_acc=40.0% val_loss=1.409 (54s)
  [Fold 3 | Ep  37/120] loss=1.079 train_acc=64.4% val_acc=40.0% val_loss=1.443 (48s)
  [Fold 3 | Ep  38/120] loss=1.049 train_acc=66.2% val_acc=40.0% val_loss=1.454 (52s)
  [Fold 3 | Ep  39/120] loss=1.079 train_acc=62.9% val_acc=50.0% val_loss=1.371 (131s)
  [Fold 3 | Ep  40/120] loss=1.048 train_acc=65.7% val_acc=40.0% val_loss=1.537 (64s)
