  [Fold 4 | Ep   1/120] loss=1.631 train_acc=23.8% val_acc=20.0% val_loss=1.639 (48s)
  [Fold 4 | Ep   2/120] loss=1.593 train_acc=20.8% val_acc=20.0% val_loss=1.631 (41s)
  [Fold 4 | Ep   3/120] loss=1.575 train_acc=22.1% val_acc=25.0% val_loss=1.623 (85s)
  [Fold 4 | Ep   4/120] loss=1.568 train_acc=23.2% val_acc=25.0% val_loss=1.610 (59s)
  [Fold 4 | Ep   5/120] loss=1.548 train_acc=25.6% val_acc=20.0% val_loss=1.597 (46s)
  [Fold 4 | Ep   6/120] loss=1.540 train_acc=27.3% val_acc=20.0% val_loss=1.585 (72s)
  [Fold 4 | Ep   7/120] loss=1.536 train_acc=28.4% val_acc=20.0% val_loss=1.577 (58s)
  [Fold 4 | Ep   8/120] loss=1.514 train_acc=30.6% val_acc=20.0% val_loss=1.566 (89s)
  [Fold 4 | Ep   9/120] loss=1.510 train_acc=28.4% val_acc=20.0% val_loss=1.556 (53s)
  [Fold 4 | Ep  10/120] loss=1.497 train_acc=29.3% val_acc=20.0% val_loss=1.550 (54s)
  [Fold 4 | Ep  11/120] loss=1.484 train_acc=29.5% val_acc=25.0% val_loss=1.529 (57s)
  [Fold 4 | Ep  12/120] loss=1.469 train_acc=31.7% val_acc=25.0% val_loss=1.519 (117s)
  [Fold 4 | Ep  13/120] loss=1.462 train_acc=33.9% val_acc=25.0% val_loss=1.504 (63s)
  [Fold 4 | Ep  14/120] loss=1.460 train_acc=31.9% val_acc=25.0% val_loss=1.495 (131s)
  [Fold 4 | Ep  15/120] loss=1.428 train_acc=33.9% val_acc=25.0% val_loss=1.487 (43s)
  [Fold 4 | Ep  16/120] loss=1.419 train_acc=34.9% val_acc=30.0% val_loss=1.470 (57s)
  [Fold 4 | Ep  17/120] loss=1.411 train_acc=38.2% val_acc=30.0% val_loss=1.458 (62s)
  [Fold 4 | Ep  18/120] loss=1.405 train_acc=40.4% val_acc=25.0% val_loss=1.455 (47s)
  [Fold 4 | Ep  19/120] loss=1.392 train_acc=38.6% val_acc=35.0% val_loss=1.436 (74s)
  [Fold 4 | Ep  20/120] loss=1.380 train_acc=43.9% val_acc=30.0% val_loss=1.431 (59s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.364 train_acc=41.0% val_acc=45.0% val_loss=1.412 (63s)
  [Fold 4 | Ep  22/120] loss=1.354 train_acc=45.8% val_acc=40.0% val_loss=1.402 (49s)
  [Fold 4 | Ep  23/120] loss=1.334 train_acc=47.8% val_acc=40.0% val_loss=1.394 (107s)
  [Fold 4 | Ep  24/120] loss=1.301 train_acc=48.2% val_acc=35.0% val_loss=1.369 (56s)
  [Fold 4 | Ep  25/120] loss=1.265 train_acc=50.4% val_acc=40.0% val_loss=1.347 (55s)
  [Fold 4 | Ep  26/120] loss=1.256 train_acc=55.2% val_acc=60.0% val_loss=1.313 (125s)
  [Fold 4 | Ep  27/120] loss=1.223 train_acc=55.9% val_acc=45.0% val_loss=1.270 (59s)
  [Fold 4 | Ep  28/120] loss=1.191 train_acc=56.1% val_acc=50.0% val_loss=1.381 (50s)
  [Fold 4 | Ep  29/120] loss=1.193 train_acc=56.3% val_acc=55.0% val_loss=1.290 (70s)
  [Fold 4 | Ep  30/120] loss=1.176 train_acc=57.0% val_acc=60.0% val_loss=1.248 (67s)
  [Fold 4 | Ep  31/120] loss=1.168 train_acc=58.1% val_acc=55.0% val_loss=1.294 (52s)
  [Fold 4 | Ep  32/120] loss=1.153 train_acc=55.4% val_acc=65.0% val_loss=1.234 (67s)
  [Fold 4 | Ep  33/120] loss=1.139 train_acc=57.2% val_acc=65.0% val_loss=1.220 (118s)
  [Fold 4 | Ep  34/120] loss=1.126 train_acc=60.0% val_acc=70.0% val_loss=1.248 (62s)
  [Fold 4 | Ep  35/120] loss=1.112 train_acc=61.6% val_acc=70.0% val_loss=1.260 (67s)
  [Fold 4 | Ep  36/120] loss=1.115 train_acc=62.0% val_acc=50.0% val_loss=1.364 (77s)
  [Fold 4 | Ep  37/120] loss=1.094 train_acc=63.7% val_acc=50.0% val_loss=1.437 (62s)
  [Fold 4 | Ep  38/120] loss=1.092 train_acc=61.4% val_acc=60.0% val_loss=1.252 (67s)
  [Fold 4 | Ep  39/120] loss=1.065 train_acc=61.8% val_acc=65.0% val_loss=1.212 (92s)
  [Fold 4 | Ep  40/120] loss=1.070 train_acc=64.6% val_acc=55.0% val_loss=1.258 (61s)
  [Fold 4 | Ep  41/120] loss=1.056 train_acc=64.6% val_acc=65.0% val_loss=1.215 (72s)
  [Fold 4 | Ep  42/120] loss=1.069 train_acc=63.8% val_acc=45.0% val_loss=1.470 (68s)
  [Fold 4 | Ep  43/120] loss=1.076 train_acc=60.7% val_acc=50.0% val_loss=1.384 (50s)
  [Fold 4 | Ep  44/120] loss=1.048 train_acc=64.4% val_acc=55.0% val_loss=1.355 (68s)
  [Fold 4 | Ep  45/120] loss=1.066 train_acc=64.6% val_acc=55.0% val_loss=1.305 (68s)
  [Fold 4 | Ep  46/120] loss=1.005 train_acc=66.1% val_acc=60.0% val_loss=1.355 (45s)
  [Fold 4 | Ep  47/120] loss=1.016 train_acc=64.8% val_acc=50.0% val_loss=1.353 (66s)
  [Fold 4 | Ep  48/120] loss=1.001 train_acc=69.6% val_acc=55.0% val_loss=1.299 (110s)
  [Fold 4 | Ep  49/120] loss=0.956 train_acc=71.4% val_acc=45.0% val_loss=1.354 (44s)
  [Fold 4 | Ep  50/120] loss=0.945 train_acc=69.4% val_acc=55.0% val_loss=1.385 (93s)
  [Fold 4 | Ep  51/120] loss=0.947 train_acc=70.8% val_acc=55.0% val_loss=1.472 (94s)
  [Fold 4 | Ep  52/120] loss=0.961 train_acc=67.2% val_acc=50.0% val_loss=1.425 (75s)
  [Fold 4 | Ep  53/120] loss=0.917 train_acc=70.5% val_acc=55.0% val_loss=1.393 (65s)
  [Fold 4 | Ep  54/120] loss=0.887 train_acc=72.9% val_acc=40.0% val_loss=1.387 (99s)
  [Fold 4 | Ep  55/120] loss=0.888 train_acc=73.6% val_acc=65.0% val_loss=1.403 (80s)
  [Fold 4 | Ep  56/120] loss=0.902 train_acc=72.9% val_acc=60.0% val_loss=1.340 (65s)
  [Fold 4 | Ep  57/120] loss=0.871 train_acc=74.0% val_acc=55.0% val_loss=1.429 (88s)
  [Fold 4 | Ep  58/120] loss=0.820 train_acc=76.2% val_acc=55.0% val_loss=1.439 (100s)
  [Fold 4 | Ep  59/120] loss=0.863 train_acc=74.2% val_acc=65.0% val_loss=1.475 (62s)
  [Fold 4 | Ep  60/120] loss=0.833 train_acc=75.6% val_acc=55.0% val_loss=1.471 (64s)
  [Fold 4 | Ep  61/120] loss=0.858 train_acc=74.0% val_acc=55.0% val_loss=1.442 (58s)
  [Fold 4 | Ep  62/120] loss=0.829 train_acc=75.5% val_acc=55.0% val_loss=1.536 (134s)
  [Fold 4 | Ep  63/120] loss=0.851 train_acc=75.6% val_acc=45.0% val_loss=1.600 (95s)
  [Fold 4 | Ep  64/120] loss=0.828 train_acc=76.4% val_acc=50.0% val_loss=1.521 (65s)
  [Fold 4 | Ep  65/120] loss=0.806 train_acc=79.2% val_acc=40.0% val_loss=1.678 (66s)
  [Fold 4 | Ep  66/120] loss=0.792 train_acc=80.8% val_acc=60.0% val_loss=1.509 (58s)
  [Fold 4 | Ep  67/120] loss=0.807 train_acc=79.3% val_acc=65.0% val_loss=1.502 (53s)
  [Fold 4 | Ep  68/120] loss=0.757 train_acc=79.9% val_acc=55.0% val_loss=1.636 (69s)
  [Fold 4 | Ep  69/120] loss=0.801 train_acc=79.0% val_acc=50.0% val_loss=1.646 (83s)
  Early stopping at epoch 69 (val_loss hasn't improved for 30 epochs)
