  [Fold 5 | Ep   1/120] loss=1.610 train_acc=21.0% val_acc=20.0% val_loss=1.653 (96s)
  [Fold 5 | Ep   2/120] loss=1.583 train_acc=21.6% val_acc=20.0% val_loss=1.653 (80s)
  [Fold 5 | Ep   3/120] loss=1.579 train_acc=23.3% val_acc=20.0% val_loss=1.644 (71s)
  [Fold 5 | Ep   4/120] loss=1.556 train_acc=24.0% val_acc=25.0% val_loss=1.632 (116s)
  [Fold 5 | Ep   5/120] loss=1.551 train_acc=25.5% val_acc=25.0% val_loss=1.617 (66s)
  [Fold 5 | Ep   6/120] loss=1.541 train_acc=27.0% val_acc=25.0% val_loss=1.618 (42s)
  [Fold 5 | Ep   7/120] loss=1.527 train_acc=27.2% val_acc=25.0% val_loss=1.610 (71s)
  [Fold 5 | Ep   8/120] loss=1.524 train_acc=28.3% val_acc=25.0% val_loss=1.596 (67s)
  [Fold 5 | Ep   9/120] loss=1.504 train_acc=30.4% val_acc=25.0% val_loss=1.582 (53s)
  [Fold 5 | Ep  10/120] loss=1.501 train_acc=28.9% val_acc=25.0% val_loss=1.574 (55s)
  [Fold 5 | Ep  11/120] loss=1.486 train_acc=30.9% val_acc=25.0% val_loss=1.565 (106s)
  [Fold 5 | Ep  12/120] loss=1.468 train_acc=31.8% val_acc=30.0% val_loss=1.552 (54s)
  [Fold 5 | Ep  13/120] loss=1.458 train_acc=33.9% val_acc=30.0% val_loss=1.540 (62s)
  [Fold 5 | Ep  14/120] loss=1.461 train_acc=33.5% val_acc=35.0% val_loss=1.532 (64s)
  [Fold 5 | Ep  15/120] loss=1.443 train_acc=34.8% val_acc=30.0% val_loss=1.522 (57s)
  [Fold 5 | Ep  16/120] loss=1.431 train_acc=37.4% val_acc=35.0% val_loss=1.516 (50s)
  [Fold 5 | Ep  17/120] loss=1.423 train_acc=37.6% val_acc=35.0% val_loss=1.498 (101s)
  [Fold 5 | Ep  18/120] loss=1.407 train_acc=39.9% val_acc=35.0% val_loss=1.495 (60s)
  [Fold 5 | Ep  19/120] loss=1.388 train_acc=39.9% val_acc=35.0% val_loss=1.478 (43s)
  [Fold 5 | Ep  20/120] loss=1.372 train_acc=43.0% val_acc=35.0% val_loss=1.468 (65s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=1.384 train_acc=45.3% val_acc=40.0% val_loss=1.457 (89s)
  [Fold 5 | Ep  22/120] loss=1.366 train_acc=45.4% val_acc=40.0% val_loss=1.447 (45s)
  [Fold 5 | Ep  23/120] loss=1.335 train_acc=49.7% val_acc=40.0% val_loss=1.429 (115s)
  [Fold 5 | Ep  24/120] loss=1.337 train_acc=47.9% val_acc=45.0% val_loss=1.396 (69s)
  [Fold 5 | Ep  25/120] loss=1.301 train_acc=49.5% val_acc=45.0% val_loss=1.348 (59s)
  [Fold 5 | Ep  26/120] loss=1.288 train_acc=54.0% val_acc=55.0% val_loss=1.314 (73s)
  [Fold 5 | Ep  27/120] loss=1.242 train_acc=55.7% val_acc=55.0% val_loss=1.278 (100s)
  [Fold 5 | Ep  28/120] loss=1.245 train_acc=52.9% val_acc=55.0% val_loss=1.277 (64s)
  [Fold 5 | Ep  29/120] loss=1.225 train_acc=54.4% val_acc=55.0% val_loss=1.261 (84s)
  [Fold 5 | Ep  30/120] loss=1.201 train_acc=54.0% val_acc=55.0% val_loss=1.276 (59s)
