  [Fold 1 | Ep   1/120] loss=1.634 train_acc=18.2% val_acc=20.0% val_loss=1.652 (31s)
  [Fold 1 | Ep   2/120] loss=1.602 train_acc=21.3% val_acc=25.0% val_loss=1.648 (28s)
  [Fold 1 | Ep   3/120] loss=1.594 train_acc=21.7% val_acc=20.0% val_loss=1.640 (26s)
  [Fold 1 | Ep   4/120] loss=1.580 train_acc=22.8% val_acc=20.0% val_loss=1.635 (29s)
  [Fold 1 | Ep   5/120] loss=1.587 train_acc=23.6% val_acc=20.0% val_loss=1.623 (29s)
  [Fold 1 | Ep   6/120] loss=1.568 train_acc=23.4% val_acc=35.0% val_loss=1.622 (29s)
  [Fold 1 | Ep   7/120] loss=1.573 train_acc=22.1% val_acc=30.0% val_loss=1.613 (26s)
  [Fold 1 | Ep   8/120] loss=1.566 train_acc=21.3% val_acc=35.0% val_loss=1.605 (28s)
  [Fold 1 | Ep   9/120] loss=1.556 train_acc=22.6% val_acc=35.0% val_loss=1.593 (29s)
  [Fold 1 | Ep  10/120] loss=1.546 train_acc=24.5% val_acc=35.0% val_loss=1.578 (28s)
  [Fold 1 | Ep  11/120] loss=1.539 train_acc=24.1% val_acc=35.0% val_loss=1.576 (29s)
  [Fold 1 | Ep  12/120] loss=1.532 train_acc=24.1% val_acc=35.0% val_loss=1.564 (31s)
  [Fold 1 | Ep  13/120] loss=1.527 train_acc=24.3% val_acc=35.0% val_loss=1.558 (27s)
  [Fold 1 | Ep  14/120] loss=1.523 train_acc=24.3% val_acc=35.0% val_loss=1.542 (37s)
  [Fold 1 | Ep  15/120] loss=1.504 train_acc=26.2% val_acc=35.0% val_loss=1.534 (30s)
  [Fold 1 | Ep  16/120] loss=1.499 train_acc=28.2% val_acc=35.0% val_loss=1.526 (38s)
  [Fold 1 | Ep  17/120] loss=1.496 train_acc=27.5% val_acc=40.0% val_loss=1.513 (29s)
  [Fold 1 | Ep  18/120] loss=1.477 train_acc=31.0% val_acc=35.0% val_loss=1.515 (29s)
  [Fold 1 | Ep  19/120] loss=1.474 train_acc=31.4% val_acc=45.0% val_loss=1.499 (29s)
