  [Fold 2 | Ep   1/120] loss=1.626 train_acc=19.4% val_acc=20.0% val_loss=1.652 (27s)
  [Fold 2 | Ep   2/120] loss=1.605 train_acc=20.0% val_acc=25.0% val_loss=1.645 (26s)
  [Fold 2 | Ep   3/120] loss=1.587 train_acc=22.8% val_acc=25.0% val_loss=1.643 (28s)
  [Fold 2 | Ep   4/120] loss=1.589 train_acc=25.6% val_acc=25.0% val_loss=1.641 (28s)
  [Fold 2 | Ep   5/120] loss=1.569 train_acc=24.6% val_acc=25.0% val_loss=1.635 (29s)
  [Fold 2 | Ep   6/120] loss=1.563 train_acc=25.2% val_acc=25.0% val_loss=1.627 (70s)
  [Fold 2 | Ep   7/120] loss=1.560 train_acc=24.8% val_acc=20.0% val_loss=1.623 (35s)
  [Fold 2 | Ep   8/120] loss=1.544 train_acc=25.4% val_acc=20.0% val_loss=1.614 (35s)
  [Fold 2 | Ep   9/120] loss=1.546 train_acc=26.5% val_acc=20.0% val_loss=1.610 (35s)
  [Fold 2 | Ep  10/120] loss=1.533 train_acc=27.0% val_acc=20.0% val_loss=1.604 (34s)
  [Fold 2 | Ep  11/120] loss=1.528 train_acc=27.6% val_acc=20.0% val_loss=1.599 (35s)
  [Fold 2 | Ep  12/120] loss=1.515 train_acc=27.8% val_acc=20.0% val_loss=1.593 (34s)
  [Fold 2 | Ep  13/120] loss=1.513 train_acc=27.4% val_acc=15.0% val_loss=1.578 (34s)
  [Fold 2 | Ep  14/120] loss=1.502 train_acc=27.8% val_acc=20.0% val_loss=1.573 (36s)
  [Fold 2 | Ep  15/120] loss=1.489 train_acc=32.6% val_acc=20.0% val_loss=1.568 (34s)
  [Fold 2 | Ep  16/120] loss=1.498 train_acc=29.3% val_acc=20.0% val_loss=1.552 (34s)
  [Fold 2 | Ep  17/120] loss=1.473 train_acc=28.9% val_acc=15.0% val_loss=1.554 (35s)
  [Fold 2 | Ep  18/120] loss=1.470 train_acc=29.6% val_acc=20.0% val_loss=1.540 (35s)
  [Fold 2 | Ep  19/120] loss=1.456 train_acc=31.5% val_acc=20.0% val_loss=1.535 (35s)
  [Fold 2 | Ep  20/120] loss=1.453 train_acc=32.6% val_acc=25.0% val_loss=1.526 (33s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.439 train_acc=34.1% val_acc=20.0% val_loss=1.516 (39s)
  [Fold 2 | Ep  22/120] loss=1.428 train_acc=35.2% val_acc=30.0% val_loss=1.510 (36s)
  [Fold 2 | Ep  23/120] loss=1.412 train_acc=36.9% val_acc=25.0% val_loss=1.504 (39s)
  [Fold 2 | Ep  24/120] loss=1.410 train_acc=35.6% val_acc=40.0% val_loss=1.479 (38s)
  [Fold 2 | Ep  25/120] loss=1.383 train_acc=40.0% val_acc=40.0% val_loss=1.452 (71s)
  [Fold 2 | Ep  26/120] loss=1.340 train_acc=44.8% val_acc=50.0% val_loss=1.421 (40s)
  [Fold 2 | Ep  27/120] loss=1.268 train_acc=52.4% val_acc=35.0% val_loss=1.432 (32s)
  [Fold 2 | Ep  28/120] loss=1.255 train_acc=52.8% val_acc=55.0% val_loss=1.400 (36s)
  [Fold 2 | Ep  29/120] loss=1.207 train_acc=56.3% val_acc=55.0% val_loss=1.382 (32s)
  [Fold 2 | Ep  30/120] loss=1.223 train_acc=55.0% val_acc=55.0% val_loss=1.391 (31s)
  [Fold 2 | Ep  31/120] loss=1.193 train_acc=55.7% val_acc=60.0% val_loss=1.378 (32s)
  [Fold 2 | Ep  32/120] loss=1.195 train_acc=56.7% val_acc=60.0% val_loss=1.382 (54s)
  [Fold 2 | Ep  33/120] loss=1.199 train_acc=55.4% val_acc=50.0% val_loss=1.400 (33s)
  [Fold 2 | Ep  34/120] loss=1.159 train_acc=57.4% val_acc=60.0% val_loss=1.377 (37s)
  [Fold 2 | Ep  35/120] loss=1.157 train_acc=58.1% val_acc=55.0% val_loss=1.395 (31s)
  [Fold 2 | Ep  36/120] loss=1.136 train_acc=57.4% val_acc=60.0% val_loss=1.408 (34s)
  [Fold 2 | Ep  37/120] loss=1.137 train_acc=59.3% val_acc=55.0% val_loss=1.405 (32s)
  [Fold 2 | Ep  38/120] loss=1.117 train_acc=61.3% val_acc=60.0% val_loss=1.383 (32s)
  [Fold 2 | Ep  39/120] loss=1.117 train_acc=57.6% val_acc=50.0% val_loss=1.497 (63s)
  [Fold 2 | Ep  40/120] loss=1.089 train_acc=65.4% val_acc=60.0% val_loss=1.387 (32s)
  [Fold 2 | Ep  41/120] loss=1.095 train_acc=60.6% val_acc=50.0% val_loss=1.455 (33s)
  [Fold 2 | Ep  42/120] loss=1.074 train_acc=64.6% val_acc=50.0% val_loss=1.451 (38s)
  [Fold 2 | Ep  43/120] loss=1.078 train_acc=63.7% val_acc=55.0% val_loss=1.413 (31s)
  [Fold 2 | Ep  44/120] loss=1.059 train_acc=64.1% val_acc=50.0% val_loss=1.462 (32s)
  [Fold 2 | Ep  45/120] loss=1.061 train_acc=64.4% val_acc=50.0% val_loss=1.574 (33s)
  [Fold 2 | Ep  46/120] loss=1.060 train_acc=65.2% val_acc=60.0% val_loss=1.459 (31s)
  [Fold 2 | Ep  47/120] loss=1.072 train_acc=63.3% val_acc=55.0% val_loss=1.436 (31s)
  [Fold 2 | Ep  48/120] loss=1.036 train_acc=63.1% val_acc=60.0% val_loss=1.431 (30s)
  [Fold 2 | Ep  49/120] loss=1.003 train_acc=65.6% val_acc=50.0% val_loss=1.423 (31s)
  [Fold 2 | Ep  50/120] loss=0.994 train_acc=68.9% val_acc=50.0% val_loss=1.367 (31s)
  [Fold 2 | Ep  51/120] loss=0.999 train_acc=65.6% val_acc=60.0% val_loss=1.535 (70s)
  [Fold 2 | Ep  52/120] loss=0.986 train_acc=68.0% val_acc=50.0% val_loss=1.532 (33s)
  [Fold 2 | Ep  53/120] loss=0.998 train_acc=67.8% val_acc=55.0% val_loss=1.388 (32s)
