  [Fold 1 | Ep   1/120] loss=1.626 train_acc=24.1% val_acc=25.0% val_loss=1.663 (17s)
  [Fold 1 | Ep   2/120] loss=1.609 train_acc=22.1% val_acc=20.0% val_loss=1.653 (15s)
  [Fold 1 | Ep   3/120] loss=1.597 train_acc=22.6% val_acc=20.0% val_loss=1.642 (16s)
  [Fold 1 | Ep   4/120] loss=1.588 train_acc=20.4% val_acc=35.0% val_loss=1.628 (17s)
  [Fold 1 | Ep   5/120] loss=1.561 train_acc=25.8% val_acc=30.0% val_loss=1.618 (17s)
  [Fold 1 | Ep   6/120] loss=1.571 train_acc=23.4% val_acc=35.0% val_loss=1.609 (15s)
  [Fold 1 | Ep   7/120] loss=1.579 train_acc=22.1% val_acc=35.0% val_loss=1.606 (17s)
  [Fold 1 | Ep   8/120] loss=1.561 train_acc=23.6% val_acc=30.0% val_loss=1.607 (15s)
  [Fold 1 | Ep   9/120] loss=1.549 train_acc=25.4% val_acc=30.0% val_loss=1.597 (15s)
  [Fold 1 | Ep  10/120] loss=1.538 train_acc=26.3% val_acc=30.0% val_loss=1.581 (14s)
  [Fold 1 | Ep  11/120] loss=1.528 train_acc=27.3% val_acc=35.0% val_loss=1.582 (16s)
  [Fold 1 | Ep  12/120] loss=1.504 train_acc=27.3% val_acc=30.0% val_loss=1.570 (21s)
  [Fold 1 | Ep  13/120] loss=1.504 train_acc=28.8% val_acc=35.0% val_loss=1.569 (15s)
  [Fold 1 | Ep  14/120] loss=1.502 train_acc=29.3% val_acc=30.0% val_loss=1.571 (16s)
  [Fold 1 | Ep  15/120] loss=1.493 train_acc=29.5% val_acc=30.0% val_loss=1.564 (27s)
  [Fold 1 | Ep  16/120] loss=1.479 train_acc=29.9% val_acc=35.0% val_loss=1.557 (22s)
  [Fold 1 | Ep  17/120] loss=1.474 train_acc=29.3% val_acc=30.0% val_loss=1.558 (17s)
  [Fold 1 | Ep  18/120] loss=1.456 train_acc=33.0% val_acc=35.0% val_loss=1.542 (17s)
  [Fold 1 | Ep  19/120] loss=1.447 train_acc=35.6% val_acc=30.0% val_loss=1.544 (15s)
  [Fold 1 | Ep  20/120] loss=1.436 train_acc=36.7% val_acc=35.0% val_loss=1.518 (15s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.439 train_acc=39.5% val_acc=40.0% val_loss=1.496 (22s)
  [Fold 1 | Ep  22/120] loss=1.429 train_acc=38.0% val_acc=40.0% val_loss=1.486 (20s)
  [Fold 1 | Ep  23/120] loss=1.421 train_acc=38.4% val_acc=40.0% val_loss=1.481 (21s)
  [Fold 1 | Ep  24/120] loss=1.415 train_acc=41.0% val_acc=40.0% val_loss=1.481 (20s)
  [Fold 1 | Ep  25/120] loss=1.397 train_acc=41.6% val_acc=50.0% val_loss=1.479 (20s)
