  [Fold 2 | Ep   1/120] loss=1.631 train_acc=19.4% val_acc=20.0% val_loss=1.645 (21s)
  [Fold 2 | Ep   2/120] loss=1.601 train_acc=20.9% val_acc=20.0% val_loss=1.645 (26s)
  [Fold 2 | Ep   3/120] loss=1.590 train_acc=21.9% val_acc=20.0% val_loss=1.645 (64s)
  [Fold 2 | Ep   4/120] loss=1.585 train_acc=21.7% val_acc=25.0% val_loss=1.638 (26s)
  [Fold 2 | Ep   5/120] loss=1.563 train_acc=23.3% val_acc=15.0% val_loss=1.629 (27s)
  [Fold 2 | Ep   6/120] loss=1.560 train_acc=26.7% val_acc=20.0% val_loss=1.623 (30s)
  [Fold 2 | Ep   7/120] loss=1.557 train_acc=25.9% val_acc=25.0% val_loss=1.616 (50s)
  [Fold 2 | Ep   8/120] loss=1.540 train_acc=25.7% val_acc=15.0% val_loss=1.603 (27s)
  [Fold 2 | Ep   9/120] loss=1.529 train_acc=28.0% val_acc=20.0% val_loss=1.599 (27s)
  [Fold 2 | Ep  10/120] loss=1.518 train_acc=30.0% val_acc=20.0% val_loss=1.596 (86s)
  [Fold 2 | Ep  11/120] loss=1.496 train_acc=29.3% val_acc=20.0% val_loss=1.584 (27s)
  [Fold 2 | Ep  12/120] loss=1.495 train_acc=29.8% val_acc=20.0% val_loss=1.584 (26s)
  [Fold 2 | Ep  13/120] loss=1.482 train_acc=30.6% val_acc=20.0% val_loss=1.564 (26s)
  [Fold 2 | Ep  14/120] loss=1.479 train_acc=31.1% val_acc=20.0% val_loss=1.562 (27s)
  [Fold 2 | Ep  15/120] loss=1.458 train_acc=31.9% val_acc=20.0% val_loss=1.555 (28s)
  [Fold 2 | Ep  16/120] loss=1.457 train_acc=33.9% val_acc=20.0% val_loss=1.558 (28s)
  [Fold 2 | Ep  17/120] loss=1.441 train_acc=31.5% val_acc=25.0% val_loss=1.538 (27s)
  [Fold 2 | Ep  18/120] loss=1.437 train_acc=35.9% val_acc=25.0% val_loss=1.528 (27s)
  [Fold 2 | Ep  19/120] loss=1.434 train_acc=36.5% val_acc=25.0% val_loss=1.526 (27s)
  [Fold 2 | Ep  20/120] loss=1.413 train_acc=36.1% val_acc=30.0% val_loss=1.512 (27s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.409 train_acc=35.7% val_acc=25.0% val_loss=1.506 (30s)
  [Fold 2 | Ep  22/120] loss=1.389 train_acc=38.0% val_acc=25.0% val_loss=1.507 (29s)
  [Fold 2 | Ep  23/120] loss=1.379 train_acc=42.4% val_acc=25.0% val_loss=1.491 (29s)
  [Fold 2 | Ep  24/120] loss=1.383 train_acc=40.9% val_acc=35.0% val_loss=1.481 (32s)
  [Fold 2 | Ep  25/120] loss=1.368 train_acc=43.9% val_acc=45.0% val_loss=1.470 (30s)
  [Fold 2 | Ep  26/120] loss=1.367 train_acc=43.7% val_acc=35.0% val_loss=1.474 (56s)
  [Fold 2 | Ep  27/120] loss=1.350 train_acc=41.5% val_acc=45.0% val_loss=1.448 (31s)
  [Fold 2 | Ep  28/120] loss=1.323 train_acc=45.4% val_acc=50.0% val_loss=1.448 (40s)
  [Fold 2 | Ep  29/120] loss=1.308 train_acc=49.6% val_acc=40.0% val_loss=1.448 (58s)
  [Fold 2 | Ep  30/120] loss=1.267 train_acc=49.1% val_acc=55.0% val_loss=1.429 (30s)
  [Fold 2 | Ep  31/120] loss=1.248 train_acc=53.1% val_acc=40.0% val_loss=1.430 (31s)
  [Fold 2 | Ep  32/120] loss=1.216 train_acc=54.3% val_acc=50.0% val_loss=1.429 (29s)
  [Fold 2 | Ep  33/120] loss=1.194 train_acc=56.7% val_acc=50.0% val_loss=1.349 (31s)
  [Fold 2 | Ep  34/120] loss=1.181 train_acc=58.0% val_acc=50.0% val_loss=1.366 (95s)
  [Fold 2 | Ep  35/120] loss=1.154 train_acc=58.9% val_acc=50.0% val_loss=1.374 (30s)
  [Fold 2 | Ep  36/120] loss=1.141 train_acc=59.8% val_acc=45.0% val_loss=1.383 (32s)
  [Fold 2 | Ep  37/120] loss=1.144 train_acc=57.8% val_acc=50.0% val_loss=1.346 (31s)
  [Fold 2 | Ep  38/120] loss=1.141 train_acc=59.1% val_acc=45.0% val_loss=1.395 (31s)
  [Fold 2 | Ep  39/120] loss=1.119 train_acc=60.9% val_acc=50.0% val_loss=1.313 (30s)
  [Fold 2 | Ep  40/120] loss=1.095 train_acc=63.7% val_acc=50.0% val_loss=1.324 (30s)
  [Fold 2 | Ep  41/120] loss=1.080 train_acc=61.7% val_acc=45.0% val_loss=1.390 (29s)
  [Fold 2 | Ep  42/120] loss=1.084 train_acc=61.7% val_acc=50.0% val_loss=1.383 (54s)
  [Fold 2 | Ep  43/120] loss=1.075 train_acc=65.4% val_acc=40.0% val_loss=1.480 (30s)
  [Fold 2 | Ep  44/120] loss=1.061 train_acc=64.1% val_acc=50.0% val_loss=1.399 (31s)
  [Fold 2 | Ep  45/120] loss=1.033 train_acc=67.6% val_acc=50.0% val_loss=1.354 (93s)
  [Fold 2 | Ep  46/120] loss=1.025 train_acc=68.7% val_acc=45.0% val_loss=1.360 (41s)
  [Fold 2 | Ep  47/120] loss=0.995 train_acc=68.5% val_acc=50.0% val_loss=1.368 (35s)
  [Fold 2 | Ep  48/120] loss=1.025 train_acc=67.2% val_acc=45.0% val_loss=1.428 (85s)
  [Fold 2 | Ep  49/120] loss=0.975 train_acc=70.9% val_acc=50.0% val_loss=1.450 (32s)
  [Fold 2 | Ep  50/120] loss=1.013 train_acc=69.8% val_acc=50.0% val_loss=1.322 (32s)
  [Fold 2 | Ep  51/120] loss=0.985 train_acc=69.4% val_acc=40.0% val_loss=1.423 (32s)
  [Fold 2 | Ep  52/120] loss=0.977 train_acc=71.3% val_acc=50.0% val_loss=1.439 (30s)
  [Fold 2 | Ep  53/120] loss=0.970 train_acc=69.8% val_acc=45.0% val_loss=1.466 (31s)
  [Fold 2 | Ep  54/120] loss=0.975 train_acc=69.3% val_acc=40.0% val_loss=1.431 (31s)
  [Fold 2 | Ep  55/120] loss=0.927 train_acc=75.6% val_acc=50.0% val_loss=1.403 (29s)
  [Fold 2 | Ep  56/120] loss=0.937 train_acc=73.7% val_acc=55.0% val_loss=1.367 (30s)
  [Fold 2 | Ep  57/120] loss=0.920 train_acc=75.6% val_acc=55.0% val_loss=1.425 (31s)
  [Fold 2 | Ep  58/120] loss=0.911 train_acc=74.1% val_acc=55.0% val_loss=1.376 (30s)
  [Fold 2 | Ep  59/120] loss=0.909 train_acc=75.0% val_acc=50.0% val_loss=1.371 (32s)
  [Fold 2 | Ep  60/120] loss=0.893 train_acc=75.4% val_acc=65.0% val_loss=1.342 (31s)
  [Fold 2 | Ep  61/120] loss=0.877 train_acc=78.1% val_acc=55.0% val_loss=1.414 (31s)
  [Fold 2 | Ep  62/120] loss=0.870 train_acc=78.5% val_acc=65.0% val_loss=1.447 (33s)
  [Fold 2 | Ep  63/120] loss=0.858 train_acc=78.1% val_acc=55.0% val_loss=1.422 (55s)
  [Fold 2 | Ep  64/120] loss=0.832 train_acc=80.6% val_acc=55.0% val_loss=1.363 (30s)
  [Fold 2 | Ep  65/120] loss=0.839 train_acc=80.0% val_acc=40.0% val_loss=1.544 (30s)
  [Fold 2 | Ep  66/120] loss=0.835 train_acc=80.0% val_acc=55.0% val_loss=1.508 (31s)
  [Fold 2 | Ep  67/120] loss=0.827 train_acc=80.4% val_acc=60.0% val_loss=1.428 (46s)
  [Fold 2 | Ep  68/120] loss=0.829 train_acc=80.2% val_acc=50.0% val_loss=1.473 (32s)
  [Fold 2 | Ep  69/120] loss=0.827 train_acc=79.4% val_acc=50.0% val_loss=1.447 (54s)
  Early stopping at epoch 69 (val_loss hasn't improved for 30 epochs)
