  [Fold 3 | Ep   1/120] loss=1.631 train_acc=20.8% val_acc=20.0% val_loss=1.654 (27s)
  [Fold 3 | Ep   2/120] loss=1.591 train_acc=23.1% val_acc=30.0% val_loss=1.643 (27s)
  [Fold 3 | Ep   3/120] loss=1.595 train_acc=20.8% val_acc=20.0% val_loss=1.645 (28s)
  [Fold 3 | Ep   4/120] loss=1.594 train_acc=20.8% val_acc=30.0% val_loss=1.634 (27s)
  [Fold 3 | Ep   5/120] loss=1.581 train_acc=22.3% val_acc=25.0% val_loss=1.633 (25s)
  [Fold 3 | Ep   6/120] loss=1.563 train_acc=23.2% val_acc=30.0% val_loss=1.622 (28s)
  [Fold 3 | Ep   7/120] loss=1.562 train_acc=22.5% val_acc=30.0% val_loss=1.607 (28s)
  [Fold 3 | Ep   8/120] loss=1.550 train_acc=23.4% val_acc=30.0% val_loss=1.602 (28s)
  [Fold 3 | Ep   9/120] loss=1.544 train_acc=23.6% val_acc=30.0% val_loss=1.585 (27s)
  [Fold 3 | Ep  10/120] loss=1.528 train_acc=24.5% val_acc=30.0% val_loss=1.579 (27s)
  [Fold 3 | Ep  11/120] loss=1.523 train_acc=25.8% val_acc=30.0% val_loss=1.565 (27s)
  [Fold 3 | Ep  12/120] loss=1.516 train_acc=26.9% val_acc=35.0% val_loss=1.553 (27s)
  [Fold 3 | Ep  13/120] loss=1.503 train_acc=29.2% val_acc=35.0% val_loss=1.542 (27s)
  [Fold 3 | Ep  14/120] loss=1.490 train_acc=26.6% val_acc=35.0% val_loss=1.530 (27s)
  [Fold 3 | Ep  15/120] loss=1.494 train_acc=28.6% val_acc=35.0% val_loss=1.526 (28s)
  [Fold 3 | Ep  16/120] loss=1.486 train_acc=29.9% val_acc=45.0% val_loss=1.506 (27s)
  [Fold 3 | Ep  17/120] loss=1.469 train_acc=33.2% val_acc=45.0% val_loss=1.498 (27s)
  [Fold 3 | Ep  18/120] loss=1.453 train_acc=31.9% val_acc=45.0% val_loss=1.494 (28s)
  [Fold 3 | Ep  19/120] loss=1.444 train_acc=33.9% val_acc=45.0% val_loss=1.478 (27s)
  [Fold 3 | Ep  20/120] loss=1.447 train_acc=34.9% val_acc=45.0% val_loss=1.467 (27s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.430 train_acc=36.0% val_acc=45.0% val_loss=1.478 (33s)
  [Fold 3 | Ep  22/120] loss=1.427 train_acc=35.4% val_acc=45.0% val_loss=1.454 (33s)
  [Fold 3 | Ep  23/120] loss=1.407 train_acc=43.7% val_acc=45.0% val_loss=1.445 (29s)
  [Fold 3 | Ep  24/120] loss=1.399 train_acc=38.4% val_acc=50.0% val_loss=1.423 (29s)
  [Fold 3 | Ep  25/120] loss=1.363 train_acc=47.2% val_acc=50.0% val_loss=1.410 (31s)
  [Fold 3 | Ep  26/120] loss=1.323 train_acc=47.0% val_acc=50.0% val_loss=1.374 (31s)
  [Fold 3 | Ep  27/120] loss=1.283 train_acc=53.0% val_acc=40.0% val_loss=1.492 (33s)
  [Fold 3 | Ep  28/120] loss=1.279 train_acc=53.0% val_acc=40.0% val_loss=1.420 (31s)
  [Fold 3 | Ep  29/120] loss=1.247 train_acc=50.0% val_acc=45.0% val_loss=1.370 (29s)
  [Fold 3 | Ep  30/120] loss=1.215 train_acc=56.6% val_acc=40.0% val_loss=1.365 (32s)
  [Fold 3 | Ep  31/120] loss=1.195 train_acc=55.4% val_acc=45.0% val_loss=1.355 (31s)
