  [Fold 4 | Ep   1/120] loss=1.633 train_acc=20.5% val_acc=20.0% val_loss=1.657 (20s)
  [Fold 4 | Ep   2/120] loss=1.610 train_acc=19.0% val_acc=20.0% val_loss=1.640 (18s)
  [Fold 4 | Ep   3/120] loss=1.589 train_acc=24.7% val_acc=25.0% val_loss=1.634 (20s)
  [Fold 4 | Ep   4/120] loss=1.588 train_acc=22.5% val_acc=25.0% val_loss=1.626 (20s)
  [Fold 4 | Ep   5/120] loss=1.567 train_acc=24.4% val_acc=25.0% val_loss=1.615 (19s)
  [Fold 4 | Ep   6/120] loss=1.576 train_acc=24.2% val_acc=25.0% val_loss=1.608 (19s)
  [Fold 4 | Ep   7/120] loss=1.564 train_acc=25.1% val_acc=20.0% val_loss=1.597 (22s)
  [Fold 4 | Ep   8/120] loss=1.552 train_acc=26.2% val_acc=20.0% val_loss=1.590 (25s)
  [Fold 4 | Ep   9/120] loss=1.535 train_acc=26.4% val_acc=20.0% val_loss=1.583 (25s)
  [Fold 4 | Ep  10/120] loss=1.526 train_acc=27.9% val_acc=20.0% val_loss=1.574 (25s)
  [Fold 4 | Ep  11/120] loss=1.516 train_acc=27.7% val_acc=20.0% val_loss=1.563 (26s)
  [Fold 4 | Ep  12/120] loss=1.510 train_acc=27.7% val_acc=20.0% val_loss=1.547 (27s)
  [Fold 4 | Ep  13/120] loss=1.496 train_acc=28.2% val_acc=20.0% val_loss=1.544 (27s)
  [Fold 4 | Ep  14/120] loss=1.488 train_acc=27.9% val_acc=25.0% val_loss=1.529 (27s)
  [Fold 4 | Ep  15/120] loss=1.479 train_acc=32.8% val_acc=25.0% val_loss=1.523 (27s)
  [Fold 4 | Ep  16/120] loss=1.469 train_acc=29.7% val_acc=25.0% val_loss=1.508 (28s)
  [Fold 4 | Ep  17/120] loss=1.457 train_acc=30.6% val_acc=25.0% val_loss=1.499 (26s)
  [Fold 4 | Ep  18/120] loss=1.452 train_acc=31.5% val_acc=25.0% val_loss=1.492 (31s)
  [Fold 4 | Ep  19/120] loss=1.438 train_acc=36.9% val_acc=25.0% val_loss=1.481 (30s)
  [Fold 4 | Ep  20/120] loss=1.427 train_acc=34.5% val_acc=25.0% val_loss=1.477 (27s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.439 train_acc=31.4% val_acc=35.0% val_loss=1.456 (47s)
  [Fold 4 | Ep  22/120] loss=1.399 train_acc=38.9% val_acc=40.0% val_loss=1.446 (53s)
  [Fold 4 | Ep  23/120] loss=1.398 train_acc=38.2% val_acc=30.0% val_loss=1.430 (21s)
  [Fold 4 | Ep  24/120] loss=1.373 train_acc=38.2% val_acc=35.0% val_loss=1.381 (22s)
  [Fold 4 | Ep  25/120] loss=1.334 train_acc=42.1% val_acc=65.0% val_loss=1.374 (20s)
  [Fold 4 | Ep  26/120] loss=1.294 train_acc=47.0% val_acc=60.0% val_loss=1.318 (21s)
  [Fold 4 | Ep  27/120] loss=1.268 train_acc=48.3% val_acc=65.0% val_loss=1.291 (25s)
  [Fold 4 | Ep  28/120] loss=1.234 train_acc=57.9% val_acc=60.0% val_loss=1.279 (31s)
  [Fold 4 | Ep  29/120] loss=1.220 train_acc=55.7% val_acc=45.0% val_loss=1.347 (31s)
  [Fold 4 | Ep  30/120] loss=1.195 train_acc=58.1% val_acc=55.0% val_loss=1.278 (31s)
  [Fold 4 | Ep  31/120] loss=1.181 train_acc=57.0% val_acc=60.0% val_loss=1.286 (31s)
  [Fold 4 | Ep  32/120] loss=1.193 train_acc=55.7% val_acc=70.0% val_loss=1.256 (31s)
  [Fold 4 | Ep  33/120] loss=1.173 train_acc=59.2% val_acc=70.0% val_loss=1.240 (32s)
  [Fold 4 | Ep  34/120] loss=1.167 train_acc=59.0% val_acc=55.0% val_loss=1.294 (31s)
  [Fold 4 | Ep  35/120] loss=1.163 train_acc=57.2% val_acc=65.0% val_loss=1.232 (31s)
  [Fold 4 | Ep  36/120] loss=1.131 train_acc=61.3% val_acc=60.0% val_loss=1.265 (30s)
  [Fold 4 | Ep  37/120] loss=1.118 train_acc=61.4% val_acc=65.0% val_loss=1.254 (29s)
  [Fold 4 | Ep  38/120] loss=1.118 train_acc=61.1% val_acc=40.0% val_loss=1.344 (33s)
  [Fold 4 | Ep  39/120] loss=1.099 train_acc=61.4% val_acc=55.0% val_loss=1.309 (24s)
  [Fold 4 | Ep  40/120] loss=1.068 train_acc=62.4% val_acc=55.0% val_loss=1.302 (21s)
  [Fold 4 | Ep  41/120] loss=1.087 train_acc=61.8% val_acc=55.0% val_loss=1.284 (22s)
  [Fold 4 | Ep  42/120] loss=1.077 train_acc=60.9% val_acc=55.0% val_loss=1.285 (22s)
  [Fold 4 | Ep  43/120] loss=1.061 train_acc=62.5% val_acc=70.0% val_loss=1.256 (32s)
  [Fold 4 | Ep  44/120] loss=1.051 train_acc=63.1% val_acc=65.0% val_loss=1.263 (32s)
  [Fold 4 | Ep  45/120] loss=1.018 train_acc=67.0% val_acc=60.0% val_loss=1.257 (23s)
  [Fold 4 | Ep  46/120] loss=1.020 train_acc=66.4% val_acc=65.0% val_loss=1.268 (22s)
  [Fold 4 | Ep  47/120] loss=1.003 train_acc=66.2% val_acc=55.0% val_loss=1.335 (20s)
  [Fold 4 | Ep  48/120] loss=1.014 train_acc=65.1% val_acc=60.0% val_loss=1.243 (19s)
  [Fold 4 | Ep  49/120] loss=1.028 train_acc=65.9% val_acc=55.0% val_loss=1.256 (24s)
  [Fold 4 | Ep  50/120] loss=0.963 train_acc=68.5% val_acc=60.0% val_loss=1.276 (32s)
  [Fold 4 | Ep  51/120] loss=0.971 train_acc=70.3% val_acc=60.0% val_loss=1.351 (31s)
  [Fold 4 | Ep  52/120] loss=0.947 train_acc=68.5% val_acc=55.0% val_loss=1.336 (31s)
  [Fold 4 | Ep  53/120] loss=0.941 train_acc=68.3% val_acc=45.0% val_loss=1.382 (30s)
  [Fold 4 | Ep  54/120] loss=0.933 train_acc=72.1% val_acc=55.0% val_loss=1.338 (31s)
  [Fold 4 | Ep  55/120] loss=0.921 train_acc=70.7% val_acc=35.0% val_loss=1.571 (31s)
