  [Fold 5 | Ep   1/120] loss=1.643 train_acc=18.6% val_acc=20.0% val_loss=1.665 (15s)
  [Fold 5 | Ep   2/120] loss=1.607 train_acc=20.7% val_acc=20.0% val_loss=1.673 (17s)
  [Fold 5 | Ep   3/120] loss=1.592 train_acc=21.8% val_acc=20.0% val_loss=1.672 (20s)
  [Fold 5 | Ep   4/120] loss=1.585 train_acc=22.9% val_acc=20.0% val_loss=1.666 (19s)
  [Fold 5 | Ep   5/120] loss=1.586 train_acc=23.6% val_acc=20.0% val_loss=1.654 (19s)
  [Fold 5 | Ep   6/120] loss=1.584 train_acc=24.6% val_acc=20.0% val_loss=1.640 (19s)
  [Fold 5 | Ep   7/120] loss=1.558 train_acc=25.1% val_acc=20.0% val_loss=1.628 (18s)
  [Fold 5 | Ep   8/120] loss=1.562 train_acc=26.1% val_acc=25.0% val_loss=1.627 (18s)
  [Fold 5 | Ep   9/120] loss=1.538 train_acc=26.6% val_acc=25.0% val_loss=1.623 (20s)
  [Fold 5 | Ep  10/120] loss=1.540 train_acc=25.1% val_acc=25.0% val_loss=1.608 (20s)
  [Fold 5 | Ep  11/120] loss=1.533 train_acc=26.4% val_acc=25.0% val_loss=1.593 (17s)
  [Fold 5 | Ep  12/120] loss=1.515 train_acc=27.4% val_acc=25.0% val_loss=1.585 (20s)
  [Fold 5 | Ep  13/120] loss=1.511 train_acc=28.9% val_acc=25.0% val_loss=1.583 (18s)
  [Fold 5 | Ep  14/120] loss=1.494 train_acc=28.3% val_acc=25.0% val_loss=1.572 (18s)
  [Fold 5 | Ep  15/120] loss=1.480 train_acc=28.9% val_acc=25.0% val_loss=1.564 (17s)
  [Fold 5 | Ep  16/120] loss=1.473 train_acc=31.8% val_acc=25.0% val_loss=1.557 (18s)
  [Fold 5 | Ep  17/120] loss=1.468 train_acc=30.4% val_acc=30.0% val_loss=1.536 (18s)
  [Fold 5 | Ep  18/120] loss=1.457 train_acc=32.8% val_acc=25.0% val_loss=1.542 (21s)
  [Fold 5 | Ep  19/120] loss=1.429 train_acc=36.1% val_acc=25.0% val_loss=1.533 (18s)
  [Fold 5 | Ep  20/120] loss=1.426 train_acc=33.9% val_acc=25.0% val_loss=1.518 (18s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=1.418 train_acc=37.1% val_acc=35.0% val_loss=1.506 (21s)
  [Fold 5 | Ep  22/120] loss=1.420 train_acc=35.8% val_acc=25.0% val_loss=1.512 (23s)
  [Fold 5 | Ep  23/120] loss=1.416 train_acc=37.6% val_acc=30.0% val_loss=1.500 (20s)
  [Fold 5 | Ep  24/120] loss=1.402 train_acc=38.4% val_acc=30.0% val_loss=1.498 (22s)
  [Fold 5 | Ep  25/120] loss=1.409 train_acc=38.0% val_acc=40.0% val_loss=1.481 (24s)
  [Fold 5 | Ep  26/120] loss=1.392 train_acc=38.2% val_acc=35.0% val_loss=1.472 (28s)
  [Fold 5 | Ep  27/120] loss=1.388 train_acc=39.7% val_acc=30.0% val_loss=1.471 (24s)
  [Fold 5 | Ep  28/120] loss=1.378 train_acc=41.2% val_acc=30.0% val_loss=1.453 (20s)
  [Fold 5 | Ep  29/120] loss=1.340 train_acc=43.4% val_acc=30.0% val_loss=1.444 (23s)
  [Fold 5 | Ep  30/120] loss=1.337 train_acc=43.4% val_acc=30.0% val_loss=1.405 (22s)
  [Fold 5 | Ep  31/120] loss=1.319 train_acc=45.3% val_acc=45.0% val_loss=1.376 (21s)
  [Fold 5 | Ep  32/120] loss=1.291 train_acc=47.7% val_acc=45.0% val_loss=1.373 (23s)
  [Fold 5 | Ep  33/120] loss=1.297 train_acc=50.5% val_acc=40.0% val_loss=1.343 (22s)
  [Fold 5 | Ep  34/120] loss=1.264 train_acc=51.0% val_acc=40.0% val_loss=1.329 (20s)
  [Fold 5 | Ep  35/120] loss=1.247 train_acc=53.3% val_acc=55.0% val_loss=1.309 (20s)
  [Fold 5 | Ep  36/120] loss=1.231 train_acc=53.4% val_acc=55.0% val_loss=1.272 (21s)
  [Fold 5 | Ep  37/120] loss=1.218 train_acc=58.3% val_acc=55.0% val_loss=1.263 (20s)
  [Fold 5 | Ep  38/120] loss=1.177 train_acc=59.2% val_acc=65.0% val_loss=1.241 (22s)
  [Fold 5 | Ep  39/120] loss=1.172 train_acc=57.5% val_acc=70.0% val_loss=1.158 (21s)
  [Fold 5 | Ep  40/120] loss=1.163 train_acc=59.6% val_acc=65.0% val_loss=1.174 (22s)
  [Fold 5 | Ep  41/120] loss=1.142 train_acc=58.3% val_acc=65.0% val_loss=1.240 (23s)
  [Fold 5 | Ep  42/120] loss=1.154 train_acc=59.2% val_acc=50.0% val_loss=1.235 (20s)
  [Fold 5 | Ep  43/120] loss=1.126 train_acc=62.0% val_acc=60.0% val_loss=1.266 (20s)
  [Fold 5 | Ep  44/120] loss=1.102 train_acc=64.1% val_acc=70.0% val_loss=1.145 (23s)
  [Fold 5 | Ep  45/120] loss=1.105 train_acc=64.1% val_acc=70.0% val_loss=1.159 (22s)
  [Fold 5 | Ep  46/120] loss=1.106 train_acc=62.4% val_acc=70.0% val_loss=1.148 (20s)
  [Fold 5 | Ep  47/120] loss=1.086 train_acc=61.6% val_acc=65.0% val_loss=1.292 (22s)
  [Fold 5 | Ep  48/120] loss=1.084 train_acc=63.7% val_acc=65.0% val_loss=1.222 (24s)
  [Fold 5 | Ep  49/120] loss=1.081 train_acc=63.5% val_acc=65.0% val_loss=1.161 (22s)
  [Fold 5 | Ep  50/120] loss=1.080 train_acc=63.5% val_acc=70.0% val_loss=1.199 (20s)
  [Fold 5 | Ep  51/120] loss=1.084 train_acc=65.4% val_acc=70.0% val_loss=1.217 (21s)
  [Fold 5 | Ep  52/120] loss=1.034 train_acc=66.3% val_acc=60.0% val_loss=1.268 (22s)
  [Fold 5 | Ep  53/120] loss=1.046 train_acc=65.9% val_acc=70.0% val_loss=1.215 (21s)
  [Fold 5 | Ep  54/120] loss=1.011 train_acc=66.9% val_acc=65.0% val_loss=1.242 (19s)
  [Fold 5 | Ep  55/120] loss=0.988 train_acc=67.0% val_acc=70.0% val_loss=1.220 (22s)
  [Fold 5 | Ep  56/120] loss=1.006 train_acc=68.5% val_acc=65.0% val_loss=1.244 (21s)
  [Fold 5 | Ep  57/120] loss=0.967 train_acc=70.2% val_acc=65.0% val_loss=1.259 (21s)
  [Fold 5 | Ep  58/120] loss=0.960 train_acc=69.3% val_acc=65.0% val_loss=1.279 (20s)
  [Fold 5 | Ep  59/120] loss=0.976 train_acc=69.5% val_acc=70.0% val_loss=1.187 (21s)
  [Fold 5 | Ep  60/120] loss=0.927 train_acc=74.1% val_acc=60.0% val_loss=1.390 (20s)
  [Fold 5 | Ep  61/120] loss=0.975 train_acc=70.6% val_acc=60.0% val_loss=1.328 (21s)
  [Fold 5 | Ep  62/120] loss=0.942 train_acc=72.3% val_acc=60.0% val_loss=1.335 (22s)
  [Fold 5 | Ep  63/120] loss=0.939 train_acc=72.4% val_acc=60.0% val_loss=1.404 (21s)
  [Fold 5 | Ep  64/120] loss=0.906 train_acc=73.0% val_acc=60.0% val_loss=1.318 (23s)
  [Fold 5 | Ep  65/120] loss=0.891 train_acc=73.2% val_acc=55.0% val_loss=1.345 (27s)
  [Fold 5 | Ep  66/120] loss=0.872 train_acc=78.6% val_acc=60.0% val_loss=1.276 (22s)
  [Fold 5 | Ep  67/120] loss=0.892 train_acc=74.1% val_acc=65.0% val_loss=1.334 (23s)
  [Fold 5 | Ep  68/120] loss=0.892 train_acc=75.8% val_acc=60.0% val_loss=1.374 (23s)
  [Fold 5 | Ep  69/120] loss=0.852 train_acc=76.9% val_acc=60.0% val_loss=1.289 (25s)
  [Fold 5 | Ep  70/120] loss=0.913 train_acc=71.5% val_acc=55.0% val_loss=1.425 (23s)
  [Fold 5 | Ep  71/120] loss=0.838 train_acc=77.7% val_acc=55.0% val_loss=1.401 (23s)
  [Fold 5 | Ep  72/120] loss=0.856 train_acc=74.7% val_acc=50.0% val_loss=1.575 (23s)
  [Fold 5 | Ep  73/120] loss=0.851 train_acc=78.6% val_acc=55.0% val_loss=1.466 (22s)
  [Fold 5 | Ep  74/120] loss=0.830 train_acc=78.4% val_acc=55.0% val_loss=1.431 (23s)
  Early stopping at epoch 74 (val_loss hasn't improved for 30 epochs)
