  [Fold 1 | Ep   1/120] loss=1.629 train_acc=20.6% val_acc=20.0% val_loss=1.663 pat=0/30 (23s)
  [Fold 1 | Ep   2/120] loss=1.611 train_acc=21.3% val_acc=20.0% val_loss=1.660 pat=0/30 (20s)
  [Fold 1 | Ep   3/120] loss=1.591 train_acc=20.8% val_acc=20.0% val_loss=1.656 pat=0/30 (15s)
  [Fold 1 | Ep   4/120] loss=1.578 train_acc=21.5% val_acc=20.0% val_loss=1.636 pat=0/30 (14s)
  [Fold 1 | Ep   5/120] loss=1.587 train_acc=22.6% val_acc=20.0% val_loss=1.630 pat=0/30 (16s)
  [Fold 1 | Ep   6/120] loss=1.562 train_acc=23.0% val_acc=20.0% val_loss=1.621 pat=0/30 (17s)
  [Fold 1 | Ep   7/120] loss=1.572 train_acc=23.0% val_acc=30.0% val_loss=1.605 pat=0/30 (17s)
  [Fold 1 | Ep   8/120] loss=1.553 train_acc=25.2% val_acc=35.0% val_loss=1.603 pat=0/30 (24s)
  [Fold 1 | Ep   9/120] loss=1.535 train_acc=24.1% val_acc=35.0% val_loss=1.592 pat=0/30 (27s)
  [Fold 1 | Ep  10/120] loss=1.529 train_acc=23.7% val_acc=35.0% val_loss=1.580 pat=0/30 (27s)
  [Fold 1 | Ep  11/120] loss=1.528 train_acc=25.0% val_acc=35.0% val_loss=1.561 pat=0/30 (41s)
  [Fold 1 | Ep  12/120] loss=1.510 train_acc=25.8% val_acc=35.0% val_loss=1.553 pat=0/30 (27s)
  [Fold 1 | Ep  13/120] loss=1.500 train_acc=26.9% val_acc=35.0% val_loss=1.544 pat=0/30 (27s)
  [Fold 1 | Ep  14/120] loss=1.495 train_acc=31.0% val_acc=35.0% val_loss=1.530 pat=0/30 (27s)
  [Fold 1 | Ep  15/120] loss=1.484 train_acc=29.9% val_acc=35.0% val_loss=1.527 pat=0/30 (26s)
  [Fold 1 | Ep  16/120] loss=1.480 train_acc=31.0% val_acc=40.0% val_loss=1.517 pat=0/30 (66s)
  [Fold 1 | Ep  17/120] loss=1.463 train_acc=31.9% val_acc=45.0% val_loss=1.505 pat=0/30 (31s)
  [Fold 1 | Ep  18/120] loss=1.452 train_acc=32.7% val_acc=50.0% val_loss=1.491 pat=0/30 (25s)
  [Fold 1 | Ep  19/120] loss=1.442 train_acc=34.0% val_acc=55.0% val_loss=1.479 pat=0/30 (26s)
  [Fold 1 | Ep  20/120] loss=1.441 train_acc=39.1% val_acc=45.0% val_loss=1.485 pat=0/30 (27s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.416 train_acc=37.1% val_acc=45.0% val_loss=1.473 pat=1/30 (32s)
  [Fold 1 | Ep  22/120] loss=1.414 train_acc=37.7% val_acc=50.0% val_loss=1.463 pat=0/30 (31s)
  [Fold 1 | Ep  23/120] loss=1.402 train_acc=41.0% val_acc=45.0% val_loss=1.462 pat=0/30 (31s)
  [Fold 1 | Ep  24/120] loss=1.394 train_acc=39.5% val_acc=45.0% val_loss=1.441 pat=0/30 (30s)
  [Fold 1 | Ep  25/120] loss=1.366 train_acc=43.6% val_acc=45.0% val_loss=1.432 pat=0/30 (32s)
  [Fold 1 | Ep  26/120] loss=1.356 train_acc=44.5% val_acc=55.0% val_loss=1.406 pat=0/30 (40s)
  [Fold 1 | Ep  27/120] loss=1.326 train_acc=49.4% val_acc=55.0% val_loss=1.386 pat=0/30 (31s)
  [Fold 1 | Ep  28/120] loss=1.283 train_acc=50.6% val_acc=55.0% val_loss=1.365 pat=0/30 (30s)
  [Fold 1 | Ep  29/120] loss=1.262 train_acc=51.0% val_acc=55.0% val_loss=1.367 pat=0/30 (30s)
  [Fold 1 | Ep  30/120] loss=1.230 train_acc=51.9% val_acc=50.0% val_loss=1.340 pat=1/30 (31s)
  [Fold 1 | Ep  31/120] loss=1.192 train_acc=54.7% val_acc=55.0% val_loss=1.342 pat=0/30 (33s)
