  [Fold 2 | Ep   1/120] loss=1.634 train_acc=18.7% val_acc=20.0% val_loss=1.653 pat=0/30 (27s)
  [Fold 2 | Ep   2/120] loss=1.622 train_acc=18.9% val_acc=20.0% val_loss=1.641 pat=0/30 (25s)
  [Fold 2 | Ep   3/120] loss=1.592 train_acc=23.1% val_acc=20.0% val_loss=1.639 pat=0/30 (24s)
  [Fold 2 | Ep   4/120] loss=1.580 train_acc=23.3% val_acc=25.0% val_loss=1.634 pat=0/30 (26s)
  [Fold 2 | Ep   5/120] loss=1.564 train_acc=24.6% val_acc=25.0% val_loss=1.625 pat=0/30 (40s)
  [Fold 2 | Ep   6/120] loss=1.574 train_acc=24.1% val_acc=25.0% val_loss=1.611 pat=0/30 (30s)
  [Fold 2 | Ep   7/120] loss=1.558 train_acc=23.7% val_acc=20.0% val_loss=1.592 pat=0/30 (25s)
  [Fold 2 | Ep   8/120] loss=1.530 train_acc=28.0% val_acc=25.0% val_loss=1.588 pat=0/30 (26s)
  [Fold 2 | Ep   9/120] loss=1.530 train_acc=29.1% val_acc=25.0% val_loss=1.587 pat=0/30 (26s)
  [Fold 2 | Ep  10/120] loss=1.513 train_acc=27.4% val_acc=25.0% val_loss=1.579 pat=0/30 (26s)
  [Fold 2 | Ep  11/120] loss=1.501 train_acc=30.2% val_acc=25.0% val_loss=1.564 pat=0/30 (55s)
  [Fold 2 | Ep  12/120] loss=1.495 train_acc=29.8% val_acc=25.0% val_loss=1.552 pat=0/30 (26s)
  [Fold 2 | Ep  13/120] loss=1.479 train_acc=30.9% val_acc=25.0% val_loss=1.534 pat=0/30 (48s)
  [Fold 2 | Ep  14/120] loss=1.463 train_acc=32.2% val_acc=25.0% val_loss=1.529 pat=0/30 (26s)
  [Fold 2 | Ep  15/120] loss=1.464 train_acc=34.1% val_acc=25.0% val_loss=1.519 pat=0/30 (26s)
  [Fold 2 | Ep  16/120] loss=1.462 train_acc=32.6% val_acc=30.0% val_loss=1.525 pat=0/30 (27s)
  [Fold 2 | Ep  17/120] loss=1.442 train_acc=38.3% val_acc=25.0% val_loss=1.515 pat=1/30 (26s)
  [Fold 2 | Ep  18/120] loss=1.431 train_acc=37.4% val_acc=20.0% val_loss=1.505 pat=0/30 (26s)
  [Fold 2 | Ep  19/120] loss=1.421 train_acc=35.9% val_acc=25.0% val_loss=1.497 pat=0/30 (27s)
  [Fold 2 | Ep  20/120] loss=1.403 train_acc=39.6% val_acc=25.0% val_loss=1.486 pat=0/30 (26s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.414 train_acc=35.7% val_acc=20.0% val_loss=1.475 pat=0/30 (22s)
  [Fold 2 | Ep  22/120] loss=1.402 train_acc=37.8% val_acc=35.0% val_loss=1.465 pat=0/30 (19s)
  [Fold 2 | Ep  23/120] loss=1.386 train_acc=40.7% val_acc=40.0% val_loss=1.464 pat=0/30 (18s)
  [Fold 2 | Ep  24/120] loss=1.382 train_acc=43.3% val_acc=35.0% val_loss=1.453 pat=0/30 (16s)
  [Fold 2 | Ep  25/120] loss=1.327 train_acc=46.3% val_acc=35.0% val_loss=1.423 pat=0/30 (20s)
  [Fold 2 | Ep  26/120] loss=1.309 train_acc=45.0% val_acc=50.0% val_loss=1.385 pat=0/30 (19s)
