  [Fold 3 | Ep   1/120] loss=1.647 train_acc=18.6% val_acc=20.0% val_loss=1.675 pat=0/30 (19s)
  [Fold 3 | Ep   2/120] loss=1.594 train_acc=20.5% val_acc=20.0% val_loss=1.674 pat=0/30 (20s)
  [Fold 3 | Ep   3/120] loss=1.586 train_acc=20.5% val_acc=20.0% val_loss=1.664 pat=0/30 (20s)
  [Fold 3 | Ep   4/120] loss=1.590 train_acc=21.4% val_acc=20.0% val_loss=1.635 pat=0/30 (19s)
  [Fold 3 | Ep   5/120] loss=1.584 train_acc=19.0% val_acc=20.0% val_loss=1.632 pat=0/30 (19s)
  [Fold 3 | Ep   6/120] loss=1.573 train_acc=22.7% val_acc=30.0% val_loss=1.613 pat=0/30 (20s)
  [Fold 3 | Ep   7/120] loss=1.563 train_acc=21.8% val_acc=25.0% val_loss=1.607 pat=0/30 (27s)
  [Fold 3 | Ep   8/120] loss=1.557 train_acc=22.0% val_acc=25.0% val_loss=1.601 pat=0/30 (27s)
  [Fold 3 | Ep   9/120] loss=1.549 train_acc=25.1% val_acc=30.0% val_loss=1.589 pat=0/30 (27s)
  [Fold 3 | Ep  10/120] loss=1.548 train_acc=22.5% val_acc=30.0% val_loss=1.572 pat=0/30 (28s)
  [Fold 3 | Ep  11/120] loss=1.531 train_acc=25.6% val_acc=30.0% val_loss=1.565 pat=0/30 (27s)
  [Fold 3 | Ep  12/120] loss=1.511 train_acc=27.3% val_acc=30.0% val_loss=1.557 pat=0/30 (25s)
  [Fold 3 | Ep  13/120] loss=1.511 train_acc=26.9% val_acc=35.0% val_loss=1.554 pat=0/30 (26s)
  [Fold 3 | Ep  14/120] loss=1.501 train_acc=28.2% val_acc=40.0% val_loss=1.539 pat=0/30 (28s)
  [Fold 3 | Ep  15/120] loss=1.491 train_acc=30.1% val_acc=40.0% val_loss=1.530 pat=0/30 (27s)
  [Fold 3 | Ep  16/120] loss=1.471 train_acc=31.4% val_acc=40.0% val_loss=1.514 pat=0/30 (26s)
  [Fold 3 | Ep  17/120] loss=1.464 train_acc=31.4% val_acc=35.0% val_loss=1.509 pat=0/30 (27s)
  [Fold 3 | Ep  18/120] loss=1.457 train_acc=33.9% val_acc=45.0% val_loss=1.485 pat=0/30 (22s)
  [Fold 3 | Ep  19/120] loss=1.443 train_acc=31.2% val_acc=45.0% val_loss=1.482 pat=0/30 (21s)
  [Fold 3 | Ep  20/120] loss=1.440 train_acc=38.6% val_acc=45.0% val_loss=1.477 pat=0/30 (20s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.438 train_acc=35.6% val_acc=50.0% val_loss=1.453 pat=0/30 (24s)
  [Fold 3 | Ep  22/120] loss=1.418 train_acc=37.3% val_acc=45.0% val_loss=1.449 pat=0/30 (24s)
  [Fold 3 | Ep  23/120] loss=1.417 train_acc=38.6% val_acc=50.0% val_loss=1.447 pat=0/30 (29s)
  [Fold 3 | Ep  24/120] loss=1.408 train_acc=40.6% val_acc=50.0% val_loss=1.447 pat=0/30 (33s)
  [Fold 3 | Ep  25/120] loss=1.387 train_acc=42.1% val_acc=50.0% val_loss=1.424 pat=0/30 (24s)
  [Fold 3 | Ep  26/120] loss=1.387 train_acc=40.6% val_acc=50.0% val_loss=1.409 pat=0/30 (23s)
  [Fold 3 | Ep  27/120] loss=1.356 train_acc=45.4% val_acc=50.0% val_loss=1.407 pat=0/30 (25s)
  [Fold 3 | Ep  28/120] loss=1.320 train_acc=47.8% val_acc=50.0% val_loss=1.367 pat=0/30 (24s)
  [Fold 3 | Ep  29/120] loss=1.282 train_acc=51.1% val_acc=50.0% val_loss=1.341 pat=0/30 (22s)
  [Fold 3 | Ep  30/120] loss=1.257 train_acc=52.4% val_acc=45.0% val_loss=1.318 pat=0/30 (31s)
  [Fold 3 | Ep  31/120] loss=1.229 train_acc=56.6% val_acc=45.0% val_loss=1.322 pat=0/30 (33s)
  [Fold 3 | Ep  32/120] loss=1.207 train_acc=56.8% val_acc=50.0% val_loss=1.280 pat=1/30 (30s)
  [Fold 3 | Ep  33/120] loss=1.198 train_acc=55.2% val_acc=55.0% val_loss=1.286 pat=0/30 (32s)
  [Fold 3 | Ep  34/120] loss=1.165 train_acc=59.4% val_acc=50.0% val_loss=1.275 pat=1/30 (32s)
  [Fold 3 | Ep  35/120] loss=1.168 train_acc=59.8% val_acc=50.0% val_loss=1.324 pat=0/30 (32s)
  [Fold 3 | Ep  36/120] loss=1.128 train_acc=59.8% val_acc=45.0% val_loss=1.305 pat=1/30 (32s)
  [Fold 3 | Ep  37/120] loss=1.138 train_acc=61.8% val_acc=50.0% val_loss=1.336 pat=2/30 (32s)
  [Fold 3 | Ep  38/120] loss=1.114 train_acc=59.6% val_acc=50.0% val_loss=1.302 pat=3/30 (31s)
  [Fold 3 | Ep  39/120] loss=1.104 train_acc=63.3% val_acc=40.0% val_loss=1.367 pat=4/30 (33s)
  [Fold 3 | Ep  40/120] loss=1.076 train_acc=62.2% val_acc=65.0% val_loss=1.300 pat=5/30 (32s)
  [Fold 3 | Ep  41/120] loss=1.057 train_acc=64.9% val_acc=50.0% val_loss=1.327 pat=6/30 (35s)
  [Fold 3 | Ep  42/120] loss=1.059 train_acc=65.5% val_acc=45.0% val_loss=1.399 pat=7/30 (32s)
  [Fold 3 | Ep  43/120] loss=1.056 train_acc=65.9% val_acc=45.0% val_loss=1.363 pat=8/30 (31s)
  [Fold 3 | Ep  44/120] loss=1.016 train_acc=65.9% val_acc=55.0% val_loss=1.342 pat=9/30 (30s)
  [Fold 3 | Ep  45/120] loss=0.998 train_acc=67.0% val_acc=55.0% val_loss=1.381 pat=10/30 (32s)
  [Fold 3 | Ep  46/120] loss=1.018 train_acc=68.1% val_acc=80.0% val_loss=1.280 pat=11/30 (33s)
  [Fold 3 | Ep  47/120] loss=0.997 train_acc=68.1% val_acc=60.0% val_loss=1.360 pat=12/30 (34s)
  [Fold 3 | Ep  48/120] loss=0.951 train_acc=73.8% val_acc=65.0% val_loss=1.360 pat=13/30 (32s)
  [Fold 3 | Ep  49/120] loss=0.952 train_acc=70.7% val_acc=70.0% val_loss=1.359 pat=14/30 (32s)
  [Fold 3 | Ep  50/120] loss=0.947 train_acc=72.9% val_acc=60.0% val_loss=1.405 pat=15/30 (33s)
  [Fold 3 | Ep  51/120] loss=0.917 train_acc=73.8% val_acc=65.0% val_loss=1.333 pat=16/30 (32s)
  [Fold 3 | Ep  52/120] loss=0.957 train_acc=72.0% val_acc=40.0% val_loss=1.441 pat=17/30 (33s)
  [Fold 3 | Ep  53/120] loss=0.914 train_acc=74.5% val_acc=50.0% val_loss=1.411 pat=18/30 (31s)
  [Fold 3 | Ep  54/120] loss=0.905 train_acc=73.6% val_acc=65.0% val_loss=1.343 pat=19/30 (31s)
  [Fold 3 | Ep  55/120] loss=0.888 train_acc=74.4% val_acc=60.0% val_loss=1.430 pat=20/30 (33s)
  [Fold 3 | Ep  56/120] loss=0.894 train_acc=73.4% val_acc=55.0% val_loss=1.486 pat=21/30 (30s)
  [Fold 3 | Ep  57/120] loss=0.856 train_acc=77.5% val_acc=50.0% val_loss=1.447 pat=22/30 (30s)
  [Fold 3 | Ep  58/120] loss=0.874 train_acc=75.8% val_acc=70.0% val_loss=1.377 pat=23/30 (31s)
  [Fold 3 | Ep  59/120] loss=0.859 train_acc=79.0% val_acc=50.0% val_loss=1.449 pat=24/30 (28s)
  [Fold 3 | Ep  60/120] loss=0.834 train_acc=79.3% val_acc=65.0% val_loss=1.512 pat=25/30 (31s)
  [Fold 3 | Ep  61/120] loss=0.843 train_acc=77.7% val_acc=70.0% val_loss=1.352 pat=26/30 (30s)
  [Fold 3 | Ep  62/120] loss=0.799 train_acc=81.9% val_acc=60.0% val_loss=1.390 pat=27/30 (28s)
  [Fold 3 | Ep  63/120] loss=0.802 train_acc=81.5% val_acc=60.0% val_loss=1.440 pat=28/30 (29s)
  [Fold 3 | Ep  64/120] loss=0.804 train_acc=81.7% val_acc=65.0% val_loss=1.419 pat=29/30 (29s)
  Early stopping at epoch 64 (val_loss hasn't improved for 30 epochs)
