  [Fold 4 | Ep   1/120] loss=1.649 train_acc=18.8% val_acc=20.0% val_loss=1.643 pat=0/30 (27s)
  [Fold 4 | Ep   2/120] loss=1.606 train_acc=22.3% val_acc=20.0% val_loss=1.643 pat=0/30 (26s)
  [Fold 4 | Ep   3/120] loss=1.591 train_acc=22.3% val_acc=20.0% val_loss=1.640 pat=0/30 (27s)
  [Fold 4 | Ep   4/120] loss=1.582 train_acc=22.5% val_acc=20.0% val_loss=1.626 pat=0/30 (26s)
  [Fold 4 | Ep   5/120] loss=1.569 train_acc=25.3% val_acc=20.0% val_loss=1.618 pat=0/30 (26s)
  [Fold 4 | Ep   6/120] loss=1.566 train_acc=24.7% val_acc=20.0% val_loss=1.612 pat=0/30 (28s)
  [Fold 4 | Ep   7/120] loss=1.556 train_acc=25.5% val_acc=20.0% val_loss=1.606 pat=0/30 (27s)
  [Fold 4 | Ep   8/120] loss=1.549 train_acc=26.4% val_acc=20.0% val_loss=1.598 pat=0/30 (27s)
  [Fold 4 | Ep   9/120] loss=1.539 train_acc=26.2% val_acc=20.0% val_loss=1.593 pat=0/30 (26s)
  [Fold 4 | Ep  10/120] loss=1.535 train_acc=26.0% val_acc=20.0% val_loss=1.583 pat=0/30 (25s)
  [Fold 4 | Ep  11/120] loss=1.531 train_acc=26.4% val_acc=20.0% val_loss=1.574 pat=0/30 (25s)
  [Fold 4 | Ep  12/120] loss=1.510 train_acc=28.2% val_acc=20.0% val_loss=1.565 pat=0/30 (26s)
  [Fold 4 | Ep  13/120] loss=1.503 train_acc=27.3% val_acc=20.0% val_loss=1.556 pat=0/30 (26s)
  [Fold 4 | Ep  14/120] loss=1.494 train_acc=26.6% val_acc=20.0% val_loss=1.555 pat=0/30 (27s)
  [Fold 4 | Ep  15/120] loss=1.497 train_acc=27.5% val_acc=20.0% val_loss=1.538 pat=0/30 (25s)
  [Fold 4 | Ep  16/120] loss=1.473 train_acc=28.2% val_acc=25.0% val_loss=1.534 pat=0/30 (27s)
  [Fold 4 | Ep  17/120] loss=1.462 train_acc=30.4% val_acc=25.0% val_loss=1.528 pat=0/30 (25s)
  [Fold 4 | Ep  18/120] loss=1.459 train_acc=29.3% val_acc=20.0% val_loss=1.528 pat=0/30 (27s)
  [Fold 4 | Ep  19/120] loss=1.461 train_acc=31.0% val_acc=25.0% val_loss=1.513 pat=0/30 (26s)
  [Fold 4 | Ep  20/120] loss=1.451 train_acc=31.2% val_acc=25.0% val_loss=1.503 pat=0/30 (28s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.439 train_acc=30.4% val_acc=25.0% val_loss=1.491 pat=0/30 (25s)
  [Fold 4 | Ep  22/120] loss=1.430 train_acc=29.0% val_acc=25.0% val_loss=1.482 pat=0/30 (21s)
  [Fold 4 | Ep  23/120] loss=1.420 train_acc=36.2% val_acc=25.0% val_loss=1.472 pat=0/30 (23s)
  [Fold 4 | Ep  24/120] loss=1.403 train_acc=37.3% val_acc=30.0% val_loss=1.460 pat=0/30 (23s)
  [Fold 4 | Ep  25/120] loss=1.395 train_acc=38.2% val_acc=25.0% val_loss=1.444 pat=0/30 (20s)
  [Fold 4 | Ep  26/120] loss=1.364 train_acc=39.9% val_acc=30.0% val_loss=1.393 pat=0/30 (21s)
  [Fold 4 | Ep  27/120] loss=1.324 train_acc=44.8% val_acc=55.0% val_loss=1.348 pat=0/30 (22s)
  [Fold 4 | Ep  28/120] loss=1.298 train_acc=48.3% val_acc=60.0% val_loss=1.337 pat=0/30 (22s)
  [Fold 4 | Ep  29/120] loss=1.259 train_acc=54.2% val_acc=55.0% val_loss=1.308 pat=0/30 (20s)
  [Fold 4 | Ep  30/120] loss=1.245 train_acc=56.3% val_acc=50.0% val_loss=1.339 pat=0/30 (22s)
  [Fold 4 | Ep  31/120] loss=1.222 train_acc=55.0% val_acc=55.0% val_loss=1.298 pat=1/30 (22s)
  [Fold 4 | Ep  32/120] loss=1.196 train_acc=55.0% val_acc=45.0% val_loss=1.330 pat=0/30 (20s)
  [Fold 4 | Ep  33/120] loss=1.197 train_acc=55.9% val_acc=40.0% val_loss=1.357 pat=1/30 (21s)
  [Fold 4 | Ep  34/120] loss=1.168 train_acc=56.1% val_acc=60.0% val_loss=1.294 pat=2/30 (23s)
  [Fold 4 | Ep  35/120] loss=1.160 train_acc=57.7% val_acc=65.0% val_loss=1.251 pat=0/30 (23s)
  [Fold 4 | Ep  36/120] loss=1.143 train_acc=58.9% val_acc=55.0% val_loss=1.312 pat=0/30 (23s)
  [Fold 4 | Ep  37/120] loss=1.126 train_acc=59.2% val_acc=45.0% val_loss=1.419 pat=1/30 (22s)
  [Fold 4 | Ep  38/120] loss=1.131 train_acc=57.9% val_acc=50.0% val_loss=1.369 pat=2/30 (54s)
  [Fold 4 | Ep  39/120] loss=1.117 train_acc=61.8% val_acc=70.0% val_loss=1.276 pat=3/30 (22s)
  [Fold 4 | Ep  40/120] loss=1.102 train_acc=60.1% val_acc=70.0% val_loss=1.253 pat=4/30 (22s)
  [Fold 4 | Ep  41/120] loss=1.089 train_acc=63.1% val_acc=75.0% val_loss=1.231 pat=5/30 (23s)
  [Fold 4 | Ep  42/120] loss=1.071 train_acc=60.5% val_acc=60.0% val_loss=1.286 pat=0/30 (25s)
  [Fold 4 | Ep  43/120] loss=1.092 train_acc=63.1% val_acc=65.0% val_loss=1.267 pat=1/30 (25s)
  [Fold 4 | Ep  44/120] loss=1.037 train_acc=65.1% val_acc=45.0% val_loss=1.560 pat=2/30 (23s)
