  [Fold 5 | Ep   1/120] loss=1.628 train_acc=19.2% val_acc=20.0% val_loss=1.662 pat=0/30 (21s)
  [Fold 5 | Ep   2/120] loss=1.617 train_acc=20.7% val_acc=20.0% val_loss=1.657 pat=0/30 (21s)
  [Fold 5 | Ep   3/120] loss=1.594 train_acc=22.7% val_acc=25.0% val_loss=1.650 pat=0/30 (21s)
  [Fold 5 | Ep   4/120] loss=1.583 train_acc=21.6% val_acc=20.0% val_loss=1.643 pat=0/30 (26s)
  [Fold 5 | Ep   5/120] loss=1.581 train_acc=25.0% val_acc=25.0% val_loss=1.634 pat=0/30 (24s)
  [Fold 5 | Ep   6/120] loss=1.564 train_acc=25.1% val_acc=25.0% val_loss=1.620 pat=0/30 (20s)
  [Fold 5 | Ep   7/120] loss=1.551 train_acc=24.4% val_acc=25.0% val_loss=1.628 pat=0/30 (19s)
  [Fold 5 | Ep   8/120] loss=1.544 train_acc=25.5% val_acc=25.0% val_loss=1.615 pat=1/30 (20s)
  [Fold 5 | Ep   9/120] loss=1.543 train_acc=24.6% val_acc=25.0% val_loss=1.608 pat=0/30 (21s)
  [Fold 5 | Ep  10/120] loss=1.522 train_acc=27.2% val_acc=25.0% val_loss=1.600 pat=0/30 (21s)
  [Fold 5 | Ep  11/120] loss=1.522 train_acc=27.6% val_acc=25.0% val_loss=1.580 pat=0/30 (23s)
  [Fold 5 | Ep  12/120] loss=1.500 train_acc=29.8% val_acc=25.0% val_loss=1.580 pat=0/30 (20s)
  [Fold 5 | Ep  13/120] loss=1.502 train_acc=29.6% val_acc=25.0% val_loss=1.572 pat=1/30 (21s)
  [Fold 5 | Ep  14/120] loss=1.483 train_acc=29.8% val_acc=25.0% val_loss=1.571 pat=0/30 (21s)
  [Fold 5 | Ep  15/120] loss=1.483 train_acc=30.5% val_acc=25.0% val_loss=1.550 pat=0/30 (22s)
  [Fold 5 | Ep  16/120] loss=1.473 train_acc=36.9% val_acc=25.0% val_loss=1.552 pat=0/30 (23s)
  [Fold 5 | Ep  17/120] loss=1.463 train_acc=29.2% val_acc=25.0% val_loss=1.544 pat=1/30 (21s)
  [Fold 5 | Ep  18/120] loss=1.458 train_acc=32.8% val_acc=25.0% val_loss=1.538 pat=0/30 (22s)
  [Fold 5 | Ep  19/120] loss=1.437 train_acc=34.8% val_acc=25.0% val_loss=1.525 pat=0/30 (20s)
  [Fold 5 | Ep  20/120] loss=1.441 train_acc=33.5% val_acc=30.0% val_loss=1.515 pat=0/30 (20s)
  [Unfreeze] Registration net added to optimizer at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=1.423 train_acc=38.0% val_acc=30.0% val_loss=1.512 pat=0/30 (26s)
  [Fold 5 | Ep  22/120] loss=1.423 train_acc=40.0% val_acc=25.0% val_loss=1.514 pat=0/30 (26s)
  [Fold 5 | Ep  23/120] loss=1.402 train_acc=40.4% val_acc=25.0% val_loss=1.504 pat=1/30 (33s)
  [Fold 5 | Ep  24/120] loss=1.408 train_acc=37.8% val_acc=30.0% val_loss=1.488 pat=0/30 (26s)
  [Fold 5 | Ep  25/120] loss=1.397 train_acc=39.1% val_acc=25.0% val_loss=1.493 pat=0/30 (29s)
  [Fold 5 | Ep  26/120] loss=1.383 train_acc=43.0% val_acc=30.0% val_loss=1.475 pat=1/30 (25s)
