  [Fold 1 | Ep   1/120] loss=0.750 train_acc=57.5% val_acc=85.0% NOR_recall=75.0% DIS_recall=87.5% val_loss=0.754 pat=0/30 (24s)
  [Fold 1 | Ep   2/120] loss=0.749 train_acc=61.0% val_acc=90.0% NOR_recall=75.0% DIS_recall=93.8% val_loss=0.754 pat=0/30 (37s)
  [Fold 1 | Ep   3/120] loss=0.749 train_acc=59.0% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.742 pat=1/30 (25s)
  [Fold 1 | Ep   4/120] loss=0.746 train_acc=68.1% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.740 pat=0/30 (34s)
  [Fold 1 | Ep   5/120] loss=0.739 train_acc=73.5% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.733 pat=0/30 (45s)
  [Fold 1 | Ep   6/120] loss=0.737 train_acc=66.4% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.748 pat=0/30 (45s)
  [Fold 1 | Ep   7/120] loss=0.738 train_acc=71.6% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.731 pat=1/30 (55s)
  [Fold 1 | Ep   8/120] loss=0.739 train_acc=71.6% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.734 pat=0/30 (61s)
  [Fold 1 | Ep   9/120] loss=0.735 train_acc=76.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.746 pat=1/30 (34s)
  [Fold 1 | Ep  10/120] loss=0.734 train_acc=68.6% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.742 pat=2/30 (71s)
  [Fold 1 | Ep  11/120] loss=0.729 train_acc=70.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.740 pat=3/30 (37s)
  [Fold 1 | Ep  12/120] loss=0.732 train_acc=73.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.742 pat=4/30 (57s)
  [Fold 1 | Ep  13/120] loss=0.727 train_acc=73.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.734 pat=5/30 (57s)
  [Fold 1 | Ep  14/120] loss=0.730 train_acc=76.6% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.740 pat=6/30 (57s)
  [Fold 1 | Ep  15/120] loss=0.721 train_acc=79.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.738 pat=7/30 (57s)
  [Fold 1 | Ep  16/120] loss=0.724 train_acc=76.1% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.740 pat=8/30 (45s)
  [Fold 1 | Ep  17/120] loss=0.720 train_acc=78.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.726 pat=9/30 (34s)
  [Fold 1 | Ep  18/120] loss=0.715 train_acc=78.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.730 pat=0/30 (34s)
  [Fold 1 | Ep  19/120] loss=0.714 train_acc=77.4% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.733 pat=1/30 (47s)
  [Fold 1 | Ep  20/120] loss=0.721 train_acc=77.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.745 pat=2/30 (58s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=0.715 train_acc=71.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.728 pat=3/30 (64s)
  [Fold 1 | Ep  22/120] loss=0.714 train_acc=76.4% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.734 pat=4/30 (71s)
  [Fold 1 | Ep  23/120] loss=0.704 train_acc=78.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.736 pat=5/30 (48s)
  [Fold 1 | Ep  24/120] loss=0.712 train_acc=74.4% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.740 pat=6/30 (61s)
  [Fold 1 | Ep  25/120] loss=0.707 train_acc=75.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.735 pat=7/30 (64s)
  [Fold 1 | Ep  26/120] loss=0.707 train_acc=74.4% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.736 pat=8/30 (60s)
  [Fold 1 | Ep  27/120] loss=0.707 train_acc=73.5% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.751 pat=9/30 (69s)
  [Fold 1 | Ep  28/120] loss=0.700 train_acc=74.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.719 pat=10/30 (65s)
  [Fold 1 | Ep  29/120] loss=0.698 train_acc=77.9% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.724 pat=0/30 (68s)
  [Fold 1 | Ep  30/120] loss=0.690 train_acc=78.1% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.724 pat=1/30 (49s)
