  [Fold 1 | Ep   1/120] loss=1.408 train_acc=25.7% val_acc=25.0% val_loss=1.419 pat=0/30 (54s)
  [Fold 1 | Ep   2/120] loss=1.368 train_acc=25.5% val_acc=25.0% val_loss=1.416 pat=0/30 (49s)
  [Fold 1 | Ep   3/120] loss=1.369 train_acc=25.0% val_acc=25.0% val_loss=1.416 pat=0/30 (32s)
  [Fold 1 | Ep   4/120] loss=1.357 train_acc=25.0% val_acc=25.0% val_loss=1.400 pat=1/30 (29s)
  [Fold 1 | Ep   5/120] loss=1.331 train_acc=26.6% val_acc=25.0% val_loss=1.388 pat=0/30 (66s)
  [Fold 1 | Ep   6/120] loss=1.324 train_acc=26.2% val_acc=25.0% val_loss=1.383 pat=0/30 (28s)
  [Fold 1 | Ep   7/120] loss=1.323 train_acc=25.2% val_acc=25.0% val_loss=1.378 pat=0/30 (47s)
  [Fold 1 | Ep   8/120] loss=1.309 train_acc=26.2% val_acc=25.0% val_loss=1.365 pat=0/30 (46s)
  [Fold 1 | Ep   9/120] loss=1.302 train_acc=26.2% val_acc=25.0% val_loss=1.357 pat=0/30 (47s)
  [Fold 1 | Ep  10/120] loss=1.301 train_acc=27.1% val_acc=25.0% val_loss=1.340 pat=0/30 (49s)
  [Fold 1 | Ep  11/120] loss=1.283 train_acc=32.4% val_acc=25.0% val_loss=1.326 pat=0/30 (46s)
  [Fold 1 | Ep  12/120] loss=1.276 train_acc=30.6% val_acc=25.0% val_loss=1.331 pat=0/30 (36s)
  [Fold 1 | Ep  13/120] loss=1.267 train_acc=32.6% val_acc=25.0% val_loss=1.311 pat=1/30 (29s)
  [Fold 1 | Ep  14/120] loss=1.242 train_acc=31.7% val_acc=25.0% val_loss=1.304 pat=0/30 (28s)
  [Fold 1 | Ep  15/120] loss=1.246 train_acc=39.6% val_acc=25.0% val_loss=1.293 pat=0/30 (28s)
  [Fold 1 | Ep  16/120] loss=1.229 train_acc=41.7% val_acc=25.0% val_loss=1.280 pat=0/30 (49s)
  [Fold 1 | Ep  17/120] loss=1.227 train_acc=40.3% val_acc=25.0% val_loss=1.274 pat=0/30 (46s)
  [Fold 1 | Ep  18/120] loss=1.220 train_acc=42.6% val_acc=31.2% val_loss=1.258 pat=0/30 (49s)
  [Fold 1 | Ep  19/120] loss=1.200 train_acc=47.7% val_acc=50.0% val_loss=1.246 pat=0/30 (52s)
  [Fold 1 | Ep  20/120] loss=1.193 train_acc=47.7% val_acc=56.2% val_loss=1.231 pat=0/30 (50s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.180 train_acc=47.5% val_acc=56.2% val_loss=1.225 pat=0/30 (33s)
  [Fold 1 | Ep  22/120] loss=1.185 train_acc=51.4% val_acc=56.2% val_loss=1.212 pat=0/30 (53s)
  [Fold 1 | Ep  23/120] loss=1.171 train_acc=51.4% val_acc=62.5% val_loss=1.201 pat=0/30 (56s)
  [Fold 1 | Ep  24/120] loss=1.151 train_acc=52.3% val_acc=56.2% val_loss=1.200 pat=0/30 (43s)
  [Fold 1 | Ep  25/120] loss=1.139 train_acc=56.7% val_acc=62.5% val_loss=1.179 pat=0/30 (55s)
  [Fold 1 | Ep  26/120] loss=1.134 train_acc=56.5% val_acc=62.5% val_loss=1.165 pat=0/30 (55s)
  [Fold 1 | Ep  27/120] loss=1.097 train_acc=57.2% val_acc=68.8% val_loss=1.140 pat=0/30 (56s)
  [Fold 1 | Ep  28/120] loss=1.064 train_acc=61.8% val_acc=68.8% val_loss=1.125 pat=0/30 (55s)
  [Fold 1 | Ep  29/120] loss=1.048 train_acc=62.0% val_acc=81.2% val_loss=1.113 pat=0/30 (45s)
  [Fold 1 | Ep  30/120] loss=1.021 train_acc=64.8% val_acc=75.0% val_loss=1.114 pat=0/30 (35s)
  [Fold 1 | Ep  31/120] loss=0.986 train_acc=67.6% val_acc=62.5% val_loss=1.182 pat=1/30 (35s)
  [Fold 1 | Ep  32/120] loss=0.983 train_acc=65.0% val_acc=68.8% val_loss=1.126 pat=2/30 (42s)
  [Fold 1 | Ep  33/120] loss=0.954 train_acc=67.4% val_acc=62.5% val_loss=1.199 pat=3/30 (84s)
  [Fold 1 | Ep  34/120] loss=0.933 train_acc=67.4% val_acc=68.8% val_loss=1.123 pat=4/30 (62s)
  [Fold 1 | Ep  35/120] loss=0.927 train_acc=68.5% val_acc=56.2% val_loss=1.171 pat=5/30 (77s)
  [Fold 1 | Ep  36/120] loss=0.908 train_acc=65.5% val_acc=56.2% val_loss=1.239 pat=6/30 (63s)
  [Fold 1 | Ep  37/120] loss=0.907 train_acc=67.1% val_acc=62.5% val_loss=1.160 pat=7/30 (63s)
  [Fold 1 | Ep  38/120] loss=0.903 train_acc=67.6% val_acc=62.5% val_loss=1.199 pat=8/30 (62s)
  [Fold 1 | Ep  39/120] loss=0.894 train_acc=66.2% val_acc=62.5% val_loss=1.247 pat=9/30 (63s)
  [Fold 1 | Ep  40/120] loss=0.859 train_acc=70.8% val_acc=56.2% val_loss=1.284 pat=10/30 (63s)
  [Fold 1 | Ep  41/120] loss=0.855 train_acc=70.8% val_acc=62.5% val_loss=1.189 pat=11/30 (63s)
  [Fold 1 | Ep  42/120] loss=0.850 train_acc=73.1% val_acc=50.0% val_loss=1.250 pat=12/30 (62s)
  [Fold 1 | Ep  43/120] loss=0.851 train_acc=71.1% val_acc=56.2% val_loss=1.183 pat=13/30 (60s)
  [Fold 1 | Ep  44/120] loss=0.846 train_acc=69.7% val_acc=56.2% val_loss=1.198 pat=14/30 (35s)
  [Fold 1 | Ep  45/120] loss=0.838 train_acc=70.8% val_acc=68.8% val_loss=1.090 pat=15/30 (36s)
  [Fold 1 | Ep  46/120] loss=0.806 train_acc=73.1% val_acc=50.0% val_loss=1.134 pat=0/30 (57s)
  [Fold 1 | Ep  47/120] loss=0.778 train_acc=76.6% val_acc=56.2% val_loss=1.164 pat=1/30 (50s)
  [Fold 1 | Ep  48/120] loss=0.796 train_acc=75.0% val_acc=62.5% val_loss=1.140 pat=2/30 (58s)
  [Fold 1 | Ep  49/120] loss=0.758 train_acc=79.6% val_acc=62.5% val_loss=1.270 pat=3/30 (55s)
  [Fold 1 | Ep  50/120] loss=0.760 train_acc=78.7% val_acc=62.5% val_loss=1.190 pat=4/30 (64s)
  [Fold 1 | Ep  51/120] loss=0.723 train_acc=83.3% val_acc=50.0% val_loss=1.225 pat=5/30 (34s)
  [Fold 1 | Ep  52/120] loss=0.738 train_acc=83.3% val_acc=68.8% val_loss=1.204 pat=6/30 (138s)
  [Fold 1 | Ep  53/120] loss=0.721 train_acc=84.0% val_acc=75.0% val_loss=1.123 pat=7/30 (33s)
  [Fold 1 | Ep  54/120] loss=0.736 train_acc=80.6% val_acc=50.0% val_loss=1.198 pat=8/30 (54s)
  [Fold 1 | Ep  55/120] loss=0.683 train_acc=85.2% val_acc=43.8% val_loss=1.222 pat=9/30 (54s)
  [Fold 1 | Ep  56/120] loss=0.701 train_acc=84.0% val_acc=56.2% val_loss=1.286 pat=10/30 (55s)
  [Fold 1 | Ep  57/120] loss=0.675 train_acc=86.8% val_acc=56.2% val_loss=1.268 pat=11/30 (54s)
  [Fold 1 | Ep  58/120] loss=0.678 train_acc=86.1% val_acc=50.0% val_loss=1.347 pat=12/30 (54s)
  [Fold 1 | Ep  59/120] loss=0.659 train_acc=86.8% val_acc=56.2% val_loss=1.253 pat=13/30 (33s)
  [Fold 1 | Ep  60/120] loss=0.653 train_acc=86.3% val_acc=43.8% val_loss=1.328 pat=14/30 (34s)
  [Fold 1 | Ep  61/120] loss=0.644 train_acc=88.7% val_acc=62.5% val_loss=1.264 pat=15/30 (32s)
  [Fold 1 | Ep  62/120] loss=0.636 train_acc=90.3% val_acc=62.5% val_loss=1.214 pat=16/30 (32s)
  [Fold 1 | Ep  63/120] loss=0.615 train_acc=88.4% val_acc=50.0% val_loss=1.314 pat=17/30 (59s)
  [Fold 1 | Ep  64/120] loss=0.639 train_acc=86.6% val_acc=68.8% val_loss=1.305 pat=18/30 (53s)
  [Fold 1 | Ep  65/120] loss=0.664 train_acc=85.6% val_acc=62.5% val_loss=1.316 pat=19/30 (54s)
  [Fold 1 | Ep  66/120] loss=0.602 train_acc=89.8% val_acc=62.5% val_loss=1.300 pat=20/30 (54s)
  [Fold 1 | Ep  67/120] loss=0.597 train_acc=88.7% val_acc=62.5% val_loss=1.284 pat=21/30 (53s)
  [Fold 1 | Ep  68/120] loss=0.586 train_acc=89.8% val_acc=56.2% val_loss=1.348 pat=22/30 (31s)
  [Fold 1 | Ep  69/120] loss=0.563 train_acc=91.4% val_acc=50.0% val_loss=1.426 pat=23/30 (33s)
