  [Fold 1 | Ep   1/120] loss=1.417 train_acc=26.9% val_acc=25.0% val_loss=1.442 pat=0/30 (58s)
  [Fold 1 | Ep   2/120] loss=1.384 train_acc=24.5% val_acc=25.0% val_loss=1.435 pat=0/30 (56s)
  [Fold 1 | Ep   3/120] loss=1.374 train_acc=24.5% val_acc=25.0% val_loss=1.429 pat=0/30 (31s)
  [Fold 1 | Ep   4/120] loss=1.342 train_acc=26.2% val_acc=25.0% val_loss=1.422 pat=0/30 (39s)
  [Fold 1 | Ep   5/120] loss=1.358 train_acc=26.2% val_acc=25.0% val_loss=1.407 pat=0/30 (55s)
  [Fold 1 | Ep   6/120] loss=1.336 train_acc=25.9% val_acc=25.0% val_loss=1.402 pat=0/30 (43s)
  [Fold 1 | Ep   7/120] loss=1.341 train_acc=26.9% val_acc=25.0% val_loss=1.396 pat=0/30 (55s)
  [Fold 1 | Ep   8/120] loss=1.331 train_acc=26.6% val_acc=25.0% val_loss=1.391 pat=0/30 (54s)
  [Fold 1 | Ep   9/120] loss=1.332 train_acc=25.2% val_acc=25.0% val_loss=1.373 pat=0/30 (54s)
  [Fold 1 | Ep  10/120] loss=1.321 train_acc=27.3% val_acc=25.0% val_loss=1.368 pat=0/30 (54s)
  [Fold 1 | Ep  11/120] loss=1.317 train_acc=26.6% val_acc=25.0% val_loss=1.355 pat=0/30 (34s)
  [Fold 1 | Ep  12/120] loss=1.290 train_acc=28.0% val_acc=25.0% val_loss=1.345 pat=0/30 (30s)
  [Fold 1 | Ep  13/120] loss=1.281 train_acc=29.4% val_acc=25.0% val_loss=1.334 pat=0/30 (32s)
  [Fold 1 | Ep  14/120] loss=1.277 train_acc=31.2% val_acc=25.0% val_loss=1.331 pat=0/30 (42s)
  [Fold 1 | Ep  15/120] loss=1.264 train_acc=33.1% val_acc=25.0% val_loss=1.331 pat=0/30 (54s)
  [Fold 1 | Ep  16/120] loss=1.253 train_acc=34.0% val_acc=37.5% val_loss=1.308 pat=1/30 (56s)
  [Fold 1 | Ep  17/120] loss=1.240 train_acc=36.3% val_acc=25.0% val_loss=1.317 pat=0/30 (55s)
  [Fold 1 | Ep  18/120] loss=1.232 train_acc=38.0% val_acc=37.5% val_loss=1.294 pat=1/30 (56s)
  [Fold 1 | Ep  19/120] loss=1.224 train_acc=39.6% val_acc=37.5% val_loss=1.297 pat=0/30 (33s)
  [Fold 1 | Ep  20/120] loss=1.213 train_acc=39.8% val_acc=50.0% val_loss=1.275 pat=1/30 (54s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=1.205 train_acc=38.7% val_acc=43.8% val_loss=1.270 pat=0/30 (59s)
  [Fold 1 | Ep  22/120] loss=1.199 train_acc=44.7% val_acc=50.0% val_loss=1.257 pat=0/30 (50s)
  [Fold 1 | Ep  23/120] loss=1.190 train_acc=47.0% val_acc=43.8% val_loss=1.257 pat=0/30 (63s)
  [Fold 1 | Ep  24/120] loss=1.174 train_acc=47.7% val_acc=43.8% val_loss=1.249 pat=0/30 (65s)
  [Fold 1 | Ep  25/120] loss=1.156 train_acc=48.1% val_acc=43.8% val_loss=1.243 pat=0/30 (63s)
  [Fold 1 | Ep  26/120] loss=1.150 train_acc=50.9% val_acc=56.2% val_loss=1.216 pat=0/30 (56s)
  [Fold 1 | Ep  27/120] loss=1.103 train_acc=55.6% val_acc=62.5% val_loss=1.182 pat=0/30 (36s)
  [Fold 1 | Ep  28/120] loss=1.060 train_acc=61.1% val_acc=62.5% val_loss=1.165 pat=0/30 (37s)
  [Fold 1 | Ep  29/120] loss=1.031 train_acc=63.0% val_acc=62.5% val_loss=1.164 pat=0/30 (49s)
  [Fold 1 | Ep  30/120] loss=1.010 train_acc=63.9% val_acc=68.8% val_loss=1.138 pat=0/30 (96s)
  [Fold 1 | Ep  31/120] loss=0.994 train_acc=65.5% val_acc=62.5% val_loss=1.182 pat=0/30 (70s)
  [Fold 1 | Ep  32/120] loss=0.974 train_acc=63.2% val_acc=62.5% val_loss=1.237 pat=1/30 (89s)
  [Fold 1 | Ep  33/120] loss=0.950 train_acc=66.2% val_acc=43.8% val_loss=1.301 pat=2/30 (73s)
  [Fold 1 | Ep  34/120] loss=0.932 train_acc=66.2% val_acc=56.2% val_loss=1.244 pat=3/30 (71s)
  [Fold 1 | Ep  35/120] loss=0.918 train_acc=67.6% val_acc=56.2% val_loss=1.222 pat=4/30 (71s)
  [Fold 1 | Ep  36/120] loss=0.910 train_acc=66.7% val_acc=62.5% val_loss=1.240 pat=5/30 (71s)
  [Fold 1 | Ep  37/120] loss=0.893 train_acc=69.7% val_acc=50.0% val_loss=1.260 pat=6/30 (71s)
  [Fold 1 | Ep  38/120] loss=0.894 train_acc=68.3% val_acc=56.2% val_loss=1.304 pat=7/30 (72s)
