  [Fold 1 | Ep   1/120] loss=0.758 train_acc=32.5% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.850 pat=0/30 (73s)
  [Fold 1 | Ep   2/120] loss=0.762 train_acc=22.4% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.868 pat=0/30 (61s)
  [Fold 1 | Ep   3/120] loss=0.771 train_acc=21.3% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.860 pat=1/30 (79s)
  [Fold 1 | Ep   4/120] loss=0.768 train_acc=20.8% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.856 pat=2/30 (145s)
  [Fold 1 | Ep   5/120] loss=0.754 train_acc=22.3% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.843 pat=3/30 (38s)
  [Fold 1 | Ep   6/120] loss=0.745 train_acc=21.9% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.864 pat=0/30 (62s)
  [Fold 1 | Ep   7/120] loss=0.750 train_acc=23.4% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.836 pat=1/30 (62s)
  [Fold 1 | Ep   8/120] loss=0.758 train_acc=23.0% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.837 pat=0/30 (61s)
  [Fold 1 | Ep   9/120] loss=0.749 train_acc=32.7% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.863 pat=1/30 (63s)
  [Fold 1 | Ep  10/120] loss=0.748 train_acc=22.4% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.856 pat=2/30 (46s)
  [Fold 1 | Ep  11/120] loss=0.752 train_acc=20.8% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.854 pat=3/30 (38s)
  [Fold 1 | Ep  12/120] loss=0.749 train_acc=22.8% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.852 pat=4/30 (38s)
