  [Fold 2 | Ep   1/120] loss=1.413 train_acc=24.1% val_acc=25.0% val_loss=1.448 pat=0/30 (33s)
  [Fold 2 | Ep   2/120] loss=1.378 train_acc=25.7% val_acc=25.0% val_loss=1.442 pat=0/30 (33s)
  [Fold 2 | Ep   3/120] loss=1.374 train_acc=25.2% val_acc=25.0% val_loss=1.445 pat=0/30 (34s)
  [Fold 2 | Ep   4/120] loss=1.364 train_acc=26.1% val_acc=25.0% val_loss=1.422 pat=1/30 (57s)
  [Fold 2 | Ep   5/120] loss=1.354 train_acc=27.1% val_acc=25.0% val_loss=1.421 pat=0/30 (53s)
  [Fold 2 | Ep   6/120] loss=1.336 train_acc=25.5% val_acc=25.0% val_loss=1.412 pat=0/30 (56s)
  [Fold 2 | Ep   7/120] loss=1.329 train_acc=27.3% val_acc=25.0% val_loss=1.404 pat=0/30 (57s)
  [Fold 2 | Ep   8/120] loss=1.306 train_acc=29.4% val_acc=25.0% val_loss=1.397 pat=0/30 (42s)
  [Fold 2 | Ep   9/120] loss=1.312 train_acc=27.5% val_acc=31.2% val_loss=1.388 pat=0/30 (31s)
  [Fold 2 | Ep  10/120] loss=1.296 train_acc=28.2% val_acc=31.2% val_loss=1.374 pat=0/30 (31s)
  [Fold 2 | Ep  11/120] loss=1.296 train_acc=32.3% val_acc=31.2% val_loss=1.364 pat=0/30 (31s)
  [Fold 2 | Ep  12/120] loss=1.282 train_acc=36.0% val_acc=31.2% val_loss=1.356 pat=0/30 (74s)
  [Fold 2 | Ep  13/120] loss=1.275 train_acc=33.9% val_acc=31.2% val_loss=1.361 pat=0/30 (33s)
  [Fold 2 | Ep  14/120] loss=1.275 train_acc=35.8% val_acc=37.5% val_loss=1.339 pat=1/30 (50s)
  [Fold 2 | Ep  15/120] loss=1.253 train_acc=34.6% val_acc=37.5% val_loss=1.333 pat=0/30 (54s)
  [Fold 2 | Ep  16/120] loss=1.264 train_acc=37.6% val_acc=37.5% val_loss=1.320 pat=0/30 (51s)
  [Fold 2 | Ep  17/120] loss=1.236 train_acc=40.1% val_acc=31.2% val_loss=1.317 pat=0/30 (52s)
  [Fold 2 | Ep  18/120] loss=1.244 train_acc=38.5% val_acc=37.5% val_loss=1.313 pat=0/30 (49s)
  [Fold 2 | Ep  19/120] loss=1.231 train_acc=39.9% val_acc=37.5% val_loss=1.304 pat=0/30 (30s)
  [Fold 2 | Ep  20/120] loss=1.220 train_acc=42.0% val_acc=37.5% val_loss=1.295 pat=0/30 (30s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 2 | Ep  21/120] loss=1.211 train_acc=46.8% val_acc=37.5% val_loss=1.292 pat=0/30 (34s)
  [Fold 2 | Ep  22/120] loss=1.203 train_acc=43.3% val_acc=43.8% val_loss=1.288 pat=0/30 (34s)
  [Fold 2 | Ep  23/120] loss=1.192 train_acc=45.0% val_acc=37.5% val_loss=1.275 pat=0/30 (33s)
  [Fold 2 | Ep  24/120] loss=1.187 train_acc=46.3% val_acc=37.5% val_loss=1.267 pat=0/30 (34s)
  [Fold 2 | Ep  25/120] loss=1.164 train_acc=49.3% val_acc=50.0% val_loss=1.254 pat=0/30 (52s)
  [Fold 2 | Ep  26/120] loss=1.137 train_acc=54.1% val_acc=43.8% val_loss=1.222 pat=0/30 (232s)
  [Fold 2 | Ep  27/120] loss=1.111 train_acc=58.3% val_acc=62.5% val_loss=1.218 pat=0/30 (69s)
  [Fold 2 | Ep  28/120] loss=1.062 train_acc=59.2% val_acc=68.8% val_loss=1.217 pat=0/30 (72s)
  [Fold 2 | Ep  29/120] loss=1.040 train_acc=59.4% val_acc=68.8% val_loss=1.166 pat=0/30 (70s)
  [Fold 2 | Ep  30/120] loss=1.017 train_acc=63.1% val_acc=62.5% val_loss=1.204 pat=0/30 (72s)
  [Fold 2 | Ep  31/120] loss=0.999 train_acc=63.3% val_acc=56.2% val_loss=1.165 pat=1/30 (71s)
  [Fold 2 | Ep  32/120] loss=0.969 train_acc=64.7% val_acc=62.5% val_loss=1.151 pat=0/30 (62s)
  [Fold 2 | Ep  33/120] loss=0.942 train_acc=66.1% val_acc=62.5% val_loss=1.168 pat=0/30 (38s)
  [Fold 2 | Ep  34/120] loss=0.958 train_acc=65.1% val_acc=56.2% val_loss=1.218 pat=1/30 (37s)
  [Fold 2 | Ep  35/120] loss=0.941 train_acc=64.2% val_acc=56.2% val_loss=1.180 pat=2/30 (38s)
  [Fold 2 | Ep  36/120] loss=0.912 train_acc=68.6% val_acc=62.5% val_loss=1.202 pat=3/30 (38s)
  [Fold 2 | Ep  37/120] loss=0.916 train_acc=64.9% val_acc=62.5% val_loss=1.188 pat=4/30 (55s)
  [Fold 2 | Ep  38/120] loss=0.936 train_acc=66.7% val_acc=62.5% val_loss=1.159 pat=5/30 (62s)
