  [Fold 1 | Ep   1/120] loss=0.754 train_acc=49.2% val_acc=35.0% NOR_recall=100.0% DIS_recall=18.8% val_loss=0.778 pat=0/30 (62s)
  [Fold 1 | Ep   2/120] loss=0.754 train_acc=50.6% val_acc=35.0% NOR_recall=100.0% DIS_recall=18.8% val_loss=0.783 pat=0/30 (61s)
  [Fold 1 | Ep   3/120] loss=0.757 train_acc=42.3% val_acc=35.0% NOR_recall=100.0% DIS_recall=18.8% val_loss=0.773 pat=1/30 (51s)
  [Fold 1 | Ep   4/120] loss=0.753 train_acc=52.5% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.770 pat=0/30 (34s)
  [Fold 1 | Ep   5/120] loss=0.746 train_acc=57.7% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.762 pat=0/30 (34s)
  [Fold 1 | Ep   6/120] loss=0.742 train_acc=50.8% val_acc=40.0% NOR_recall=100.0% DIS_recall=25.0% val_loss=0.778 pat=0/30 (40s)
  [Fold 1 | Ep   7/120] loss=0.742 train_acc=53.2% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.760 pat=1/30 (85s)
  [Fold 1 | Ep   8/120] loss=0.747 train_acc=50.6% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.762 pat=0/30 (46s)
  [Fold 1 | Ep   9/120] loss=0.741 train_acc=69.0% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.775 pat=1/30 (58s)
  [Fold 1 | Ep  10/120] loss=0.740 train_acc=57.0% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.772 pat=2/30 (57s)
  [Fold 1 | Ep  11/120] loss=0.738 train_acc=47.9% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.771 pat=3/30 (58s)
  [Fold 1 | Ep  12/120] loss=0.739 train_acc=59.9% val_acc=70.0% NOR_recall=100.0% DIS_recall=62.5% val_loss=0.771 pat=4/30 (52s)
  [Fold 1 | Ep  13/120] loss=0.734 train_acc=65.9% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.760 pat=5/30 (33s)
  [Fold 1 | Ep  14/120] loss=0.734 train_acc=64.6% val_acc=65.0% NOR_recall=50.0% DIS_recall=68.8% val_loss=0.767 pat=0/30 (35s)
  [Fold 1 | Ep  15/120] loss=0.726 train_acc=72.7% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.757 pat=1/30 (35s)
  [Fold 1 | Ep  16/120] loss=0.728 train_acc=67.9% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.769 pat=0/30 (36s)
  [Fold 1 | Ep  17/120] loss=0.727 train_acc=64.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.751 pat=1/30 (35s)
  [Fold 1 | Ep  18/120] loss=0.717 train_acc=75.0% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.757 pat=0/30 (35s)
  [Fold 1 | Ep  19/120] loss=0.720 train_acc=64.0% val_acc=55.0% NOR_recall=25.0% DIS_recall=62.5% val_loss=0.764 pat=1/30 (72s)
  [Fold 1 | Ep  20/120] loss=0.727 train_acc=69.0% val_acc=45.0% NOR_recall=100.0% DIS_recall=31.2% val_loss=0.785 pat=2/30 (250s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 1 | Ep  21/120] loss=0.721 train_acc=59.7% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.759 pat=3/30 (78s)
  [Fold 1 | Ep  22/120] loss=0.721 train_acc=74.0% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.765 pat=4/30 (76s)
  [Fold 1 | Ep  23/120] loss=0.708 train_acc=73.7% val_acc=55.0% NOR_recall=25.0% DIS_recall=62.5% val_loss=0.765 pat=5/30 (77s)
