  [Fold 2 | Ep   1/120] loss=1.419 train_acc=21.6% val_acc=25.0% val_loss=1.430 pat=0/30 (28s)
  [Fold 2 | Ep   2/120] loss=1.375 train_acc=28.0% val_acc=25.0% val_loss=1.426 pat=0/30 (28s)
  [Fold 2 | Ep   3/120] loss=1.348 train_acc=25.2% val_acc=25.0% val_loss=1.428 pat=0/30 (29s)
  [Fold 2 | Ep   4/120] loss=1.342 train_acc=25.5% val_acc=25.0% val_loss=1.423 pat=1/30 (39s)
  [Fold 2 | Ep   5/120] loss=1.342 train_acc=25.2% val_acc=25.0% val_loss=1.413 pat=0/30 (60s)
  [Fold 2 | Ep   6/120] loss=1.325 train_acc=26.4% val_acc=25.0% val_loss=1.398 pat=0/30 (28s)
  [Fold 2 | Ep   7/120] loss=1.321 train_acc=27.1% val_acc=25.0% val_loss=1.390 pat=0/30 (51s)
  [Fold 2 | Ep   8/120] loss=1.316 train_acc=27.5% val_acc=25.0% val_loss=1.381 pat=0/30 (49s)
  [Fold 2 | Ep   9/120] loss=1.306 train_acc=29.1% val_acc=31.2% val_loss=1.375 pat=0/30 (45s)
  [Fold 2 | Ep  10/120] loss=1.284 train_acc=28.2% val_acc=31.2% val_loss=1.364 pat=0/30 (46s)
  [Fold 2 | Ep  11/120] loss=1.269 train_acc=33.5% val_acc=31.2% val_loss=1.348 pat=0/30 (49s)
  [Fold 2 | Ep  12/120] loss=1.272 train_acc=36.2% val_acc=37.5% val_loss=1.340 pat=0/30 (28s)
  [Fold 2 | Ep  13/120] loss=1.259 train_acc=35.1% val_acc=37.5% val_loss=1.333 pat=0/30 (28s)
  [Fold 2 | Ep  14/120] loss=1.251 train_acc=38.3% val_acc=37.5% val_loss=1.327 pat=0/30 (28s)
  [Fold 2 | Ep  15/120] loss=1.236 train_acc=39.4% val_acc=50.0% val_loss=1.312 pat=0/30 (29s)
  [Fold 2 | Ep  16/120] loss=1.230 train_acc=41.7% val_acc=43.8% val_loss=1.302 pat=0/30 (30s)
  [Fold 2 | Ep  17/120] loss=1.216 train_acc=46.6% val_acc=43.8% val_loss=1.292 pat=0/30 (29s)
