  [Fold 3 | Ep   1/120] loss=1.420 train_acc=22.8% val_acc=25.0% val_loss=1.431 pat=0/30 (51s)
  [Fold 3 | Ep   2/120] loss=1.370 train_acc=24.7% val_acc=25.0% val_loss=1.423 pat=0/30 (51s)
  [Fold 3 | Ep   3/120] loss=1.352 train_acc=25.1% val_acc=25.0% val_loss=1.423 pat=0/30 (53s)
  [Fold 3 | Ep   4/120] loss=1.336 train_acc=25.3% val_acc=25.0% val_loss=1.415 pat=1/30 (32s)
  [Fold 3 | Ep   5/120] loss=1.332 train_acc=26.0% val_acc=25.0% val_loss=1.404 pat=0/30 (32s)
  [Fold 3 | Ep   6/120] loss=1.322 train_acc=25.6% val_acc=25.0% val_loss=1.397 pat=0/30 (32s)
  [Fold 3 | Ep   7/120] loss=1.322 train_acc=26.7% val_acc=25.0% val_loss=1.386 pat=0/30 (40s)
  [Fold 3 | Ep   8/120] loss=1.304 train_acc=25.8% val_acc=25.0% val_loss=1.372 pat=0/30 (56s)
  [Fold 3 | Ep   9/120] loss=1.297 train_acc=26.5% val_acc=25.0% val_loss=1.363 pat=0/30 (56s)
  [Fold 3 | Ep  10/120] loss=1.289 train_acc=29.7% val_acc=25.0% val_loss=1.344 pat=0/30 (56s)
  [Fold 3 | Ep  11/120] loss=1.278 train_acc=28.3% val_acc=25.0% val_loss=1.340 pat=0/30 (56s)
  [Fold 3 | Ep  12/120] loss=1.260 train_acc=30.0% val_acc=25.0% val_loss=1.327 pat=0/30 (57s)
  [Fold 3 | Ep  13/120] loss=1.242 train_acc=32.9% val_acc=25.0% val_loss=1.317 pat=0/30 (56s)
  [Fold 3 | Ep  14/120] loss=1.234 train_acc=33.2% val_acc=43.8% val_loss=1.303 pat=0/30 (55s)
  [Fold 3 | Ep  15/120] loss=1.238 train_acc=34.8% val_acc=50.0% val_loss=1.292 pat=0/30 (55s)
  [Fold 3 | Ep  16/120] loss=1.222 train_acc=41.0% val_acc=50.0% val_loss=1.286 pat=0/30 (55s)
  [Fold 3 | Ep  17/120] loss=1.219 train_acc=39.6% val_acc=56.2% val_loss=1.267 pat=0/30 (65s)
  [Fold 3 | Ep  18/120] loss=1.203 train_acc=41.2% val_acc=62.5% val_loss=1.263 pat=0/30 (56s)
  [Fold 3 | Ep  19/120] loss=1.182 train_acc=45.2% val_acc=56.2% val_loss=1.253 pat=0/30 (54s)
  [Fold 3 | Ep  20/120] loss=1.188 train_acc=45.4% val_acc=56.2% val_loss=1.241 pat=0/30 (29s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.171 train_acc=45.6% val_acc=62.5% val_loss=1.236 pat=0/30 (32s)
  [Fold 3 | Ep  22/120] loss=1.156 train_acc=51.6% val_acc=62.5% val_loss=1.225 pat=0/30 (37s)
  [Fold 3 | Ep  23/120] loss=1.147 train_acc=55.1% val_acc=62.5% val_loss=1.211 pat=0/30 (86s)
  [Fold 3 | Ep  24/120] loss=1.141 train_acc=53.5% val_acc=62.5% val_loss=1.199 pat=0/30 (42s)
  [Fold 3 | Ep  25/120] loss=1.108 train_acc=58.1% val_acc=62.5% val_loss=1.175 pat=0/30 (54s)
  [Fold 3 | Ep  26/120] loss=1.099 train_acc=59.0% val_acc=56.2% val_loss=1.155 pat=0/30 (54s)
  [Fold 3 | Ep  27/120] loss=1.048 train_acc=65.7% val_acc=50.0% val_loss=1.162 pat=0/30 (51s)
  [Fold 3 | Ep  28/120] loss=1.018 train_acc=64.3% val_acc=56.2% val_loss=1.107 pat=1/30 (53s)
  [Fold 3 | Ep  29/120] loss=0.991 train_acc=67.5% val_acc=62.5% val_loss=1.088 pat=0/30 (36s)
  [Fold 3 | Ep  30/120] loss=0.968 train_acc=67.1% val_acc=56.2% val_loss=1.110 pat=0/30 (32s)
  [Fold 3 | Ep  31/120] loss=0.965 train_acc=66.1% val_acc=56.2% val_loss=1.088 pat=1/30 (34s)
  [Fold 3 | Ep  32/120] loss=0.952 train_acc=65.0% val_acc=56.2% val_loss=1.083 pat=0/30 (191s)
  [Fold 3 | Ep  33/120] loss=0.946 train_acc=66.4% val_acc=62.5% val_loss=1.136 pat=0/30 (131s)
  [Fold 3 | Ep  34/120] loss=0.910 train_acc=68.4% val_acc=62.5% val_loss=1.143 pat=1/30 (53s)
  [Fold 3 | Ep  35/120] loss=0.937 train_acc=67.3% val_acc=56.2% val_loss=1.083 pat=2/30 (54s)
  [Fold 3 | Ep  36/120] loss=0.922 train_acc=66.6% val_acc=56.2% val_loss=1.101 pat=3/30 (52s)
  [Fold 3 | Ep  37/120] loss=0.921 train_acc=65.4% val_acc=56.2% val_loss=1.100 pat=4/30 (33s)
  [Fold 3 | Ep  38/120] loss=0.933 train_acc=66.8% val_acc=56.2% val_loss=1.130 pat=5/30 (36s)
  [Fold 3 | Ep  39/120] loss=0.901 train_acc=67.7% val_acc=56.2% val_loss=1.114 pat=6/30 (46s)
  [Fold 3 | Ep  40/120] loss=0.884 train_acc=69.1% val_acc=56.2% val_loss=1.146 pat=7/30 (58s)
  [Fold 3 | Ep  41/120] loss=0.848 train_acc=71.2% val_acc=56.2% val_loss=1.137 pat=8/30 (59s)
  [Fold 3 | Ep  42/120] loss=0.890 train_acc=69.4% val_acc=62.5% val_loss=1.122 pat=9/30 (57s)
  [Fold 3 | Ep  43/120] loss=0.868 train_acc=69.8% val_acc=62.5% val_loss=1.085 pat=10/30 (56s)
  [Fold 3 | Ep  44/120] loss=0.869 train_acc=69.1% val_acc=62.5% val_loss=1.141 pat=11/30 (42s)
  [Fold 3 | Ep  45/120] loss=0.853 train_acc=69.6% val_acc=56.2% val_loss=1.253 pat=12/30 (40s)
  [Fold 3 | Ep  46/120] loss=0.815 train_acc=73.3% val_acc=62.5% val_loss=1.126 pat=13/30 (226s)
  [Fold 3 | Ep  47/120] loss=0.816 train_acc=71.2% val_acc=62.5% val_loss=1.163 pat=14/30 (35s)
  [Fold 3 | Ep  48/120] loss=0.851 train_acc=70.3% val_acc=50.0% val_loss=1.301 pat=15/30 (45s)
  [Fold 3 | Ep  49/120] loss=0.836 train_acc=71.7% val_acc=50.0% val_loss=1.203 pat=16/30 (57s)
  [Fold 3 | Ep  50/120] loss=0.838 train_acc=72.1% val_acc=56.2% val_loss=1.154 pat=17/30 (56s)
  [Fold 3 | Ep  51/120] loss=0.801 train_acc=73.0% val_acc=56.2% val_loss=1.133 pat=18/30 (56s)
  [Fold 3 | Ep  52/120] loss=0.809 train_acc=76.5% val_acc=62.5% val_loss=1.109 pat=19/30 (58s)
  [Fold 3 | Ep  53/120] loss=0.781 train_acc=74.4% val_acc=50.0% val_loss=1.248 pat=20/30 (44s)
  [Fold 3 | Ep  54/120] loss=0.793 train_acc=74.4% val_acc=56.2% val_loss=1.198 pat=21/30 (36s)
  [Fold 3 | Ep  55/120] loss=0.787 train_acc=75.1% val_acc=62.5% val_loss=1.081 pat=22/30 (37s)
  [Fold 3 | Ep  56/120] loss=0.775 train_acc=74.0% val_acc=62.5% val_loss=1.194 pat=0/30 (53s)
  [Fold 3 | Ep  57/120] loss=0.769 train_acc=76.5% val_acc=62.5% val_loss=1.119 pat=1/30 (57s)
  [Fold 3 | Ep  58/120] loss=0.768 train_acc=77.4% val_acc=62.5% val_loss=1.083 pat=2/30 (57s)
  [Fold 3 | Ep  59/120] loss=0.781 train_acc=77.2% val_acc=62.5% val_loss=1.126 pat=3/30 (57s)
  [Fold 3 | Ep  60/120] loss=0.785 train_acc=76.3% val_acc=75.0% val_loss=1.167 pat=4/30 (55s)
  [Fold 3 | Ep  61/120] loss=0.756 train_acc=75.8% val_acc=68.8% val_loss=1.141 pat=5/30 (35s)
  [Fold 3 | Ep  62/120] loss=0.769 train_acc=75.3% val_acc=50.0% val_loss=1.229 pat=6/30 (36s)
  [Fold 3 | Ep  63/120] loss=0.752 train_acc=78.3% val_acc=68.8% val_loss=1.116 pat=7/30 (34s)
  [Fold 3 | Ep  64/120] loss=0.747 train_acc=77.6% val_acc=62.5% val_loss=1.129 pat=8/30 (58s)
  [Fold 3 | Ep  65/120] loss=0.735 train_acc=77.9% val_acc=56.2% val_loss=1.189 pat=9/30 (64s)
  [Fold 3 | Ep  66/120] loss=0.737 train_acc=78.6% val_acc=68.8% val_loss=1.154 pat=10/30 (64s)
  [Fold 3 | Ep  67/120] loss=0.722 train_acc=79.5% val_acc=75.0% val_loss=1.090 pat=11/30 (125s)
