  [Fold 3 | Ep   1/120] loss=1.443 train_acc=21.4% val_acc=25.0% val_loss=1.435 pat=0/30 (66s)
  [Fold 3 | Ep   2/120] loss=1.377 train_acc=24.9% val_acc=25.0% val_loss=1.447 pat=0/30 (66s)
  [Fold 3 | Ep   3/120] loss=1.369 train_acc=26.3% val_acc=25.0% val_loss=1.441 pat=1/30 (65s)
  [Fold 3 | Ep   4/120] loss=1.376 train_acc=25.6% val_acc=25.0% val_loss=1.445 pat=2/30 (65s)
  [Fold 3 | Ep   5/120] loss=1.354 train_acc=26.5% val_acc=25.0% val_loss=1.426 pat=3/30 (64s)
  [Fold 3 | Ep   6/120] loss=1.358 train_acc=25.8% val_acc=25.0% val_loss=1.411 pat=0/30 (63s)
  [Fold 3 | Ep   7/120] loss=1.338 train_acc=26.7% val_acc=25.0% val_loss=1.415 pat=0/30 (63s)
  [Fold 3 | Ep   8/120] loss=1.338 train_acc=27.2% val_acc=25.0% val_loss=1.387 pat=1/30 (63s)
  [Fold 3 | Ep   9/120] loss=1.315 train_acc=27.2% val_acc=25.0% val_loss=1.369 pat=0/30 (75s)
  [Fold 3 | Ep  10/120] loss=1.319 train_acc=28.3% val_acc=25.0% val_loss=1.379 pat=0/30 (68s)
  [Fold 3 | Ep  11/120] loss=1.293 train_acc=27.6% val_acc=25.0% val_loss=1.368 pat=1/30 (32s)
  [Fold 3 | Ep  12/120] loss=1.295 train_acc=28.3% val_acc=25.0% val_loss=1.353 pat=0/30 (33s)
  [Fold 3 | Ep  13/120] loss=1.285 train_acc=30.9% val_acc=37.5% val_loss=1.333 pat=0/30 (107s)
  [Fold 3 | Ep  14/120] loss=1.284 train_acc=33.2% val_acc=25.0% val_loss=1.335 pat=0/30 (39s)
  [Fold 3 | Ep  15/120] loss=1.264 train_acc=36.9% val_acc=25.0% val_loss=1.338 pat=1/30 (57s)
  [Fold 3 | Ep  16/120] loss=1.267 train_acc=30.2% val_acc=50.0% val_loss=1.309 pat=2/30 (57s)
  [Fold 3 | Ep  17/120] loss=1.253 train_acc=39.9% val_acc=50.0% val_loss=1.298 pat=0/30 (54s)
  [Fold 3 | Ep  18/120] loss=1.250 train_acc=34.6% val_acc=43.8% val_loss=1.297 pat=0/30 (59s)
  [Fold 3 | Ep  19/120] loss=1.238 train_acc=36.6% val_acc=43.8% val_loss=1.292 pat=0/30 (40s)
  [Fold 3 | Ep  20/120] loss=1.228 train_acc=38.2% val_acc=50.0% val_loss=1.279 pat=0/30 (32s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=1.212 train_acc=38.2% val_acc=62.5% val_loss=1.259 pat=0/30 (37s)
  [Fold 3 | Ep  22/120] loss=1.201 train_acc=44.0% val_acc=56.2% val_loss=1.251 pat=0/30 (249s)
  [Fold 3 | Ep  23/120] loss=1.199 train_acc=46.8% val_acc=62.5% val_loss=1.238 pat=0/30 (79s)
  [Fold 3 | Ep  24/120] loss=1.180 train_acc=48.6% val_acc=62.5% val_loss=1.236 pat=0/30 (62s)
  [Fold 3 | Ep  25/120] loss=1.180 train_acc=44.5% val_acc=62.5% val_loss=1.217 pat=0/30 (62s)
  [Fold 3 | Ep  26/120] loss=1.162 train_acc=49.3% val_acc=62.5% val_loss=1.219 pat=0/30 (45s)
  [Fold 3 | Ep  27/120] loss=1.147 train_acc=58.5% val_acc=56.2% val_loss=1.210 pat=1/30 (39s)
  [Fold 3 | Ep  28/120] loss=1.136 train_acc=51.8% val_acc=62.5% val_loss=1.217 pat=0/30 (47s)
  [Fold 3 | Ep  29/120] loss=1.117 train_acc=56.2% val_acc=62.5% val_loss=1.170 pat=1/30 (65s)
  [Fold 3 | Ep  30/120] loss=1.085 train_acc=57.8% val_acc=62.5% val_loss=1.177 pat=0/30 (63s)
  [Fold 3 | Ep  31/120] loss=1.058 train_acc=59.9% val_acc=75.0% val_loss=1.124 pat=1/30 (64s)
  [Fold 3 | Ep  32/120] loss=1.012 train_acc=65.0% val_acc=75.0% val_loss=1.095 pat=0/30 (64s)
  [Fold 3 | Ep  33/120] loss=1.008 train_acc=64.5% val_acc=62.5% val_loss=1.137 pat=0/30 (39s)
  [Fold 3 | Ep  34/120] loss=0.961 train_acc=63.1% val_acc=75.0% val_loss=1.055 pat=1/30 (161s)
  [Fold 3 | Ep  35/120] loss=0.954 train_acc=65.9% val_acc=68.8% val_loss=1.089 pat=0/30 (111s)
  [Fold 3 | Ep  36/120] loss=0.957 train_acc=65.2% val_acc=62.5% val_loss=1.248 pat=1/30 (39s)
  [Fold 3 | Ep  37/120] loss=0.908 train_acc=68.0% val_acc=75.0% val_loss=1.134 pat=2/30 (65s)
  [Fold 3 | Ep  38/120] loss=0.877 train_acc=69.4% val_acc=62.5% val_loss=1.277 pat=3/30 (65s)
  [Fold 3 | Ep  39/120] loss=0.852 train_acc=71.2% val_acc=75.0% val_loss=1.108 pat=4/30 (65s)
  [Fold 3 | Ep  40/120] loss=0.892 train_acc=72.6% val_acc=68.8% val_loss=1.244 pat=5/30 (65s)
  [Fold 3 | Ep  41/120] loss=0.838 train_acc=74.2% val_acc=81.2% val_loss=1.118 pat=6/30 (41s)
  [Fold 3 | Ep  42/120] loss=0.825 train_acc=77.0% val_acc=62.5% val_loss=1.178 pat=7/30 (39s)
  [Fold 3 | Ep  43/120] loss=0.796 train_acc=76.5% val_acc=62.5% val_loss=1.144 pat=8/30 (43s)
  [Fold 3 | Ep  44/120] loss=0.783 train_acc=81.1% val_acc=62.5% val_loss=1.179 pat=9/30 (64s)
  [Fold 3 | Ep  45/120] loss=0.774 train_acc=78.3% val_acc=62.5% val_loss=1.190 pat=10/30 (65s)
  [Fold 3 | Ep  46/120] loss=0.714 train_acc=83.2% val_acc=75.0% val_loss=1.205 pat=11/30 (66s)
