  [Fold 2 | Ep   1/120] loss=0.758 train_acc=48.1% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.778 pat=0/30 (65s)
  [Fold 2 | Ep   2/120] loss=0.753 train_acc=49.1% val_acc=25.0% NOR_recall=100.0% DIS_recall=6.2% val_loss=0.781 pat=0/30 (65s)
  [Fold 2 | Ep   3/120] loss=0.750 train_acc=53.0% val_acc=25.0% NOR_recall=100.0% DIS_recall=6.2% val_loss=0.783 pat=1/30 (85s)
  [Fold 2 | Ep   4/120] loss=0.760 train_acc=35.7% val_acc=45.0% NOR_recall=100.0% DIS_recall=31.2% val_loss=0.778 pat=2/30 (64s)
  [Fold 2 | Ep   5/120] loss=0.749 train_acc=43.7% val_acc=40.0% NOR_recall=100.0% DIS_recall=25.0% val_loss=0.778 pat=0/30 (40s)
  [Fold 2 | Ep   6/120] loss=0.751 train_acc=49.1% val_acc=40.0% NOR_recall=100.0% DIS_recall=25.0% val_loss=0.779 pat=1/30 (35s)
  [Fold 2 | Ep   7/120] loss=0.748 train_acc=36.7% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.776 pat=2/30 (110s)
  [Fold 2 | Ep   8/120] loss=0.749 train_acc=40.4% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.770 pat=0/30 (45s)
  [Fold 2 | Ep   9/120] loss=0.748 train_acc=50.4% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.770 pat=0/30 (59s)
  [Fold 2 | Ep  10/120] loss=0.741 train_acc=52.2% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.776 pat=1/30 (58s)
  [Fold 2 | Ep  11/120] loss=0.742 train_acc=45.0% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.775 pat=2/30 (58s)
  [Fold 2 | Ep  12/120] loss=0.740 train_acc=57.0% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.768 pat=3/30 (58s)
  [Fold 2 | Ep  13/120] loss=0.737 train_acc=51.3% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.770 pat=0/30 (36s)
  [Fold 2 | Ep  14/120] loss=0.740 train_acc=51.5% val_acc=30.0% NOR_recall=100.0% DIS_recall=12.5% val_loss=0.782 pat=1/30 (36s)
  [Fold 2 | Ep  15/120] loss=0.743 train_acc=57.4% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.762 pat=2/30 (116s)
  [Fold 2 | Ep  16/120] loss=0.729 train_acc=60.4% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.755 pat=0/30 (197s)
  [Fold 2 | Ep  17/120] loss=0.733 train_acc=57.6% val_acc=75.0% NOR_recall=100.0% DIS_recall=68.8% val_loss=0.757 pat=0/30 (61s)
