  [Fold 4 | Ep   1/120] loss=1.406 train_acc=26.0% val_acc=25.0% val_loss=1.440 pat=0/30 (56s)
  [Fold 4 | Ep   2/120] loss=1.386 train_acc=26.3% val_acc=25.0% val_loss=1.439 pat=0/30 (60s)
  [Fold 4 | Ep   3/120] loss=1.369 train_acc=25.1% val_acc=25.0% val_loss=1.425 pat=0/30 (58s)
  [Fold 4 | Ep   4/120] loss=1.361 train_acc=26.3% val_acc=25.0% val_loss=1.410 pat=0/30 (58s)
  [Fold 4 | Ep   5/120] loss=1.370 train_acc=25.8% val_acc=25.0% val_loss=1.404 pat=0/30 (41s)
  [Fold 4 | Ep   6/120] loss=1.343 train_acc=28.3% val_acc=25.0% val_loss=1.380 pat=0/30 (34s)
  [Fold 4 | Ep   7/120] loss=1.341 train_acc=27.4% val_acc=25.0% val_loss=1.387 pat=0/30 (30s)
  [Fold 4 | Ep   8/120] loss=1.315 train_acc=26.7% val_acc=25.0% val_loss=1.370 pat=1/30 (33s)
  [Fold 4 | Ep   9/120] loss=1.319 train_acc=28.3% val_acc=25.0% val_loss=1.364 pat=0/30 (34s)
  [Fold 4 | Ep  10/120] loss=1.307 train_acc=32.7% val_acc=25.0% val_loss=1.348 pat=0/30 (58s)
  [Fold 4 | Ep  11/120] loss=1.302 train_acc=32.9% val_acc=25.0% val_loss=1.342 pat=0/30 (57s)
  [Fold 4 | Ep  12/120] loss=1.284 train_acc=33.6% val_acc=25.0% val_loss=1.327 pat=0/30 (55s)
  [Fold 4 | Ep  13/120] loss=1.287 train_acc=32.0% val_acc=31.2% val_loss=1.326 pat=0/30 (59s)
  [Fold 4 | Ep  14/120] loss=1.272 train_acc=36.9% val_acc=31.2% val_loss=1.302 pat=0/30 (47s)
  [Fold 4 | Ep  15/120] loss=1.266 train_acc=36.9% val_acc=31.2% val_loss=1.292 pat=0/30 (33s)
  [Fold 4 | Ep  16/120] loss=1.244 train_acc=40.8% val_acc=31.2% val_loss=1.295 pat=0/30 (40s)
  [Fold 4 | Ep  17/120] loss=1.248 train_acc=35.9% val_acc=37.5% val_loss=1.267 pat=1/30 (39s)
  [Fold 4 | Ep  18/120] loss=1.220 train_acc=46.3% val_acc=31.2% val_loss=1.261 pat=0/30 (57s)
  [Fold 4 | Ep  19/120] loss=1.216 train_acc=42.4% val_acc=43.8% val_loss=1.246 pat=0/30 (57s)
  [Fold 4 | Ep  20/120] loss=1.206 train_acc=42.4% val_acc=50.0% val_loss=1.237 pat=0/30 (54s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.220 train_acc=44.0% val_acc=43.8% val_loss=1.234 pat=0/30 (60s)
  [Fold 4 | Ep  22/120] loss=1.209 train_acc=44.0% val_acc=43.8% val_loss=1.229 pat=0/30 (40s)
  [Fold 4 | Ep  23/120] loss=1.183 train_acc=41.7% val_acc=50.0% val_loss=1.218 pat=0/30 (35s)
  [Fold 4 | Ep  24/120] loss=1.193 train_acc=47.2% val_acc=50.0% val_loss=1.198 pat=0/30 (35s)
  [Fold 4 | Ep  25/120] loss=1.156 train_acc=47.2% val_acc=50.0% val_loss=1.156 pat=0/30 (36s)
  [Fold 4 | Ep  26/120] loss=1.130 train_acc=51.4% val_acc=50.0% val_loss=1.113 pat=0/30 (36s)
  [Fold 4 | Ep  27/120] loss=1.084 train_acc=53.9% val_acc=75.0% val_loss=1.094 pat=0/30 (98s)
  [Fold 4 | Ep  28/120] loss=1.078 train_acc=57.1% val_acc=62.5% val_loss=1.036 pat=0/30 (61s)
  [Fold 4 | Ep  29/120] loss=1.036 train_acc=61.1% val_acc=68.8% val_loss=1.014 pat=0/30 (60s)
  [Fold 4 | Ep  30/120] loss=1.006 train_acc=61.5% val_acc=68.8% val_loss=1.034 pat=0/30 (62s)
  [Fold 4 | Ep  31/120] loss=1.000 train_acc=63.6% val_acc=62.5% val_loss=1.012 pat=1/30 (46s)
  [Fold 4 | Ep  32/120] loss=0.996 train_acc=65.9% val_acc=56.2% val_loss=1.076 pat=0/30 (37s)
  [Fold 4 | Ep  33/120] loss=0.967 train_acc=65.0% val_acc=50.0% val_loss=1.125 pat=1/30 (37s)
  [Fold 4 | Ep  34/120] loss=0.964 train_acc=63.4% val_acc=68.8% val_loss=0.967 pat=2/30 (101s)
  [Fold 4 | Ep  35/120] loss=0.959 train_acc=65.9% val_acc=68.8% val_loss=1.021 pat=0/30 (36s)
  [Fold 4 | Ep  36/120] loss=0.959 train_acc=64.5% val_acc=50.0% val_loss=1.055 pat=1/30 (63s)
  [Fold 4 | Ep  37/120] loss=0.938 train_acc=67.1% val_acc=62.5% val_loss=1.034 pat=2/30 (61s)
  [Fold 4 | Ep  38/120] loss=0.921 train_acc=68.9% val_acc=62.5% val_loss=0.990 pat=3/30 (61s)
  [Fold 4 | Ep  39/120] loss=0.913 train_acc=69.8% val_acc=62.5% val_loss=0.992 pat=4/30 (64s)
  [Fold 4 | Ep  40/120] loss=0.887 train_acc=70.0% val_acc=62.5% val_loss=1.068 pat=5/30 (42s)
  [Fold 4 | Ep  41/120] loss=0.905 train_acc=66.8% val_acc=75.0% val_loss=0.957 pat=6/30 (39s)
  [Fold 4 | Ep  42/120] loss=0.872 train_acc=69.4% val_acc=62.5% val_loss=1.044 pat=0/30 (38s)
  [Fold 4 | Ep  43/120] loss=0.875 train_acc=70.5% val_acc=81.2% val_loss=0.986 pat=1/30 (38s)
  [Fold 4 | Ep  44/120] loss=0.839 train_acc=73.7% val_acc=68.8% val_loss=1.023 pat=2/30 (38s)
  [Fold 4 | Ep  45/120] loss=0.841 train_acc=71.4% val_acc=62.5% val_loss=1.084 pat=3/30 (48s)
  [Fold 4 | Ep  46/120] loss=0.848 train_acc=72.4% val_acc=68.8% val_loss=1.020 pat=4/30 (72s)
  [Fold 4 | Ep  47/120] loss=0.827 train_acc=74.2% val_acc=68.8% val_loss=1.060 pat=5/30 (72s)
  [Fold 4 | Ep  48/120] loss=0.814 train_acc=73.5% val_acc=75.0% val_loss=1.065 pat=6/30 (72s)
  [Fold 4 | Ep  49/120] loss=0.789 train_acc=79.0% val_acc=75.0% val_loss=1.066 pat=7/30 (73s)
  [Fold 4 | Ep  50/120] loss=0.803 train_acc=77.0% val_acc=75.0% val_loss=1.105 pat=8/30 (72s)
  [Fold 4 | Ep  51/120] loss=0.808 train_acc=74.2% val_acc=62.5% val_loss=1.108 pat=9/30 (72s)
  [Fold 4 | Ep  52/120] loss=0.775 train_acc=79.7% val_acc=68.8% val_loss=1.019 pat=10/30 (72s)
  [Fold 4 | Ep  53/120] loss=0.747 train_acc=82.5% val_acc=62.5% val_loss=1.136 pat=11/30 (72s)
  [Fold 4 | Ep  54/120] loss=0.744 train_acc=80.2% val_acc=81.2% val_loss=1.013 pat=12/30 (85s)
  [Fold 4 | Ep  55/120] loss=0.763 train_acc=79.5% val_acc=68.8% val_loss=1.007 pat=13/30 (70s)
  [Fold 4 | Ep  56/120] loss=0.767 train_acc=79.7% val_acc=75.0% val_loss=1.011 pat=14/30 (38s)
  [Fold 4 | Ep  57/120] loss=0.745 train_acc=79.5% val_acc=68.8% val_loss=0.974 pat=15/30 (46s)
  [Fold 4 | Ep  58/120] loss=0.726 train_acc=82.0% val_acc=68.8% val_loss=1.043 pat=16/30 (195s)
  [Fold 4 | Ep  59/120] loss=0.753 train_acc=79.5% val_acc=81.2% val_loss=0.936 pat=17/30 (51s)
  [Fold 4 | Ep  60/120] loss=0.734 train_acc=81.6% val_acc=75.0% val_loss=0.994 pat=0/30 (40s)
  [Fold 4 | Ep  61/120] loss=0.722 train_acc=80.9% val_acc=75.0% val_loss=1.051 pat=1/30 (52s)
  [Fold 4 | Ep  62/120] loss=0.716 train_acc=81.6% val_acc=75.0% val_loss=0.993 pat=2/30 (66s)
  [Fold 4 | Ep  63/120] loss=0.679 train_acc=85.3% val_acc=75.0% val_loss=1.060 pat=3/30 (65s)
  [Fold 4 | Ep  64/120] loss=0.683 train_acc=83.4% val_acc=75.0% val_loss=0.990 pat=4/30 (65s)
  [Fold 4 | Ep  65/120] loss=0.669 train_acc=85.3% val_acc=75.0% val_loss=1.097 pat=5/30 (55s)
  [Fold 4 | Ep  66/120] loss=0.689 train_acc=82.5% val_acc=68.8% val_loss=1.140 pat=6/30 (40s)
  [Fold 4 | Ep  67/120] loss=0.677 train_acc=82.3% val_acc=75.0% val_loss=1.022 pat=7/30 (40s)
  [Fold 4 | Ep  68/120] loss=0.658 train_acc=83.2% val_acc=75.0% val_loss=1.057 pat=8/30 (62s)
  [Fold 4 | Ep  69/120] loss=0.664 train_acc=84.1% val_acc=75.0% val_loss=1.052 pat=9/30 (63s)
  [Fold 4 | Ep  70/120] loss=0.632 train_acc=86.9% val_acc=75.0% val_loss=1.062 pat=10/30 (65s)
  [Fold 4 | Ep  71/120] loss=0.649 train_acc=86.4% val_acc=75.0% val_loss=1.074 pat=11/30 (59s)
  [Fold 4 | Ep  72/120] loss=0.644 train_acc=84.1% val_acc=62.5% val_loss=1.160 pat=12/30 (47s)
  [Fold 4 | Ep  73/120] loss=0.640 train_acc=85.9% val_acc=75.0% val_loss=1.071 pat=13/30 (36s)
  [Fold 4 | Ep  74/120] loss=0.631 train_acc=87.6% val_acc=68.8% val_loss=1.137 pat=14/30 (92s)
  [Fold 4 | Ep  75/120] loss=0.613 train_acc=86.4% val_acc=62.5% val_loss=1.233 pat=15/30 (35s)
  [Fold 4 | Ep  76/120] loss=0.620 train_acc=86.6% val_acc=68.8% val_loss=1.139 pat=16/30 (58s)
  [Fold 4 | Ep  77/120] loss=0.616 train_acc=87.3% val_acc=68.8% val_loss=1.152 pat=17/30 (60s)
  [Fold 4 | Ep  78/120] loss=0.600 train_acc=89.4% val_acc=75.0% val_loss=1.096 pat=18/30 (60s)
  [Fold 4 | Ep  79/120] loss=0.602 train_acc=88.7% val_acc=68.8% val_loss=1.145 pat=19/30 (61s)
  [Fold 4 | Ep  80/120] loss=0.603 train_acc=89.4% val_acc=62.5% val_loss=1.248 pat=20/30 (48s)
  [Fold 4 | Ep  81/120] loss=0.607 train_acc=88.9% val_acc=68.8% val_loss=1.160 pat=21/30 (36s)
  [Fold 4 | Ep  82/120] loss=0.600 train_acc=89.9% val_acc=81.2% val_loss=1.129 pat=22/30 (42s)
  [Fold 4 | Ep  83/120] loss=0.600 train_acc=88.2% val_acc=62.5% val_loss=1.267 pat=23/30 (136s)
  [Fold 4 | Ep  84/120] loss=0.572 train_acc=90.3% val_acc=62.5% val_loss=1.245 pat=24/30 (61s)
  [Fold 4 | Ep  85/120] loss=0.583 train_acc=89.9% val_acc=68.8% val_loss=1.221 pat=25/30 (60s)
  [Fold 4 | Ep  86/120] loss=0.557 train_acc=91.2% val_acc=68.8% val_loss=1.204 pat=26/30 (51s)
  [Fold 4 | Ep  87/120] loss=0.568 train_acc=91.7% val_acc=68.8% val_loss=1.259 pat=27/30 (34s)
  [Fold 4 | Ep  88/120] loss=0.571 train_acc=92.4% val_acc=68.8% val_loss=1.178 pat=28/30 (34s)
  [Fold 4 | Ep  89/120] loss=0.554 train_acc=93.1% val_acc=68.8% val_loss=1.206 pat=29/30 (42s)
  Early stopping at epoch 89
