  [Fold 4 | Ep   1/120] loss=1.397 train_acc=23.7% val_acc=25.0% val_loss=1.436 pat=0/30 (31s)
  [Fold 4 | Ep   2/120] loss=1.362 train_acc=24.7% val_acc=25.0% val_loss=1.419 pat=0/30 (31s)
  [Fold 4 | Ep   3/120] loss=1.356 train_acc=25.6% val_acc=25.0% val_loss=1.407 pat=0/30 (37s)
  [Fold 4 | Ep   4/120] loss=1.356 train_acc=26.3% val_acc=25.0% val_loss=1.384 pat=0/30 (49s)
  [Fold 4 | Ep   5/120] loss=1.340 train_acc=25.6% val_acc=25.0% val_loss=1.379 pat=0/30 (49s)
  [Fold 4 | Ep   6/120] loss=1.326 train_acc=28.1% val_acc=25.0% val_loss=1.363 pat=0/30 (53s)
  [Fold 4 | Ep   7/120] loss=1.311 train_acc=30.2% val_acc=25.0% val_loss=1.354 pat=0/30 (54s)
  [Fold 4 | Ep   8/120] loss=1.304 train_acc=28.8% val_acc=25.0% val_loss=1.345 pat=0/30 (48s)
  [Fold 4 | Ep   9/120] loss=1.297 train_acc=30.4% val_acc=31.2% val_loss=1.335 pat=0/30 (31s)
  [Fold 4 | Ep  10/120] loss=1.277 train_acc=33.2% val_acc=25.0% val_loss=1.320 pat=0/30 (30s)
  [Fold 4 | Ep  11/120] loss=1.274 train_acc=34.8% val_acc=25.0% val_loss=1.311 pat=0/30 (33s)
  [Fold 4 | Ep  12/120] loss=1.270 train_acc=39.4% val_acc=25.0% val_loss=1.296 pat=0/30 (41s)
  [Fold 4 | Ep  13/120] loss=1.258 train_acc=38.5% val_acc=25.0% val_loss=1.283 pat=0/30 (51s)
  [Fold 4 | Ep  14/120] loss=1.246 train_acc=43.3% val_acc=31.2% val_loss=1.272 pat=0/30 (49s)
  [Fold 4 | Ep  15/120] loss=1.232 train_acc=44.5% val_acc=31.2% val_loss=1.261 pat=0/30 (47s)
  [Fold 4 | Ep  16/120] loss=1.231 train_acc=44.7% val_acc=50.0% val_loss=1.246 pat=0/30 (50s)
  [Fold 4 | Ep  17/120] loss=1.221 train_acc=46.1% val_acc=37.5% val_loss=1.240 pat=0/30 (42s)
  [Fold 4 | Ep  18/120] loss=1.208 train_acc=47.9% val_acc=50.0% val_loss=1.226 pat=0/30 (30s)
  [Fold 4 | Ep  19/120] loss=1.207 train_acc=46.1% val_acc=50.0% val_loss=1.219 pat=0/30 (30s)
  [Fold 4 | Ep  20/120] loss=1.191 train_acc=50.5% val_acc=56.2% val_loss=1.205 pat=0/30 (30s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 4 | Ep  21/120] loss=1.187 train_acc=46.8% val_acc=56.2% val_loss=1.193 pat=0/30 (33s)
  [Fold 4 | Ep  22/120] loss=1.174 train_acc=50.5% val_acc=56.2% val_loss=1.185 pat=0/30 (34s)
  [Fold 4 | Ep  23/120] loss=1.172 train_acc=50.9% val_acc=62.5% val_loss=1.168 pat=0/30 (57s)
  [Fold 4 | Ep  24/120] loss=1.170 train_acc=53.0% val_acc=62.5% val_loss=1.154 pat=0/30 (53s)
  [Fold 4 | Ep  25/120] loss=1.127 train_acc=52.5% val_acc=62.5% val_loss=1.134 pat=0/30 (55s)
  [Fold 4 | Ep  26/120] loss=1.106 train_acc=57.4% val_acc=68.8% val_loss=1.092 pat=0/30 (54s)
  [Fold 4 | Ep  27/120] loss=1.084 train_acc=61.3% val_acc=62.5% val_loss=1.086 pat=0/30 (55s)
  [Fold 4 | Ep  28/120] loss=1.048 train_acc=63.4% val_acc=68.8% val_loss=1.034 pat=0/30 (45s)
  [Fold 4 | Ep  29/120] loss=1.012 train_acc=65.7% val_acc=56.2% val_loss=1.058 pat=0/30 (34s)
  [Fold 4 | Ep  30/120] loss=0.996 train_acc=63.4% val_acc=68.8% val_loss=1.035 pat=1/30 (33s)
  [Fold 4 | Ep  31/120] loss=0.991 train_acc=67.5% val_acc=56.2% val_loss=1.116 pat=2/30 (33s)
  [Fold 4 | Ep  32/120] loss=0.960 train_acc=65.4% val_acc=62.5% val_loss=1.015 pat=3/30 (79s)
  [Fold 4 | Ep  33/120] loss=0.953 train_acc=66.8% val_acc=43.8% val_loss=1.208 pat=0/30 (33s)
  [Fold 4 | Ep  34/120] loss=0.968 train_acc=64.3% val_acc=62.5% val_loss=0.989 pat=1/30 (54s)
  [Fold 4 | Ep  35/120] loss=0.942 train_acc=66.4% val_acc=75.0% val_loss=1.005 pat=0/30 (55s)
  [Fold 4 | Ep  36/120] loss=0.942 train_acc=66.1% val_acc=50.0% val_loss=1.051 pat=1/30 (53s)
  [Fold 4 | Ep  37/120] loss=0.930 train_acc=69.1% val_acc=50.0% val_loss=1.055 pat=2/30 (55s)
  [Fold 4 | Ep  38/120] loss=0.902 train_acc=68.9% val_acc=75.0% val_loss=1.020 pat=3/30 (54s)
  [Fold 4 | Ep  39/120] loss=0.895 train_acc=68.7% val_acc=50.0% val_loss=1.170 pat=4/30 (34s)
  [Fold 4 | Ep  40/120] loss=0.903 train_acc=68.4% val_acc=56.2% val_loss=1.048 pat=5/30 (36s)
  [Fold 4 | Ep  41/120] loss=0.882 train_acc=69.4% val_acc=62.5% val_loss=1.036 pat=6/30 (36s)
  [Fold 4 | Ep  42/120] loss=0.872 train_acc=69.1% val_acc=68.8% val_loss=0.961 pat=7/30 (34s)
  [Fold 4 | Ep  43/120] loss=0.865 train_acc=68.4% val_acc=68.8% val_loss=1.046 pat=0/30 (35s)
  [Fold 4 | Ep  44/120] loss=0.902 train_acc=68.9% val_acc=50.0% val_loss=1.176 pat=1/30 (40s)
  [Fold 4 | Ep  45/120] loss=0.835 train_acc=74.7% val_acc=68.8% val_loss=1.013 pat=2/30 (64s)
  [Fold 4 | Ep  46/120] loss=0.844 train_acc=71.4% val_acc=62.5% val_loss=0.984 pat=3/30 (64s)
  [Fold 4 | Ep  47/120] loss=0.818 train_acc=76.0% val_acc=56.2% val_loss=1.102 pat=4/30 (63s)
  [Fold 4 | Ep  48/120] loss=0.812 train_acc=72.4% val_acc=68.8% val_loss=1.019 pat=5/30 (63s)
  [Fold 4 | Ep  49/120] loss=0.795 train_acc=74.2% val_acc=56.2% val_loss=1.070 pat=6/30 (63s)
  [Fold 4 | Ep  50/120] loss=0.787 train_acc=76.3% val_acc=50.0% val_loss=1.054 pat=7/30 (63s)
  [Fold 4 | Ep  51/120] loss=0.786 train_acc=82.0% val_acc=62.5% val_loss=1.084 pat=8/30 (64s)
  [Fold 4 | Ep  52/120] loss=0.759 train_acc=80.4% val_acc=62.5% val_loss=1.022 pat=9/30 (63s)
  [Fold 4 | Ep  53/120] loss=0.749 train_acc=80.2% val_acc=81.2% val_loss=0.955 pat=10/30 (63s)
  [Fold 4 | Ep  54/120] loss=0.755 train_acc=81.3% val_acc=75.0% val_loss=1.061 pat=0/30 (74s)
  [Fold 4 | Ep  55/120] loss=0.725 train_acc=82.3% val_acc=68.8% val_loss=0.950 pat=1/30 (63s)
  [Fold 4 | Ep  56/120] loss=0.719 train_acc=83.4% val_acc=75.0% val_loss=0.951 pat=0/30 (50s)
  [Fold 4 | Ep  57/120] loss=0.723 train_acc=80.9% val_acc=68.8% val_loss=1.059 pat=1/30 (36s)
  [Fold 4 | Ep  58/120] loss=0.703 train_acc=83.4% val_acc=75.0% val_loss=1.068 pat=2/30 (56s)
  [Fold 4 | Ep  59/120] loss=0.705 train_acc=84.6% val_acc=75.0% val_loss=1.073 pat=3/30 (217s)
