  [Fold 3 | Ep   1/120] loss=0.750 train_acc=68.1% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.770 pat=0/30 (59s)
  [Fold 3 | Ep   2/120] loss=0.748 train_acc=60.0% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.766 pat=0/30 (60s)
  [Fold 3 | Ep   3/120] loss=0.749 train_acc=50.0% val_acc=45.0% NOR_recall=75.0% DIS_recall=37.5% val_loss=0.777 pat=0/30 (37s)
  [Fold 3 | Ep   4/120] loss=0.742 train_acc=51.7% val_acc=25.0% NOR_recall=100.0% DIS_recall=6.2% val_loss=0.783 pat=1/30 (36s)
  [Fold 3 | Ep   5/120] loss=0.746 train_acc=43.9% val_acc=45.0% NOR_recall=100.0% DIS_recall=31.2% val_loss=0.778 pat=2/30 (37s)
  [Fold 3 | Ep   6/120] loss=0.740 train_acc=56.3% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.753 pat=3/30 (39s)
  [Fold 3 | Ep   7/120] loss=0.744 train_acc=53.0% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=0.765 pat=0/30 (86s)
  [Fold 3 | Ep   8/120] loss=0.741 train_acc=58.1% val_acc=70.0% NOR_recall=100.0% DIS_recall=62.5% val_loss=0.765 pat=1/30 (64s)
  [Fold 3 | Ep   9/120] loss=0.738 train_acc=60.5% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.774 pat=2/30 (63s)
  [Fold 3 | Ep  10/120] loss=0.735 train_acc=51.1% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.775 pat=3/30 (64s)
  [Fold 3 | Ep  11/120] loss=0.741 train_acc=43.0% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.773 pat=4/30 (55s)
  [Fold 3 | Ep  12/120] loss=0.729 train_acc=56.8% val_acc=30.0% NOR_recall=100.0% DIS_recall=12.5% val_loss=0.784 pat=5/30 (38s)
  [Fold 3 | Ep  13/120] loss=0.733 train_acc=55.5% val_acc=85.0% NOR_recall=75.0% DIS_recall=87.5% val_loss=0.752 pat=6/30 (38s)
  [Fold 3 | Ep  14/120] loss=0.729 train_acc=67.0% val_acc=50.0% NOR_recall=100.0% DIS_recall=37.5% val_loss=0.772 pat=0/30 (113s)
  [Fold 3 | Ep  15/120] loss=0.731 train_acc=55.2% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.755 pat=1/30 (42s)
  [Fold 3 | Ep  16/120] loss=0.730 train_acc=70.5% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.754 pat=2/30 (63s)
  [Fold 3 | Ep  17/120] loss=0.723 train_acc=61.4% val_acc=55.0% NOR_recall=75.0% DIS_recall=50.0% val_loss=0.757 pat=3/30 (62s)
  [Fold 3 | Ep  18/120] loss=0.722 train_acc=63.8% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.749 pat=4/30 (63s)
  [Fold 3 | Ep  19/120] loss=0.723 train_acc=60.3% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.756 pat=0/30 (64s)
  [Fold 3 | Ep  20/120] loss=0.721 train_acc=62.5% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.746 pat=1/30 (39s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 3 | Ep  21/120] loss=0.708 train_acc=66.4% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.763 pat=0/30 (44s)
  [Fold 3 | Ep  22/120] loss=0.718 train_acc=65.3% val_acc=55.0% NOR_recall=75.0% DIS_recall=50.0% val_loss=0.751 pat=1/30 (42s)
  [Fold 3 | Ep  23/120] loss=0.716 train_acc=68.6% val_acc=60.0% NOR_recall=75.0% DIS_recall=56.2% val_loss=0.748 pat=2/30 (43s)
  [Fold 3 | Ep  24/120] loss=0.701 train_acc=64.2% val_acc=60.0% NOR_recall=75.0% DIS_recall=56.2% val_loss=0.747 pat=3/30 (43s)
  [Fold 3 | Ep  25/120] loss=0.707 train_acc=61.3% val_acc=60.0% NOR_recall=75.0% DIS_recall=56.2% val_loss=0.744 pat=4/30 (78s)
  [Fold 3 | Ep  26/120] loss=0.705 train_acc=65.3% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.734 pat=0/30 (78s)
  [Fold 3 | Ep  27/120] loss=0.708 train_acc=67.2% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=0.736 pat=0/30 (77s)
  [Fold 3 | Ep  28/120] loss=0.698 train_acc=68.3% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.723 pat=1/30 (78s)
  [Fold 3 | Ep  29/120] loss=0.711 train_acc=70.8% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.724 pat=0/30 (77s)
  [Fold 3 | Ep  30/120] loss=0.685 train_acc=72.9% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.706 pat=1/30 (79s)
  [Fold 3 | Ep  31/120] loss=0.679 train_acc=75.3% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.700 pat=0/30 (78s)
  [Fold 3 | Ep  32/120] loss=0.657 train_acc=81.9% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=0.702 pat=0/30 (100s)
  [Fold 3 | Ep  33/120] loss=0.617 train_acc=84.1% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.638 pat=1/30 (77s)
  [Fold 3 | Ep  34/120] loss=0.594 train_acc=86.9% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.647 pat=0/30 (55s)
  [Fold 3 | Ep  35/120] loss=0.569 train_acc=86.9% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.641 pat=1/30 (51s)
  [Fold 3 | Ep  36/120] loss=0.557 train_acc=87.6% val_acc=85.0% NOR_recall=75.0% DIS_recall=87.5% val_loss=0.680 pat=2/30 (258s)
  [Fold 3 | Ep  37/120] loss=0.499 train_acc=89.9% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.695 pat=3/30 (43s)
  [Fold 3 | Ep  38/120] loss=0.479 train_acc=90.2% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.621 pat=4/30 (62s)
  [Fold 3 | Ep  39/120] loss=0.460 train_acc=93.4% val_acc=85.0% NOR_recall=25.0% DIS_recall=100.0% val_loss=0.673 pat=0/30 (70s)
  [Fold 3 | Ep  40/120] loss=0.450 train_acc=92.6% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.688 pat=1/30 (68s)
