  [Fold 5 | Ep   1/120] loss=1.406 train_acc=25.9% val_acc=25.0% val_loss=1.430 pat=0/30 (48s)
  [Fold 5 | Ep   2/120] loss=1.364 train_acc=25.2% val_acc=25.0% val_loss=1.430 pat=0/30 (49s)
  [Fold 5 | Ep   3/120] loss=1.365 train_acc=25.2% val_acc=25.0% val_loss=1.421 pat=1/30 (51s)
  [Fold 5 | Ep   4/120] loss=1.348 train_acc=25.2% val_acc=25.0% val_loss=1.420 pat=0/30 (40s)
  [Fold 5 | Ep   5/120] loss=1.339 train_acc=25.5% val_acc=25.0% val_loss=1.416 pat=0/30 (30s)
  [Fold 5 | Ep   6/120] loss=1.332 train_acc=25.5% val_acc=25.0% val_loss=1.400 pat=0/30 (30s)
  [Fold 5 | Ep   7/120] loss=1.319 train_acc=26.2% val_acc=25.0% val_loss=1.393 pat=0/30 (29s)
  [Fold 5 | Ep   8/120] loss=1.306 train_acc=25.7% val_acc=25.0% val_loss=1.385 pat=0/30 (44s)
  [Fold 5 | Ep   9/120] loss=1.301 train_acc=29.2% val_acc=25.0% val_loss=1.373 pat=0/30 (46s)
  [Fold 5 | Ep  10/120] loss=1.288 train_acc=30.3% val_acc=25.0% val_loss=1.363 pat=0/30 (49s)
  [Fold 5 | Ep  11/120] loss=1.268 train_acc=31.0% val_acc=25.0% val_loss=1.360 pat=0/30 (49s)
  [Fold 5 | Ep  12/120] loss=1.271 train_acc=34.7% val_acc=25.0% val_loss=1.351 pat=0/30 (44s)
  [Fold 5 | Ep  13/120] loss=1.257 train_acc=35.2% val_acc=25.0% val_loss=1.344 pat=0/30 (38s)
  [Fold 5 | Ep  14/120] loss=1.264 train_acc=35.4% val_acc=31.2% val_loss=1.327 pat=0/30 (27s)
  [Fold 5 | Ep  15/120] loss=1.237 train_acc=46.8% val_acc=31.2% val_loss=1.326 pat=0/30 (26s)
  [Fold 5 | Ep  16/120] loss=1.226 train_acc=44.0% val_acc=31.2% val_loss=1.312 pat=0/30 (26s)
  [Fold 5 | Ep  17/120] loss=1.230 train_acc=40.5% val_acc=31.2% val_loss=1.309 pat=0/30 (33s)
  [Fold 5 | Ep  18/120] loss=1.215 train_acc=46.8% val_acc=37.5% val_loss=1.293 pat=0/30 (52s)
  [Fold 5 | Ep  19/120] loss=1.191 train_acc=51.4% val_acc=37.5% val_loss=1.288 pat=0/30 (100s)
  [Fold 5 | Ep  20/120] loss=1.202 train_acc=49.5% val_acc=43.8% val_loss=1.282 pat=0/30 (70s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=1.181 train_acc=49.5% val_acc=43.8% val_loss=1.272 pat=0/30 (85s)
