  [Fold 5 | Ep   1/120] loss=1.408 train_acc=23.8% val_acc=25.0% val_loss=1.439 pat=0/30 (55s)
  [Fold 5 | Ep   2/120] loss=1.398 train_acc=24.8% val_acc=25.0% val_loss=1.434 pat=0/30 (55s)
  [Fold 5 | Ep   3/120] loss=1.373 train_acc=24.5% val_acc=25.0% val_loss=1.432 pat=0/30 (56s)
  [Fold 5 | Ep   4/120] loss=1.368 train_acc=26.2% val_acc=25.0% val_loss=1.406 pat=0/30 (54s)
  [Fold 5 | Ep   5/120] loss=1.353 train_acc=31.0% val_acc=25.0% val_loss=1.421 pat=0/30 (34s)
  [Fold 5 | Ep   6/120] loss=1.348 train_acc=26.9% val_acc=25.0% val_loss=1.407 pat=1/30 (28s)
  [Fold 5 | Ep   7/120] loss=1.334 train_acc=25.9% val_acc=25.0% val_loss=1.394 pat=2/30 (29s)
  [Fold 5 | Ep   8/120] loss=1.322 train_acc=26.6% val_acc=25.0% val_loss=1.391 pat=0/30 (30s)
  [Fold 5 | Ep   9/120] loss=1.313 train_acc=26.6% val_acc=25.0% val_loss=1.378 pat=0/30 (60s)
  [Fold 5 | Ep  10/120] loss=1.311 train_acc=32.2% val_acc=25.0% val_loss=1.366 pat=0/30 (101s)
  [Fold 5 | Ep  11/120] loss=1.306 train_acc=28.5% val_acc=25.0% val_loss=1.363 pat=0/30 (71s)
  [Fold 5 | Ep  12/120] loss=1.282 train_acc=32.6% val_acc=25.0% val_loss=1.357 pat=0/30 (91s)
  [Fold 5 | Ep  13/120] loss=1.277 train_acc=35.2% val_acc=25.0% val_loss=1.354 pat=0/30 (136s)
  [Fold 5 | Ep  14/120] loss=1.278 train_acc=31.2% val_acc=31.2% val_loss=1.327 pat=0/30 (62s)
  [Fold 5 | Ep  15/120] loss=1.255 train_acc=38.0% val_acc=25.0% val_loss=1.323 pat=0/30 (62s)
  [Fold 5 | Ep  16/120] loss=1.252 train_acc=39.4% val_acc=31.2% val_loss=1.314 pat=0/30 (45s)
