  [Fold 4 | Ep   1/120] loss=0.744 train_acc=55.4% val_acc=45.0% NOR_recall=100.0% DIS_recall=31.2% val_loss=0.782 pat=0/30 (31s)
  [Fold 4 | Ep   2/120] loss=0.760 train_acc=43.9% val_acc=20.0% NOR_recall=100.0% DIS_recall=0.0% val_loss=0.797 pat=0/30 (32s)
  [Fold 4 | Ep   3/120] loss=0.746 train_acc=49.8% val_acc=30.0% NOR_recall=100.0% DIS_recall=12.5% val_loss=0.794 pat=1/30 (60s)
  [Fold 4 | Ep   4/120] loss=0.749 train_acc=48.3% val_acc=40.0% NOR_recall=100.0% DIS_recall=25.0% val_loss=0.787 pat=2/30 (116s)
  [Fold 4 | Ep   5/120] loss=0.750 train_acc=44.8% val_acc=30.0% NOR_recall=75.0% DIS_recall=18.8% val_loss=0.790 pat=3/30 (85s)
  [Fold 4 | Ep   6/120] loss=0.753 train_acc=48.5% val_acc=50.0% NOR_recall=50.0% DIS_recall=50.0% val_loss=0.778 pat=4/30 (189s)
  [Fold 4 | Ep   7/120] loss=0.740 train_acc=44.6% val_acc=50.0% NOR_recall=75.0% DIS_recall=43.8% val_loss=0.783 pat=0/30 (66s)
  [Fold 4 | Ep   8/120] loss=0.744 train_acc=50.4% val_acc=50.0% NOR_recall=50.0% DIS_recall=50.0% val_loss=0.779 pat=1/30 (67s)
  [Fold 4 | Ep   9/120] loss=0.745 train_acc=55.4% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=0.773 pat=2/30 (51s)
  [Fold 4 | Ep  10/120] loss=0.738 train_acc=43.4% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=0.774 pat=0/30 (34s)
  [Fold 4 | Ep  11/120] loss=0.736 train_acc=48.5% val_acc=40.0% NOR_recall=75.0% DIS_recall=31.2% val_loss=0.788 pat=1/30 (34s)
  [Fold 4 | Ep  12/120] loss=0.746 train_acc=41.0% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=0.774 pat=2/30 (33s)
  [Fold 4 | Ep  13/120] loss=0.740 train_acc=46.3% val_acc=60.0% NOR_recall=25.0% DIS_recall=68.8% val_loss=0.762 pat=3/30 (50s)
  [Fold 4 | Ep  14/120] loss=0.727 train_acc=65.7% val_acc=55.0% NOR_recall=25.0% DIS_recall=62.5% val_loss=0.762 pat=0/30 (58s)
  [Fold 4 | Ep  15/120] loss=0.731 train_acc=52.6% val_acc=50.0% NOR_recall=50.0% DIS_recall=50.0% val_loss=0.777 pat=0/30 (59s)
  [Fold 4 | Ep  16/120] loss=0.743 train_acc=54.6% val_acc=45.0% NOR_recall=50.0% DIS_recall=43.8% val_loss=0.783 pat=1/30 (61s)
  [Fold 4 | Ep  17/120] loss=0.736 train_acc=45.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.752 pat=2/30 (51s)
  [Fold 4 | Ep  18/120] loss=0.734 train_acc=53.0% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.753 pat=0/30 (36s)
  [Fold 4 | Ep  19/120] loss=0.730 train_acc=62.2% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.755 pat=1/30 (36s)
  [Fold 4 | Ep  20/120] loss=0.734 train_acc=58.1% val_acc=50.0% NOR_recall=25.0% DIS_recall=56.2% val_loss=0.763 pat=2/30 (49s)
