  [Fold 5 | Ep   1/120] loss=0.758 train_acc=74.9% val_acc=80.0% NOR_recall=0.0% DIS_recall=100.0% val_loss=0.748 pat=0/30 (38s)
  [Fold 5 | Ep   2/120] loss=0.749 train_acc=71.3% val_acc=60.0% NOR_recall=25.0% DIS_recall=68.8% val_loss=0.771 pat=0/30 (23s)
  [Fold 5 | Ep   3/120] loss=0.749 train_acc=60.1% val_acc=45.0% NOR_recall=50.0% DIS_recall=43.8% val_loss=0.778 pat=1/30 (23s)
  [Fold 5 | Ep   4/120] loss=0.754 train_acc=43.4% val_acc=35.0% NOR_recall=100.0% DIS_recall=18.8% val_loss=0.784 pat=2/30 (310s)
  [Fold 5 | Ep   5/120] loss=0.747 train_acc=44.3% val_acc=45.0% NOR_recall=50.0% DIS_recall=43.8% val_loss=0.778 pat=3/30 (22s)
  [Fold 5 | Ep   6/120] loss=0.746 train_acc=60.1% val_acc=70.0% NOR_recall=100.0% DIS_recall=62.5% val_loss=0.775 pat=4/30 (43s)
  [Fold 5 | Ep   7/120] loss=0.748 train_acc=47.7% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.775 pat=5/30 (43s)
  [Fold 5 | Ep   8/120] loss=0.744 train_acc=60.1% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=0.769 pat=6/30 (39s)
  [Fold 5 | Ep   9/120] loss=0.743 train_acc=58.3% val_acc=55.0% NOR_recall=100.0% DIS_recall=43.8% val_loss=0.777 pat=7/30 (40s)
  [Fold 5 | Ep  10/120] loss=0.745 train_acc=55.3% val_acc=35.0% NOR_recall=100.0% DIS_recall=18.8% val_loss=0.785 pat=8/30 (42s)
  [Fold 5 | Ep  11/120] loss=0.743 train_acc=52.7% val_acc=50.0% NOR_recall=100.0% DIS_recall=37.5% val_loss=0.779 pat=9/30 (22s)
  [Fold 5 | Ep  12/120] loss=0.742 train_acc=56.2% val_acc=60.0% NOR_recall=75.0% DIS_recall=56.2% val_loss=0.769 pat=10/30 (21s)
  [Fold 5 | Ep  13/120] loss=0.743 train_acc=62.0% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=0.762 pat=11/30 (23s)
  [Fold 5 | Ep  14/120] loss=0.742 train_acc=51.8% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.761 pat=12/30 (34s)
  [Fold 5 | Ep  15/120] loss=0.739 train_acc=57.7% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.756 pat=13/30 (42s)
  [Fold 5 | Ep  16/120] loss=0.738 train_acc=57.7% val_acc=70.0% NOR_recall=100.0% DIS_recall=62.5% val_loss=0.763 pat=14/30 (36s)
  [Fold 5 | Ep  17/120] loss=0.734 train_acc=59.4% val_acc=60.0% NOR_recall=50.0% DIS_recall=62.5% val_loss=0.757 pat=15/30 (42s)
  [Fold 5 | Ep  18/120] loss=0.731 train_acc=69.8% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.770 pat=16/30 (43s)
  [Fold 5 | Ep  19/120] loss=0.733 train_acc=51.6% val_acc=60.0% NOR_recall=75.0% DIS_recall=56.2% val_loss=0.764 pat=17/30 (33s)
  [Fold 5 | Ep  20/120] loss=0.730 train_acc=62.8% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=0.749 pat=18/30 (21s)
  [Unfreeze] Registration at LR=1.00e-05
  [Fold 5 | Ep  21/120] loss=0.731 train_acc=60.9% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.768 pat=19/30 (26s)
  [Fold 5 | Ep  22/120] loss=0.729 train_acc=62.9% val_acc=70.0% NOR_recall=100.0% DIS_recall=62.5% val_loss=0.756 pat=20/30 (75s)
  [Fold 5 | Ep  23/120] loss=0.725 train_acc=60.9% val_acc=65.0% NOR_recall=100.0% DIS_recall=56.2% val_loss=0.758 pat=21/30 (28s)
  [Fold 5 | Ep  24/120] loss=0.726 train_acc=68.5% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.761 pat=22/30 (48s)
  [Fold 5 | Ep  25/120] loss=0.722 train_acc=60.5% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.760 pat=23/30 (46s)
  [Fold 5 | Ep  26/120] loss=0.729 train_acc=56.2% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.757 pat=24/30 (48s)
  [Fold 5 | Ep  27/120] loss=0.718 train_acc=65.4% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.758 pat=25/30 (47s)
  [Fold 5 | Ep  28/120] loss=0.717 train_acc=60.7% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.759 pat=26/30 (38s)
  [Fold 5 | Ep  29/120] loss=0.713 train_acc=63.1% val_acc=55.0% NOR_recall=75.0% DIS_recall=50.0% val_loss=0.751 pat=27/30 (26s)
  [Fold 5 | Ep  30/120] loss=0.715 train_acc=68.2% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.750 pat=28/30 (29s)
  [Fold 5 | Ep  31/120] loss=0.706 train_acc=64.2% val_acc=60.0% NOR_recall=100.0% DIS_recall=50.0% val_loss=0.753 pat=29/30 (28s)
  Early stopping at epoch 31
