  [Fold 1 | Ep   1/120] loss=0.098 train_acc=76.6% val_acc=80.0% bal_acc=50.0% NOR=0.0% DIS=100.0% pat=0/30 (329s)
  [Fold 1 | Ep   2/120] loss=0.071 train_acc=67.3% val_acc=60.0% bal_acc=65.6% NOR=75.0% DIS=56.2% pat=0/30 (476s)
  [Fold 1 | Ep   3/120] loss=0.062 train_acc=48.4% val_acc=35.0% bal_acc=50.0% NOR=75.0% DIS=25.0% pat=0/30 (15s)
  [Fold 1 | Ep   4/120] loss=0.059 train_acc=49.0% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=1/30 (350s)
  [Fold 1 | Ep   5/120] loss=0.056 train_acc=45.8% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=2/30 (455s)
  [Fold 1 | Ep   6/120] loss=0.051 train_acc=48.8% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=3/30 (205s)
  [Fold 1 | Ep   7/120] loss=0.051 train_acc=49.4% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=4/30 (409s)
  [Fold 1 | Ep   8/120] loss=0.048 train_acc=48.8% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=5/30 (205s)
  [Fold 1 | Ep   9/120] loss=0.048 train_acc=50.8% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=6/30 (482s)
  [Fold 1 | Ep  10/120] loss=0.048 train_acc=55.1% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=7/30 (378s)
  [Fold 1 | Ep  11/120] loss=0.047 train_acc=51.9% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=8/30 (16s)
  [Fold 1 | Ep  12/120] loss=0.046 train_acc=52.1% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=9/30 (62s)
  [Fold 1 | Ep  13/120] loss=0.046 train_acc=53.6% val_acc=45.0% bal_acc=65.6% NOR=100.0% DIS=31.2% pat=10/30 (398s)
  [Fold 1 | Ep  14/120] loss=0.045 train_acc=58.4% val_acc=45.0% bal_acc=65.6% NOR=100.0% DIS=31.2% pat=11/30 (213s)
  [Fold 1 | Ep  15/120] loss=0.042 train_acc=59.7% val_acc=55.0% bal_acc=71.9% NOR=100.0% DIS=43.8% pat=12/30 (420s)
  [Fold 1 | Ep  16/120] loss=0.040 train_acc=63.5% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=0/30 (262s)
  [Fold 1 | Ep  17/120] loss=0.041 train_acc=64.2% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=0/30 (54s)
  [Fold 1 | Ep  18/120] loss=0.039 train_acc=64.7% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=0/30 (223s)
  [Fold 1 | Ep  19/120] loss=0.038 train_acc=67.3% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=1/30 (297s)
  [Fold 1 | Ep  20/120] loss=0.037 train_acc=68.5% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=2/30 (212s)
  [Fold 1 | Ep  21/120] loss=0.036 train_acc=71.6% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=3/30 (224s)
  [Fold 1 | Ep  22/120] loss=0.036 train_acc=68.6% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=4/30 (262s)
  [Fold 1 | Ep  23/120] loss=0.034 train_acc=72.9% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=5/30 (21s)
  [Fold 1 | Ep  24/120] loss=0.033 train_acc=73.1% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=0/30 (16s)
  [Fold 1 | Ep  25/120] loss=0.033 train_acc=74.2% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=1/30 (20s)
  [Fold 1 | Ep  26/120] loss=0.034 train_acc=72.2% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=2/30 (15s)
  [Fold 1 | Ep  27/120] loss=0.032 train_acc=74.0% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=3/30 (18s)
  [Fold 1 | Ep  28/120] loss=0.032 train_acc=75.9% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=4/30 (14s)
  [Fold 1 | Ep  29/120] loss=0.031 train_acc=72.5% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=5/30 (16s)
  [Fold 1 | Ep  30/120] loss=0.030 train_acc=72.9% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=6/30 (16s)
  [Fold 1 | Ep  31/120] loss=0.030 train_acc=75.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=7/30 (16s)
  [Fold 1 | Ep  32/120] loss=0.028 train_acc=79.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=0/30 (15s)
  [Fold 1 | Ep  33/120] loss=0.031 train_acc=75.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (19s)
  [Fold 1 | Ep  34/120] loss=0.029 train_acc=76.8% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=0/30 (15s)
  [Fold 1 | Ep  35/120] loss=0.027 train_acc=77.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (21s)
  [Fold 1 | Ep  36/120] loss=0.027 train_acc=77.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (19s)
  [Fold 1 | Ep  37/120] loss=0.025 train_acc=78.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=3/30 (20s)
  [Fold 1 | Ep  38/120] loss=0.026 train_acc=79.4% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=4/30 (70s)
  [Fold 1 | Ep  39/120] loss=0.029 train_acc=77.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=5/30 (418s)
  [Fold 1 | Ep  40/120] loss=0.027 train_acc=80.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=6/30 (146s)
  [Fold 1 | Ep  41/120] loss=0.025 train_acc=77.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=7/30 (123s)
  [Fold 1 | Ep  42/120] loss=0.027 train_acc=78.3% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=8/30 (16s)
  [Fold 1 | Ep  43/120] loss=0.025 train_acc=81.3% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=9/30 (324s)
  [Fold 1 | Ep  44/120] loss=0.025 train_acc=82.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=10/30 (19s)
  [Fold 1 | Ep  45/120] loss=0.024 train_acc=81.4% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=11/30 (30s)
  [Fold 1 | Ep  46/120] loss=0.023 train_acc=83.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=12/30 (44s)
  [Fold 1 | Ep  47/120] loss=0.023 train_acc=83.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=13/30 (964s)
  [Fold 1 | Ep  48/120] loss=0.024 train_acc=81.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=14/30 (173s)
  [Fold 1 | Ep  49/120] loss=0.023 train_acc=82.2% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=15/30 (88s)
  [Fold 1 | Ep  50/120] loss=0.022 train_acc=82.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=16/30 (51s)
  [Fold 1 | Ep  51/120] loss=0.023 train_acc=83.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=17/30 (332s)
  [Fold 1 | Ep  52/120] loss=0.024 train_acc=82.4% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=0/30 (33s)
  [Fold 1 | Ep  53/120] loss=0.022 train_acc=83.3% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (19s)
  [Fold 1 | Ep  54/120] loss=0.025 train_acc=81.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (17s)
  [Fold 1 | Ep  55/120] loss=0.022 train_acc=81.3% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=3/30 (16s)
  [Fold 1 | Ep  56/120] loss=0.022 train_acc=82.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=4/30 (14s)
  [Fold 1 | Ep  57/120] loss=0.021 train_acc=82.2% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=5/30 (15s)
  [Fold 1 | Ep  58/120] loss=0.023 train_acc=82.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=6/30 (16s)
