  [Fold 2 | Ep   1/120] loss=0.060 train_acc=44.3% val_acc=50.0% bal_acc=68.8% NOR=100.0% DIS=37.5% pat=0/30 (17s)
  [Fold 2 | Ep   2/120] loss=0.059 train_acc=45.0% val_acc=45.0% bal_acc=65.6% NOR=100.0% DIS=31.2% pat=0/30 (15s)
  [Fold 2 | Ep   3/120] loss=0.055 train_acc=43.1% val_acc=45.0% bal_acc=65.6% NOR=100.0% DIS=31.2% pat=1/30 (15s)
  [Fold 2 | Ep   4/120] loss=0.050 train_acc=51.5% val_acc=45.0% bal_acc=65.6% NOR=100.0% DIS=31.2% pat=2/30 (16s)
  [Fold 2 | Ep   5/120] loss=0.050 train_acc=46.3% val_acc=55.0% bal_acc=71.9% NOR=100.0% DIS=43.8% pat=3/30 (14s)
  [Fold 2 | Ep   6/120] loss=0.050 train_acc=50.2% val_acc=55.0% bal_acc=71.9% NOR=100.0% DIS=43.8% pat=0/30 (17s)
  [Fold 2 | Ep   7/120] loss=0.046 train_acc=52.2% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=1/30 (14s)
  [Fold 2 | Ep   8/120] loss=0.047 train_acc=53.1% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=0/30 (15s)
  [Fold 2 | Ep   9/120] loss=0.045 train_acc=54.4% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=0/30 (15s)
  [Fold 2 | Ep  10/120] loss=0.043 train_acc=56.7% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=1/30 (18s)
  [Fold 2 | Ep  11/120] loss=0.045 train_acc=60.4% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=2/30 (15s)
  [Fold 2 | Ep  12/120] loss=0.043 train_acc=59.8% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=3/30 (19s)
  [Fold 2 | Ep  13/120] loss=0.042 train_acc=59.1% val_acc=65.0% bal_acc=78.1% NOR=100.0% DIS=56.2% pat=4/30 (16s)
  [Fold 2 | Ep  14/120] loss=0.041 train_acc=66.3% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=5/30 (16s)
  [Fold 2 | Ep  15/120] loss=0.039 train_acc=61.1% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=0/30 (16s)
  [Fold 2 | Ep  16/120] loss=0.038 train_acc=68.5% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=0/30 (18s)
  [Fold 2 | Ep  17/120] loss=0.035 train_acc=70.0% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=1/30 (17s)
  [Fold 2 | Ep  18/120] loss=0.035 train_acc=69.4% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=2/30 (18s)
  [Fold 2 | Ep  19/120] loss=0.037 train_acc=70.2% val_acc=70.0% bal_acc=81.2% NOR=100.0% DIS=62.5% pat=3/30 (17s)
  [Fold 2 | Ep  20/120] loss=0.033 train_acc=71.1% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=4/30 (16s)
  [Fold 2 | Ep  21/120] loss=0.033 train_acc=71.9% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=5/30 (17s)
  [Fold 2 | Ep  22/120] loss=0.034 train_acc=73.1% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=6/30 (17s)
  [Fold 2 | Ep  23/120] loss=0.032 train_acc=72.2% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=7/30 (18s)
  [Fold 2 | Ep  24/120] loss=0.030 train_acc=75.6% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=8/30 (16s)
