  [Fold 3 | Ep   1/120] loss=0.078 train_acc=26.4% val_acc=30.0% bal_acc=56.2% NOR=100.0% DIS=12.5% pat=0/30 (20s)
  [Fold 3 | Ep   2/120] loss=0.062 train_acc=34.9% val_acc=30.0% bal_acc=37.5% NOR=50.0% DIS=25.0% pat=0/30 (17s)
  [Fold 3 | Ep   3/120] loss=0.061 train_acc=41.7% val_acc=40.0% bal_acc=53.1% NOR=75.0% DIS=31.2% pat=1/30 (21s)
  [Fold 3 | Ep   4/120] loss=0.051 train_acc=45.0% val_acc=75.0% bal_acc=65.6% NOR=50.0% DIS=81.2% pat=2/30 (18s)
  [Fold 3 | Ep   5/120] loss=0.056 train_acc=47.2% val_acc=55.0% bal_acc=71.9% NOR=100.0% DIS=43.8% pat=0/30 (22s)
  [Fold 3 | Ep   6/120] loss=0.051 train_acc=49.4% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=0/30 (20s)
  [Fold 3 | Ep   7/120] loss=0.051 train_acc=48.7% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=0/30 (21s)
  [Fold 3 | Ep   8/120] loss=0.047 train_acc=52.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=1/30 (19s)
  [Fold 3 | Ep   9/120] loss=0.048 train_acc=53.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=0/30 (18s)
  [Fold 3 | Ep  10/120] loss=0.044 train_acc=55.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=1/30 (19s)
  [Fold 3 | Ep  11/120] loss=0.047 train_acc=54.1% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=2/30 (18s)
  [Fold 3 | Ep  12/120] loss=0.043 train_acc=60.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=3/30 (20s)
  [Fold 3 | Ep  13/120] loss=0.042 train_acc=62.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=4/30 (18s)
  [Fold 3 | Ep  14/120] loss=0.045 train_acc=57.4% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=5/30 (19s)
  [Fold 3 | Ep  15/120] loss=0.040 train_acc=64.4% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=6/30 (19s)
  [Fold 3 | Ep  16/120] loss=0.041 train_acc=62.5% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=7/30 (22s)
  [Fold 3 | Ep  17/120] loss=0.040 train_acc=60.7% val_acc=75.0% bal_acc=84.4% NOR=100.0% DIS=68.8% pat=8/30 (20s)
  [Fold 3 | Ep  18/120] loss=0.038 train_acc=65.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=9/30 (20s)
  [Fold 3 | Ep  19/120] loss=0.037 train_acc=65.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=10/30 (19s)
  [Fold 3 | Ep  20/120] loss=0.038 train_acc=66.2% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=11/30 (19s)
  [Fold 3 | Ep  21/120] loss=0.035 train_acc=70.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=12/30 (19s)
  [Fold 3 | Ep  22/120] loss=0.034 train_acc=68.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=13/30 (19s)
  [Fold 3 | Ep  23/120] loss=0.035 train_acc=69.2% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=14/30 (21s)
  [Fold 3 | Ep  24/120] loss=0.031 train_acc=72.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=15/30 (21s)
  [Fold 3 | Ep  25/120] loss=0.031 train_acc=71.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=16/30 (21s)
  [Fold 3 | Ep  26/120] loss=0.032 train_acc=73.6% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=17/30 (21s)
  [Fold 3 | Ep  27/120] loss=0.031 train_acc=75.1% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=18/30 (21s)
  [Fold 3 | Ep  28/120] loss=0.031 train_acc=76.0% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=19/30 (20s)
  [Fold 3 | Ep  29/120] loss=0.028 train_acc=78.6% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=20/30 (18s)
  [Fold 3 | Ep  30/120] loss=0.026 train_acc=78.8% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=21/30 (17s)
  [Fold 3 | Ep  31/120] loss=0.027 train_acc=78.4% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=22/30 (18s)
  [Fold 3 | Ep  32/120] loss=0.024 train_acc=77.7% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=23/30 (22s)
  [Fold 3 | Ep  33/120] loss=0.026 train_acc=80.3% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=24/30 (21s)
  [Fold 3 | Ep  34/120] loss=0.025 train_acc=79.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=25/30 (22s)
  [Fold 3 | Ep  35/120] loss=0.026 train_acc=81.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=26/30 (21s)
  [Fold 3 | Ep  36/120] loss=0.025 train_acc=79.5% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=27/30 (21s)
  [Fold 3 | Ep  37/120] loss=0.021 train_acc=83.9% val_acc=80.0% bal_acc=87.5% NOR=100.0% DIS=75.0% pat=28/30 (20s)
  [Fold 3 | Ep  38/120] loss=0.023 train_acc=81.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=29/30 (21s)
  [Fold 3 | Ep  39/120] loss=0.025 train_acc=81.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=0/30 (18s)
  [Fold 3 | Ep  40/120] loss=0.022 train_acc=83.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=1/30 (22s)
  [Fold 3 | Ep  41/120] loss=0.022 train_acc=84.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=2/30 (21s)
  [Fold 3 | Ep  42/120] loss=0.021 train_acc=84.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=3/30 (21s)
  [Fold 3 | Ep  43/120] loss=0.022 train_acc=82.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=4/30 (22s)
  [Fold 3 | Ep  44/120] loss=0.023 train_acc=83.9% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=5/30 (22s)
  [Fold 3 | Ep  45/120] loss=0.022 train_acc=83.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=6/30 (20s)
  [Fold 3 | Ep  46/120] loss=0.020 train_acc=82.8% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=7/30 (21s)
  [Fold 3 | Ep  47/120] loss=0.020 train_acc=85.2% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=8/30 (19s)
  [Fold 3 | Ep  48/120] loss=0.018 train_acc=87.1% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=9/30 (20s)
