  [Fold 4 | Ep   1/120] loss=0.071 train_acc=67.2% val_acc=55.0% bal_acc=43.8% NOR=25.0% DIS=62.5% pat=0/30 (20s)
  [Fold 4 | Ep   2/120] loss=0.058 train_acc=57.6% val_acc=55.0% bal_acc=62.5% NOR=75.0% DIS=50.0% pat=0/30 (21s)
  [Fold 4 | Ep   3/120] loss=0.055 train_acc=56.1% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=0/30 (20s)
  [Fold 4 | Ep   4/120] loss=0.052 train_acc=51.8% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=1/30 (20s)
  [Fold 4 | Ep   5/120] loss=0.052 train_acc=50.0% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=2/30 (19s)
  [Fold 4 | Ep   6/120] loss=0.051 train_acc=53.3% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=3/30 (18s)
  [Fold 4 | Ep   7/120] loss=0.052 train_acc=49.8% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=4/30 (18s)
  [Fold 4 | Ep   8/120] loss=0.049 train_acc=53.3% val_acc=40.0% bal_acc=62.5% NOR=100.0% DIS=25.0% pat=5/30 (17s)
  [Fold 4 | Ep   9/120] loss=0.049 train_acc=50.4% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=6/30 (17s)
  [Fold 4 | Ep  10/120] loss=0.049 train_acc=54.4% val_acc=55.0% bal_acc=71.9% NOR=100.0% DIS=43.8% pat=0/30 (19s)
  [Fold 4 | Ep  11/120] loss=0.046 train_acc=53.9% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=1/30 (16s)
  [Fold 4 | Ep  12/120] loss=0.045 train_acc=55.9% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=2/30 (16s)
  [Fold 4 | Ep  13/120] loss=0.046 train_acc=52.2% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=3/30 (19s)
  [Fold 4 | Ep  14/120] loss=0.046 train_acc=58.1% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=4/30 (17s)
  [Fold 4 | Ep  15/120] loss=0.042 train_acc=59.4% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=5/30 (20s)
  [Fold 4 | Ep  16/120] loss=0.040 train_acc=63.8% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=6/30 (20s)
  [Fold 4 | Ep  17/120] loss=0.044 train_acc=58.1% val_acc=60.0% bal_acc=75.0% NOR=100.0% DIS=50.0% pat=7/30 (18s)
