  [Fold 5 | Ep   1/120] loss=0.092 train_acc=71.9% val_acc=80.0% bal_acc=50.0% NOR=0.0% DIS=100.0% pat=0/30 (17s)
  [Fold 5 | Ep   2/120] loss=0.072 train_acc=58.7% val_acc=20.0% bal_acc=21.9% NOR=25.0% DIS=18.8% pat=0/30 (17s)
  [Fold 5 | Ep   3/120] loss=0.061 train_acc=50.3% val_acc=30.0% bal_acc=56.2% NOR=100.0% DIS=12.5% pat=1/30 (20s)
  [Fold 5 | Ep   4/120] loss=0.062 train_acc=48.4% val_acc=30.0% bal_acc=56.2% NOR=100.0% DIS=12.5% pat=0/30 (19s)
  [Fold 5 | Ep   5/120] loss=0.055 train_acc=45.1% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=1/30 (17s)
  [Fold 5 | Ep   6/120] loss=0.052 train_acc=47.5% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=2/30 (16s)
  [Fold 5 | Ep   7/120] loss=0.050 train_acc=44.9% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=3/30 (21s)
  [Fold 5 | Ep   8/120] loss=0.050 train_acc=50.3% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=4/30 (19s)
  [Fold 5 | Ep   9/120] loss=0.049 train_acc=48.4% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=5/30 (22s)
  [Fold 5 | Ep  10/120] loss=0.048 train_acc=51.2% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=6/30 (19s)
  [Fold 5 | Ep  11/120] loss=0.045 train_acc=50.1% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=7/30 (20s)
  [Fold 5 | Ep  12/120] loss=0.046 train_acc=54.0% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=8/30 (21s)
  [Fold 5 | Ep  13/120] loss=0.045 train_acc=52.3% val_acc=25.0% bal_acc=53.1% NOR=100.0% DIS=6.2% pat=9/30 (18s)
  [Fold 5 | Ep  14/120] loss=0.045 train_acc=55.5% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=10/30 (19s)
  [Fold 5 | Ep  15/120] loss=0.043 train_acc=55.3% val_acc=35.0% bal_acc=59.4% NOR=100.0% DIS=18.8% pat=0/30 (19s)
  [Fold 5 | Ep  16/120] loss=0.047 train_acc=52.9% val_acc=50.0% bal_acc=68.8% NOR=100.0% DIS=37.5% pat=1/30 (18s)
